kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mvt.1.sm_75.ptx 121 : 1024 5120 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 118 : 65536 322560 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 117 : 65536 393216 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 116 : 65536 720896 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 115 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 114 : 65536 589824 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 113 : 65536 2955904 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 112 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 111 : 65536 6222400 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 110 : 65536 4183904 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 109 : 65536 2864480 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 108 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 107 : 65536 6194176 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 106 : 65536 6281952 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 105 : 65536 2894944 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 104 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 103 : 65536 6170880 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 102 : 65536 4133344 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 101 : 65536 2808448 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 100 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 99 : 65536 6234720 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 98 : 65536 4196992 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 97 : 65536 2877504 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 96 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 95 : 65536 6190688 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 94 : 65536 4138496 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 93 : 65536 2824896 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 92 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 91 : 65536 6258208 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 90 : 65536 6359712 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 89 : 65536 2974688 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 55 : 65536 5889088 0 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 54 : 65536 3762048 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 53 : 65536 2335872 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 52 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 51 : 65536 21842624 24640 0 0 65536 2048 0 0 
mvt.1.sm_75.ptx 50 : 65536 6389056 32 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 47 : 1024 8192 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 46 : 1024 7168 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 45 : 1024 9216 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 44 : 1024 9216 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 43 : 1024 6144 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 42 : 1024 6144 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 41 : 1024 6144 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 56 : 65536 655360 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 27 : 1024 4864 0 0 0 0 0 0 0 
mvt.1.sm_75.ptx 86 : 65536 3760224 0 0 0 2048 2048 0 0 
mvt.1.sm_75.ptx 40 : 1024 206336 0 0 0 128 32 0 0 
mvt.1.sm_75.ptx 57 : 65536 2978592 0 0 0 8192 2048 0 0 
mvt.1.sm_75.ptx 28 : 1024 7168 0 0 0 0 0 0 0 
