Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.647122
1000100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.774271
1000200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.509741
1000300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.725326
1000400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.757015
1000500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.574674
1000600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.841041
1000700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.812712
1000800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.138431
1000900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.394147
1001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.882134
1001100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.844191
1001200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.543055
1001300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.754247
1001400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.097685
1001500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.785349
1001600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.670808
1001700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.809329
1001800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.088784
1001900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.444118
1002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.633133
1002100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.107785
1002200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.621533
1002300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.628608
1002400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.857576
1002500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.713869
1002600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.574192
1002700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.712548
1002800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.751503
1002900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.520409
1003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.598854
1003100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.921795
1003200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.599673
1003300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.586731
1003400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.948212
1003500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.957074
1003600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.874024
1003700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.628908
1003800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.852950
1003900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.554812
1004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.663756
1004100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.114099
1004200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.797945
1004300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.644443
1004400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.877940
1004500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.868800
1004600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.779752
1004700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.463459
1004800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.135480
1004900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.642239
1005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.567911
1005100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.938049
1005200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.606264
1005300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.757602
1005400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.546550
1005500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.775644
1005600,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.609773
1005700,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.708612
1005800,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.701911
1005900,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.529888
1006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.647690
1006100,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,1.091531
1006200,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.699220
1006300,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.949091
1006400,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.766876
1006500,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.622804
