Cycle,RunTimeDynamic(W)
100,9.614916
200,9.614916
300,9.614916
400,9.614916
500,9.614916
600,9.614916
700,9.614916
800,9.614916
900,9.614916
1000,9.614916
1100,9.614916
1200,9.614916
1300,9.614916
1400,9.614916
1500,9.614916
1600,9.614916
1700,9.614916
1800,9.614916
1900,9.614916
2000,9.614916
2100,9.614916
2200,9.614916
2300,9.614916
2400,9.614916
2500,9.614916
2600,9.614916
2700,9.614916
2800,9.614916
2900,9.614916
3000,9.614916
3100,9.614916
3200,9.614916
3300,9.614916
3400,9.614916
3500,9.614916
3600,9.614916
3700,9.614916
3800,9.614916
3900,9.614916
4000,9.614916
4100,9.614916
4200,9.614916
4300,9.614916
4400,9.614916
4500,9.614916
4600,9.614916
4700,9.614916
4800,9.614916
4900,9.614916
5000,9.614916
5100,7.375206
5200,7.352583
5300,7.352583
5400,7.352583
5500,7.352583
5600,7.352583
5700,7.352583
5800,7.352583
5900,7.352583
6000,7.352583
6100,7.352583
6200,7.352583
6300,7.352583
6400,7.352583
6500,7.352583
6600,7.352583
6700,7.352583
6800,7.352583
6900,7.352583
7000,7.352583
7100,7.352583
7200,7.352583
7300,7.352583
7400,7.352583
7500,7.352583
7600,7.352583
7700,7.352583
7800,7.352583
7900,7.352583
8000,7.352583
8100,7.352583
8200,7.352583
8300,7.352583
8400,7.352583
8500,7.352583
8600,7.352583
8700,7.352583
8800,7.352583
8900,7.352583
9000,7.352583
9100,7.352583
9200,7.352583
9300,7.352583
9400,7.352583
9500,7.352583
9600,7.352583
9700,7.352583
9800,7.352583
9900,7.352583
10000,7.352583
10100,7.352583
10200,7.352583
10300,7.352583
10400,7.352583
10500,7.352583
10600,7.352583
10700,7.352583
10800,7.352583
10900,7.352583
11000,7.352583
11100,7.352583
11200,7.352583
11300,7.352583
11400,7.352583
11500,7.352583
11600,7.352583
11700,7.352583
11800,7.352583
11900,7.352583
12000,7.352583
12100,7.352583
12200,7.352583
12300,7.352583
12400,7.352583
12500,7.352583
12600,7.352583
12700,7.352583
12800,7.352583
12900,7.352583
13000,7.352583
13100,7.352583
13200,7.352583
13300,7.352583
13400,7.352583
13500,7.352583
13600,7.352583
13700,7.352583
13800,7.352583
13900,7.352583
14000,7.352583
14100,7.352583
14200,7.352583
14300,7.352583
14400,7.352583
14500,7.352583
14600,7.352583
14700,7.352583
14800,7.352583
14900,7.352583
15000,7.352583
15100,7.352583
15200,7.352583
15300,7.352583
15400,7.352583
15500,7.352583
15600,7.352583
15700,7.352583
15800,7.352583
15900,7.352583
16000,7.352583
16100,7.352583
16200,7.352583
16300,7.352583
16400,7.352583
16500,7.352583
16600,7.352583
16700,7.352583
16800,7.352583
16900,7.352583
17000,7.352583
17100,7.352583
17200,7.352583
17300,7.352583
17400,7.352583
17500,7.352583
17600,7.352583
17700,7.352583
17800,7.352583
17900,7.352583
18000,7.352583
18100,7.352583
18200,7.352583
18300,7.352583
18400,7.352583
18500,7.352583
18600,7.352583
18700,7.352583
18800,7.352583
18900,7.352583
19000,7.352583
19100,7.352583
19200,7.352583
19300,7.352583
