Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.3415,0.039994,0.023482,0.002970,0.016230
1000100,1.3415,0.039994,0.023482,0.002970,0.020084
1000200,1.3415,0.039994,0.023482,0.002970,0.012452
1000300,1.3415,0.039994,0.023482,0.002970,0.018717
1000400,1.3415,0.039994,0.023482,0.002970,0.019488
1000500,1.3415,0.039994,0.023482,0.002970,0.014341
1000600,1.3415,0.039994,0.023482,0.002970,0.020308
1000700,1.3415,0.039994,0.023482,0.002970,0.019437
1000800,1.3415,0.039994,0.023482,0.002970,0.028387
1000900,1.3415,0.039994,0.023482,0.002970,0.010141
1001000,1.3415,0.039994,0.023482,0.002970,0.021998
1001100,1.3415,0.039994,0.023482,0.002970,0.021028
1001200,1.3415,0.039994,0.023482,0.002970,0.014565
1001300,1.3415,0.039994,0.023482,0.002970,0.017971
1001400,1.3415,0.039994,0.023482,0.002970,0.026075
1001500,1.3415,0.039994,0.023482,0.002970,0.020506
1001600,1.3415,0.039994,0.023482,0.002970,0.015759
1001700,1.3415,0.039994,0.023482,0.002970,0.019860
1001800,1.3415,0.039994,0.023482,0.002970,0.027168
1001900,1.3415,0.039994,0.023482,0.002970,0.011857
1002000,1.3415,0.039994,0.023482,0.002970,0.015932
1002100,1.3415,0.039994,0.023482,0.002970,0.026671
1002200,1.3415,0.039994,0.023482,0.002970,0.016281
1002300,1.3415,0.039994,0.023482,0.002970,0.015858
1002400,1.3415,0.039994,0.023482,0.002970,0.021153
1002500,1.3415,0.039994,0.023482,0.002970,0.018343
1002600,1.3415,0.039994,0.023482,0.002970,0.014193
1002700,1.3415,0.039994,0.023482,0.002970,0.017449
1002800,1.3415,0.039994,0.023482,0.002970,0.020058
1002900,1.3415,0.039994,0.023482,0.002970,0.013074
1003000,1.3415,0.039994,0.023482,0.002970,0.015336
1003100,1.3415,0.039994,0.023482,0.002970,0.022868
1003200,1.3415,0.039994,0.023482,0.002970,0.015733
1003300,1.3415,0.039994,0.023482,0.002970,0.014341
1003400,1.3415,0.039994,0.023482,0.002970,0.023515
1003500,1.3415,0.039994,0.023482,0.002970,0.023365
1003600,1.3415,0.039994,0.023482,0.002970,0.021178
1003700,1.3415,0.039994,0.023482,0.002970,0.015759
1003800,1.3415,0.039994,0.023482,0.002970,0.021873
1003900,1.3415,0.039994,0.023482,0.002970,0.014117
1004000,1.3415,0.039994,0.023482,0.002970,0.015535
1004100,1.3415,0.039994,0.023482,0.002970,0.027343
1004200,1.3415,0.039994,0.023482,0.002970,0.020208
1004300,1.3415,0.039994,0.023482,0.002970,0.016057
1004400,1.3415,0.039994,0.023482,0.002970,0.021799
1004500,1.3415,0.039994,0.023482,0.002970,0.021227
1004600,1.3415,0.039994,0.023482,0.002970,0.019338
1004700,1.3415,0.039994,0.023482,0.002970,0.010862
1004800,1.3415,0.039994,0.023482,0.002970,0.028909
1004900,1.3415,0.039994,0.023482,0.002970,0.015957
1005000,1.3415,0.039994,0.023482,0.002970,0.014988
1005100,1.3415,0.039994,0.023482,0.002970,0.022420
1005200,1.3415,0.039994,0.023482,0.002970,0.015932
1005300,1.3415,0.039994,0.023482,0.002970,0.019488
1005400,1.3415,0.039994,0.023482,0.002970,0.013720
1005500,1.3415,0.039994,0.023482,0.002970,0.020183
1005600,1.3415,0.039994,0.023482,0.002970,0.014143
1005700,1.3415,0.039994,0.023482,0.002970,0.018096
1005800,1.3415,0.039994,0.023482,0.002970,0.018493
1005900,1.3415,0.039994,0.023482,0.002970,0.013173
1006000,1.3415,0.039994,0.023482,0.002970,0.016902
1006100,1.3415,0.039994,0.023482,0.002970,0.025653
1006200,1.3415,0.039994,0.023482,0.002970,0.017872
1006300,1.3415,0.039994,0.023482,0.002970,0.022744
1006400,1.3415,0.039994,0.023482,0.002970,0.019636
1006500,1.3415,0.039994,0.023482,0.002970,0.016380
1006600,1.3415,0.039994,0.023482,0.002970,0.017027
1006700,1.3415,0.039994,0.023482,0.002970,0.024808
1006800,1.3415,0.039994,0.023482,0.002970,0.021799
1006900,1.3415,0.039994,0.023482,0.002970,0.015733
1007000,1.3415,0.039994,0.023482,0.002970,0.018169
1007100,1.3415,0.039994,0.023482,0.002970,0.018368
1007200,1.3415,0.039994,0.023482,0.002970,0.020631
1007300,1.3415,0.039994,0.023482,0.002970,0.019040
1007400,1.3415,0.039994,0.023482,0.002970,0.023912
1007500,1.3415,0.039994,0.023482,0.002970,0.015833
1007600,1.3415,0.039994,0.023482,0.002970,0.019462
1007700,1.3415,0.039994,0.023482,0.002970,0.019712
1007800,1.3415,0.039994,0.023482,0.002970,0.018442
1007900,1.3415,0.039994,0.023482,0.002970,0.018195
1008000,1.3415,0.039994,0.023482,0.002970,0.013521
1008100,1.3415,0.039994,0.023482,0.002970,0.021028
1008200,1.3415,0.039994,0.023482,0.002970,0.012875
1008300,1.3415,0.039994,0.023482,0.002970,0.017548
1008400,1.3415,0.039994,0.023482,0.002970,0.020109
1008500,1.3415,0.039994,0.023482,0.002970,0.016876
1008600,1.3415,0.039994,0.023482,0.002970,0.015336
1008700,1.3415,0.039994,0.023482,0.002970,0.017001
1008800,1.3415,0.039994,0.023482,0.002970,0.023614
1008900,1.3415,0.039994,0.023482,0.002970,0.012651
1009000,1.3415,0.039994,0.023482,0.002970,0.024882
1009100,1.3415,0.039994,0.023482,0.002970,0.021998
1009200,1.3415,0.039994,0.023482,0.002970,0.017324
1009300,1.3415,0.039994,0.023482,0.002970,0.016604
1009400,1.3415,0.039994,0.023482,0.002970,0.025429
1009500,1.3415,0.039994,0.023482,0.002970,0.020705
1009600,1.3415,0.039994,0.023482,0.002970,0.013198
1009700,1.3415,0.039994,0.023482,0.002970,0.018816
1009800,1.3415,0.039994,0.023482,0.002970,0.021998
1009900,1.3415,0.039994,0.023482,0.002970,0.015957
1010000,1.3415,0.039994,0.023482,0.002970,0.018045
1010100,1.3415,0.039994,0.023482,0.002970,0.029232
1010200,1.3415,0.039994,0.023482,0.002970,0.014267
1010300,1.3415,0.039994,0.023482,0.002970,0.020208
1010400,1.3415,0.039994,0.023482,0.002970,0.020506
1010500,1.3415,0.039994,0.023482,0.002970,0.019959
1010600,1.3415,0.039994,0.023482,0.002970,0.013745
1010700,1.3415,0.039994,0.023482,0.002970,0.018543
1010800,1.3415,0.039994,0.023482,0.002970,0.017274
1010900,1.3415,0.039994,0.023482,0.002970,0.013720
1011000,1.3415,0.039994,0.023482,0.002970,0.018220
1011100,1.3415,0.039994,0.023482,0.002970,0.017299
1011200,1.3415,0.039994,0.023482,0.002970,0.020656
1011300,1.3415,0.039994,0.023482,0.002970,0.013173
1011400,1.3415,0.039994,0.023482,0.002970,0.022196
1011500,1.3415,0.039994,0.023482,0.002970,0.017027
1011600,1.3415,0.039994,0.023482,0.002970,0.018617
1011700,1.3415,0.039994,0.023482,0.002970,0.019984
1011800,1.3415,0.039994,0.023482,0.002970,0.018915
1011900,1.3415,0.039994,0.023482,0.002970,0.021277
1012000,1.3415,0.039994,0.023482,0.002970,0.015660
1012100,1.3415,0.039994,0.023482,0.002970,0.027516
1012200,1.3415,0.039994,0.023482,0.002970,0.017772
