Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,8.6440,0.261844,0.058609,0.079322,0.947262
1000100,8.6440,0.261844,0.058609,0.079322,1.170538
1000200,8.6440,0.261844,0.058609,0.079322,0.713992
1000300,8.6440,0.261844,0.058609,0.079322,1.048242
1000400,8.6440,0.261844,0.058609,0.079322,1.019137
1000500,8.6440,0.261844,0.058609,0.079322,0.954872
1000600,8.6440,0.261844,0.058609,0.079322,0.847612
1000700,8.6440,0.261844,0.058609,0.079322,0.838015
1000800,8.6440,0.261844,0.058609,0.079322,1.269080
1000900,8.6440,0.261844,0.058609,0.079322,0.640965
1001000,8.6440,0.261844,0.058609,0.079322,1.037774
1001100,8.6440,0.261844,0.058609,0.079322,1.151228
1001200,8.6440,0.261844,0.058609,0.079322,0.916310
1001300,8.6440,0.261844,0.058609,0.079322,0.934947
1001400,8.6440,0.261844,0.058609,0.079322,0.916808
1001500,8.6440,0.261844,0.058609,0.079322,1.222766
1001600,8.6440,0.261844,0.058609,0.079322,0.613488
1001700,8.6440,0.261844,0.058609,0.079322,0.888734
1001800,8.6440,0.261844,0.058609,0.079322,1.477689
1001900,8.6440,0.261844,0.058609,0.079322,0.596369
1002000,8.6440,0.261844,0.058609,0.079322,0.988841
1002100,8.6440,0.261844,0.058609,0.079322,1.119484
1002200,8.6440,0.261844,0.058609,0.079322,0.938221
1002300,8.6440,0.261844,0.058609,0.079322,0.714627
1002400,8.6440,0.261844,0.058609,0.079322,1.020130
1002500,8.6440,0.261844,0.058609,0.079322,1.251374
1002600,8.6440,0.261844,0.058609,0.079322,0.612594
1002700,8.6440,0.261844,0.058609,0.079322,0.908004
1002800,8.6440,0.261844,0.058609,0.079322,1.302490
1002900,8.6440,0.261844,0.058609,0.079322,0.844633
1003000,8.6440,0.261844,0.058609,0.079322,0.815369
1003100,8.6440,0.261844,0.058609,0.079322,1.020726
1003200,8.6440,0.261844,0.058609,0.079322,1.114817
1003300,8.6440,0.261844,0.058609,0.079322,0.845229
1003400,8.6440,0.261844,0.058609,0.079322,0.979008
1003500,8.6440,0.261844,0.058609,0.079322,1.077826
1003600,8.6440,0.261844,0.058609,0.079322,0.808453
1003700,8.6440,0.261844,0.058609,0.079322,0.771131
1003800,8.6440,0.261844,0.058609,0.079322,1.222706
1003900,8.6440,0.261844,0.058609,0.079322,1.043240
1004000,8.6440,0.261844,0.058609,0.079322,0.735844
1004100,8.6440,0.261844,0.058609,0.079322,1.120239
1004200,8.6440,0.261844,0.058609,0.079322,1.019633
1004300,8.6440,0.261844,0.058609,0.079322,0.856988
1004400,8.6440,0.261844,0.058609,0.079322,0.848208
1004500,8.6440,0.261844,0.058609,0.079322,1.171988
1004600,8.6440,0.261844,0.058609,0.079322,0.965601
1004700,8.6440,0.261844,0.058609,0.079322,0.540421
1004800,8.6440,0.261844,0.058609,0.079322,1.424252
