Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.2191,0.065854,0.000377,0.000034,0.314306
1000100,0.2191,0.065854,0.000377,0.000034,0.388488
1000200,0.2191,0.065854,0.000377,0.000034,0.244026
1000300,0.2191,0.065854,0.000377,0.000034,0.349017
1000400,0.2191,0.065854,0.000377,0.000034,0.339169
1000500,0.2191,0.065854,0.000377,0.000034,0.322427
1000600,0.2191,0.065854,0.000377,0.000034,0.284602
1000700,0.2191,0.065854,0.000377,0.000034,0.288841
1000800,0.2191,0.065854,0.000377,0.000034,0.413160
1000900,0.2191,0.065854,0.000377,0.000034,0.224960
1001000,0.2191,0.065854,0.000377,0.000034,0.348009
1001100,0.2191,0.065854,0.000377,0.000034,0.374435
1001200,0.2191,0.065854,0.000377,0.000034,0.308322
1001300,0.2191,0.065854,0.000377,0.000034,0.318423
1001400,0.2191,0.065854,0.000377,0.000034,0.314352
1001500,0.2191,0.065854,0.000377,0.000034,0.392946
1001600,0.2191,0.065854,0.000377,0.000034,0.219532
1001700,0.2191,0.065854,0.000377,0.000034,0.303802
1001800,0.2191,0.065854,0.000377,0.000034,0.472658
1001900,0.2191,0.065854,0.000377,0.000034,0.210832
1002000,0.2191,0.065854,0.000377,0.000034,0.328145
1002100,0.2191,0.065854,0.000377,0.000034,0.373910
1002200,0.2191,0.065854,0.000377,0.000034,0.313032
1002300,0.2191,0.065854,0.000377,0.000034,0.249134
1002400,0.2191,0.065854,0.000377,0.000034,0.339119
1002500,0.2191,0.065854,0.000377,0.000034,0.403601
1002600,0.2191,0.065854,0.000377,0.000034,0.219313
1002700,0.2191,0.065854,0.000377,0.000034,0.312914
1002800,0.2191,0.065854,0.000377,0.000034,0.418730
1002900,0.2191,0.065854,0.000377,0.000034,0.284350
1003000,0.2191,0.065854,0.000377,0.000034,0.279073
1003100,0.2191,0.065854,0.000377,0.000034,0.339001
1003200,0.2191,0.065854,0.000377,0.000034,0.373154
1003300,0.2191,0.065854,0.000377,0.000034,0.284367
1003400,0.2191,0.065854,0.000377,0.000034,0.332733
1003500,0.2191,0.065854,0.000377,0.000034,0.349636
1003600,0.2191,0.065854,0.000377,0.000034,0.282824
1003700,0.2191,0.065854,0.000377,0.000034,0.260358
1003800,0.2191,0.065854,0.000377,0.000034,0.398475
1003900,0.2191,0.065854,0.000377,0.000034,0.349097
1004000,0.2191,0.065854,0.000377,0.000034,0.253642
1004100,0.2191,0.065854,0.000377,0.000034,0.369004
1004200,0.2191,0.065854,0.000377,0.000034,0.338446
1004300,0.2191,0.065854,0.000377,0.000034,0.297432
1004400,0.2191,0.065854,0.000377,0.000034,0.285107
1004500,0.2191,0.065854,0.000377,0.000034,0.383447
1004600,0.2191,0.065854,0.000377,0.000034,0.323633
1004700,0.2191,0.065854,0.000377,0.000034,0.195156
1004800,0.2191,0.065854,0.000377,0.000034,0.458030
1004900,0.2191,0.065854,0.000377,0.000034,0.293984
1005000,0.2191,0.065854,0.000377,0.000034,0.308457
1005100,0.2191,0.065854,0.000377,0.000034,0.318763
1005200,0.2191,0.065854,0.000377,0.000034,0.358869
1005300,0.2191,0.065854,0.000377,0.000034,0.308692
1005400,0.2191,0.065854,0.000377,0.000034,0.279157
1005500,0.2191,0.065854,0.000377,0.000034,0.398307
1005600,0.2191,0.065854,0.000377,0.000034,0.243907
1005700,0.2191,0.065854,0.000377,0.000034,0.323687
1005800,0.2191,0.065854,0.000377,0.000034,0.384599
1005900,0.2191,0.065854,0.000377,0.000034,0.283346
1006000,0.2191,0.065854,0.000377,0.000034,0.338816
1006100,0.2191,0.065854,0.000377,0.000034,0.299038
1006200,0.2191,0.065854,0.000377,0.000034,0.328124
1006300,0.2191,0.065854,0.000377,0.000034,0.327788
