Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,1.6202,0.544831,0.005673,0.000697,0.326899
200,1.6202,0.544831,0.005673,0.000697,0.326899
300,1.6202,0.544831,0.005673,0.000697,0.326899
400,1.6202,0.544831,0.005673,0.000697,0.326899
500,1.6202,0.544831,0.005673,0.000697,0.326899
600,1.6202,0.544831,0.005673,0.000697,0.326899
700,1.6202,0.544831,0.005673,0.000697,0.326899
800,1.6202,0.544831,0.005673,0.000697,0.326899
900,1.6202,0.544831,0.005673,0.000697,0.326899
1000,1.6202,0.544831,0.005673,0.000697,0.326899
1100,1.6202,0.544831,0.005673,0.000697,0.326899
1200,1.6202,0.544831,0.005673,0.000697,0.326899
1300,1.6202,0.544831,0.005673,0.000697,0.326899
1400,1.6202,0.544831,0.005673,0.000697,0.326899
1500,1.6202,0.544831,0.005673,0.000697,0.326899
1600,1.6202,0.544831,0.005673,0.000697,0.326899
1700,1.6202,0.544831,0.005673,0.000697,0.326899
1800,1.6202,0.544831,0.005673,0.000697,0.326899
1900,1.6202,0.544831,0.005673,0.000697,0.326899
2000,1.6202,0.544831,0.005673,0.000697,0.326899
2100,1.6202,0.544831,0.005673,0.000697,0.326899
2200,1.6202,0.544831,0.005673,0.000697,0.326899
2300,1.6202,0.544831,0.005673,0.000697,0.326899
2400,1.6202,0.544831,0.005673,0.000697,0.326899
2500,1.6202,0.544831,0.005673,0.000697,0.326899
2600,1.6202,0.544831,0.005673,0.000697,0.326899
2700,1.6202,0.544831,0.005673,0.000697,0.326899
2800,1.6202,0.544831,0.005673,0.000697,0.326899
2900,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
3100,1.6202,0.544831,0.005673,0.000697,0.326899
3200,1.6202,0.544831,0.005673,0.000697,0.326899
3300,1.6202,0.544831,0.005673,0.000697,0.326899
3400,1.6202,0.544831,0.005673,0.000697,0.326899
3500,1.6202,0.544831,0.005673,0.000697,0.326899
3600,1.6202,0.544831,0.005673,0.000697,0.326899
3700,1.6202,0.544831,0.005673,0.000697,0.326899
3800,1.6202,0.544831,0.005673,0.000697,0.326899
3900,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
4100,1.6202,0.544831,0.005673,0.000697,0.326899
4200,1.6202,0.544831,0.005673,0.000697,0.326899
4300,1.6202,0.544831,0.005673,0.000697,0.326899
4400,1.6202,0.544831,0.005673,0.000697,0.326899
4500,1.6202,0.544831,0.005673,0.000697,0.326899
4600,1.6202,0.544831,0.005673,0.000697,0.326899
4700,1.6202,0.544831,0.005673,0.000697,0.326899
4800,1.6202,0.544831,0.005673,0.000697,0.326899
4900,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
5100,1.6202,0.544831,0.005673,0.000697,0.326899
5200,1.6202,0.544831,0.005673,0.000697,0.326899
5300,1.6202,0.544831,0.005673,0.000697,0.326899
5400,1.6202,0.544831,0.005673,0.000697,0.326899
5500,1.6202,0.544831,0.005673,0.000697,0.337389
5600,1.6202,0.544831,0.005673,0.000697,0.353124
5700,1.6202,0.544831,0.005673,0.000697,0.356402
5800,1.6202,0.544831,0.005673,0.000697,0.356402
5900,1.6202,0.544831,0.005673,0.000697,0.357058
6000,1.6202,0.544831,0.005673,0.000697,0.355091
6100,1.6202,0.544831,0.005673,0.000697,0.355091
6200,1.6202,0.544831,0.005673,0.000697,0.355746
6300,1.6202,0.544831,0.005673,0.000697,0.354435
6400,1.6202,0.544831,0.005673,0.000697,0.351157
6500,1.6202,0.544831,0.005673,0.000697,0.356402
6600,1.6202,0.544831,0.005673,0.000697,0.355091
6700,1.6202,0.544831,0.005673,0.000697,0.355746
6800,1.6202,0.544831,0.005673,0.000697,0.355746
6900,1.6202,0.544831,0.005673,0.000697,0.353779
7000,1.6202,0.544831,0.005673,0.000697,0.349846
7100,1.6202,0.544831,0.005673,0.000697,0.354435
7200,1.6202,0.544831,0.005673,0.000697,0.356402
7300,1.6202,0.544831,0.005673,0.000697,0.355091
7400,1.6202,0.544831,0.005673,0.000697,0.352468
7500,1.6202,0.544831,0.005673,0.000697,0.352468
7600,1.6202,0.544831,0.005673,0.000697,0.356402
7700,1.6202,0.544831,0.005673,0.000697,0.353124
7800,1.6202,0.544831,0.005673,0.000697,0.349846
7900,1.6202,0.544831,0.005673,0.000697,0.354435
8000,1.6202,0.544831,0.005673,0.000697,0.353779
8100,1.6202,0.544831,0.005673,0.000697,0.353779
8200,1.6202,0.544831,0.005673,0.000697,0.355091
8300,1.6202,0.544831,0.005673,0.000697,0.351157
8400,1.6202,0.544831,0.005673,0.000697,0.351157
8500,1.6202,0.544831,0.005673,0.000697,0.355746
8600,1.6202,0.544831,0.005673,0.000697,0.355091
8700,1.6202,0.544831,0.005673,0.000697,0.353124
8800,1.6202,0.544831,0.005673,0.000697,0.352468
8900,1.6202,0.544831,0.005673,0.000697,0.356402
9000,1.6202,0.544831,0.005673,0.000697,0.351157
9100,1.6202,0.544831,0.005673,0.000697,0.350501
9200,1.6202,0.544831,0.005673,0.000697,0.356402
9300,1.6202,0.544831,0.005673,0.000697,0.353124
9400,1.6202,0.544831,0.005673,0.000697,0.355091
9500,1.6202,0.544831,0.005673,0.000697,0.356402
9600,1.6202,0.544831,0.005673,0.000697,0.353124
9700,1.6202,0.544831,0.005673,0.000697,0.352468
9800,1.6202,0.544831,0.005673,0.000697,0.351813
9900,1.6202,0.544831,0.005673,0.000697,0.352468
10000,1.6202,0.544831,0.005673,0.000697,0.353779
10100,1.6202,0.544831,0.005673,0.000697,0.346568
10200,1.6202,0.544831,0.005673,0.000697,0.337389
10300,1.6202,0.544831,0.005673,0.000697,0.328210
10400,1.6202,0.544831,0.005673,0.000697,0.326899
10500,1.6202,0.544831,0.005673,0.000697,0.342634
10600,1.6202,0.544831,0.005673,0.000697,0.349190
10700,1.6202,0.544831,0.005673,0.000697,0.348534
10800,1.6202,0.544831,0.005673,0.000697,0.356402
10900,1.6202,0.544831,0.005673,0.000697,0.355091
11000,1.6202,0.544831,0.005673,0.000697,0.353779
11100,1.6202,0.544831,0.005673,0.000697,0.356402
11200,1.6202,0.544831,0.005673,0.000697,0.354435
11300,1.6202,0.544831,0.005673,0.000697,0.352468
11400,1.6202,0.544831,0.005673,0.000697,0.355091
11500,1.6202,0.544831,0.005673,0.000697,0.354435
11600,1.6202,0.544831,0.005673,0.000697,0.356402
11700,1.6202,0.544831,0.005673,0.000697,0.357058
11800,1.6202,0.544831,0.005673,0.000697,0.355091
11900,1.6202,0.544831,0.005673,0.000697,0.354435
12000,1.6202,0.544831,0.005673,0.000697,0.356402
12100,1.6202,0.544831,0.005673,0.000697,0.351813
12200,1.6202,0.544831,0.005673,0.000697,0.351813
12300,1.6202,0.544831,0.005673,0.000697,0.357058
12400,1.6202,0.544831,0.005673,0.000697,0.352468
12500,1.6202,0.544831,0.005673,0.000697,0.357058
12600,1.6202,0.544831,0.005673,0.000697,0.356402
12700,1.6202,0.544831,0.005673,0.000697,0.355746
12800,1.6202,0.544831,0.005673,0.000697,0.353779
12900,1.6202,0.544831,0.005673,0.000697,0.356402
13000,1.6202,0.544831,0.005673,0.000697,0.355091
13100,1.6202,0.544831,0.005673,0.000697,0.355746
13200,1.6202,0.544831,0.005673,0.000697,0.355091
13300,1.6202,0.544831,0.005673,0.000697,0.356402
13400,1.6202,0.544831,0.005673,0.000697,0.355091
13500,1.6202,0.544831,0.005673,0.000697,0.356402
13600,1.6202,0.544831,0.005673,0.000697,0.355746
13700,1.6202,0.544831,0.005673,0.000697,0.353124
13800,1.6202,0.544831,0.005673,0.000697,0.356402
13900,1.6202,0.544831,0.005673,0.000697,0.351813
14000,1.6202,0.544831,0.005673,0.000697,0.356402
14100,1.6202,0.544831,0.005673,0.000697,0.355746
14200,1.6202,0.544831,0.005673,0.000697,0.353779
14300,1.6202,0.544831,0.005673,0.000697,0.355091
14400,1.6202,0.544831,0.005673,0.000697,0.354435
14500,1.6202,0.544831,0.005673,0.000697,0.355746
14600,1.6202,0.544831,0.005673,0.000697,0.356402
14700,1.6202,0.544831,0.005673,0.000697,0.357058
14800,1.6202,0.544831,0.005673,0.000697,0.352468
14900,1.6202,0.544831,0.005673,0.000697,0.356402
15000,1.6202,0.544831,0.005673,0.000697,0.357058
15100,1.6202,0.544831,0.005673,0.000697,0.354435
15200,1.6202,0.544831,0.005673,0.000697,0.343289
15300,1.6202,0.544831,0.005673,0.000697,0.327554
15400,1.6202,0.544831,0.005673,0.000697,0.344601
15500,1.6202,0.544831,0.005673,0.000697,0.355091
15600,1.6202,0.544831,0.005673,0.000697,0.357058
15700,1.6202,0.544831,0.005673,0.000697,0.355091
15800,1.6202,0.544831,0.005673,0.000697,0.357058
15900,1.6202,0.544831,0.005673,0.000697,0.356402
