Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.6202,0.544831,0.005673,0.000697,0.374759
1000100,1.6202,0.544831,0.005673,0.000697,0.384594
1000200,1.6202,0.544831,0.005673,0.000697,0.363614
1000300,1.6202,0.544831,0.005673,0.000697,0.374104
1000400,1.6202,0.544831,0.005673,0.000697,0.396395
1000500,1.6202,0.544831,0.005673,0.000697,0.359024
1000600,1.6202,0.544831,0.005673,0.000697,0.378038
1000700,1.6202,0.544831,0.005673,0.000697,0.389839
1000800,1.6202,0.544831,0.005673,0.000697,0.368859
1000900,1.6202,0.544831,0.005673,0.000697,0.375415
1001000,1.6202,0.544831,0.005673,0.000697,0.369514
1001100,1.6202,0.544831,0.005673,0.000697,0.396395
1001200,1.6202,0.544831,0.005673,0.000697,0.355091
1001300,1.6202,0.544831,0.005673,0.000697,0.377382
1001400,1.6202,0.544831,0.005673,0.000697,0.393117
1001500,1.6202,0.544831,0.005673,0.000697,0.362958
1001600,1.6202,0.544831,0.005673,0.000697,0.377382
1001700,1.6202,0.544831,0.005673,0.000697,0.392461
1001800,1.6202,0.544831,0.005673,0.000697,0.374759
1001900,1.6202,0.544831,0.005673,0.000697,0.361647
1002000,1.6202,0.544831,0.005673,0.000697,0.372793
1002100,1.6202,0.544831,0.005673,0.000697,0.392461
1002200,1.6202,0.544831,0.005673,0.000697,0.364269
1002300,1.6202,0.544831,0.005673,0.000697,0.370170
1002400,1.6202,0.544831,0.005673,0.000697,0.394428
1002500,1.6202,0.544831,0.005673,0.000697,0.372137
1002600,1.6202,0.544831,0.005673,0.000697,0.368859
1002700,1.6202,0.544831,0.005673,0.000697,0.380660
1002800,1.6202,0.544831,0.005673,0.000697,0.381316
1002900,1.6202,0.544831,0.005673,0.000697,0.368203
1003000,1.6202,0.544831,0.005673,0.000697,0.376071
1003100,1.6202,0.544831,0.005673,0.000697,0.389839
1003200,1.6202,0.544831,0.005673,0.000697,0.362958
1003300,1.6202,0.544831,0.005673,0.000697,0.368859
1003400,1.6202,0.544831,0.005673,0.000697,0.393773
1003500,1.6202,0.544831,0.005673,0.000697,0.372793
1003600,1.6202,0.544831,0.005673,0.000697,0.368859
1003700,1.6202,0.544831,0.005673,0.000697,0.376071
1003800,1.6202,0.544831,0.005673,0.000697,0.385905
1003900,1.6202,0.544831,0.005673,0.000697,0.372793
1004000,1.6202,0.544831,0.005673,0.000697,0.371481
1004100,1.6202,0.544831,0.005673,0.000697,0.393773
1004200,1.6202,0.544831,0.005673,0.000697,0.368203
1004300,1.6202,0.544831,0.005673,0.000697,0.357713
1004400,1.6202,0.544831,0.005673,0.000697,0.397706
1004500,1.6202,0.544831,0.005673,0.000697,0.380660
1004600,1.6202,0.544831,0.005673,0.000697,0.366892
1004700,1.6202,0.544831,0.005673,0.000697,0.374759
1004800,1.6202,0.544831,0.005673,0.000697,0.380660
1004900,1.6202,0.544831,0.005673,0.000697,0.376726
1005000,1.6202,0.544831,0.005673,0.000697,0.360336
1005100,1.6202,0.544831,0.005673,0.000697,0.395084
1005200,1.6202,0.544831,0.005673,0.000697,0.370170
1005300,1.6202,0.544831,0.005673,0.000697,0.369514
1005400,1.6202,0.544831,0.005673,0.000697,0.379349
1005500,1.6202,0.544831,0.005673,0.000697,0.379349
1005600,1.6202,0.544831,0.005673,0.000697,0.380004
1005700,1.6202,0.544831,0.005673,0.000697,0.373448
1005800,1.6202,0.544831,0.005673,0.000697,0.381971
1005900,1.6202,0.544831,0.005673,0.000697,0.368203
1006000,1.6202,0.544831,0.005673,0.000697,0.382627
1006100,1.6202,0.544831,0.005673,0.000697,0.376726
1006200,1.6202,0.544831,0.005673,0.000697,0.367548
1006300,1.6202,0.544831,0.005673,0.000697,0.375415
1006400,1.6202,0.544831,0.005673,0.000697,0.382627
1006500,1.6202,0.544831,0.005673,0.000697,0.374759
1006600,1.6202,0.544831,0.005673,0.000697,0.372137
1006700,1.6202,0.544831,0.005673,0.000697,0.381316
1006800,1.6202,0.544831,0.005673,0.000697,0.379349
1006900,1.6202,0.544831,0.005673,0.000697,0.370170
1007000,1.6202,0.544831,0.005673,0.000697,0.376726
1007100,1.6202,0.544831,0.005673,0.000697,0.382627
1007200,1.6202,0.544831,0.005673,0.000697,0.380004
1007300,1.6202,0.544831,0.005673,0.000697,0.373448
1007400,1.6202,0.544831,0.005673,0.000697,0.376071
1007500,1.6202,0.544831,0.005673,0.000697,0.377382
1007600,1.6202,0.544831,0.005673,0.000697,0.366236
1007700,1.6202,0.544831,0.005673,0.000697,0.395739
1007800,1.6202,0.544831,0.005673,0.000697,0.361647
1007900,1.6202,0.544831,0.005673,0.000697,0.374759
1008000,1.6202,0.544831,0.005673,0.000697,0.374104
1008100,1.6202,0.544831,0.005673,0.000697,0.388528
1008200,1.6202,0.544831,0.005673,0.000697,0.368203
1008300,1.6202,0.544831,0.005673,0.000697,0.367548
1008400,1.6202,0.544831,0.005673,0.000697,0.396395
1008500,1.6202,0.544831,0.005673,0.000697,0.364925
1008600,1.6202,0.544831,0.005673,0.000697,0.376726
1008700,1.6202,0.544831,0.005673,0.000697,0.380660
1008800,1.6202,0.544831,0.005673,0.000697,0.379349
1008900,1.6202,0.544831,0.005673,0.000697,0.372793
1009000,1.6202,0.544831,0.005673,0.000697,0.370170
1009100,1.6202,0.544831,0.005673,0.000697,0.386561
1009200,1.6202,0.544831,0.005673,0.000697,0.364269
1009300,1.6202,0.544831,0.005673,0.000697,0.376071
1009400,1.6202,0.544831,0.005673,0.000697,0.387216
1009500,1.6202,0.544831,0.005673,0.000697,0.371481
1009600,1.6202,0.544831,0.005673,0.000697,0.374759
1009700,1.6202,0.544831,0.005673,0.000697,0.387872
1009800,1.6202,0.544831,0.005673,0.000697,0.370170
1009900,1.6202,0.544831,0.005673,0.000697,0.372793
1010000,1.6202,0.544831,0.005673,0.000697,0.372793
1010100,1.6202,0.544831,0.005673,0.000697,0.394428
1010200,1.6202,0.544831,0.005673,0.000697,0.361647
1010300,1.6202,0.544831,0.005673,0.000697,0.371481
1010400,1.6202,0.544831,0.005673,0.000697,0.388528
1010500,1.6202,0.544831,0.005673,0.000697,0.372137
1010600,1.6202,0.544831,0.005673,0.000697,0.370826
1010700,1.6202,0.544831,0.005673,0.000697,0.383938
1010800,1.6202,0.544831,0.005673,0.000697,0.383283
1010900,1.6202,0.544831,0.005673,0.000697,0.360991
1011000,1.6202,0.544831,0.005673,0.000697,0.384594
1011100,1.6202,0.544831,0.005673,0.000697,0.378693
1011200,1.6202,0.544831,0.005673,0.000697,0.368859
1011300,1.6202,0.544831,0.005673,0.000697,0.372793
1011400,1.6202,0.544831,0.005673,0.000697,0.387872
1011500,1.6202,0.544831,0.005673,0.000697,0.375415
1011600,1.6202,0.544831,0.005673,0.000697,0.372137
1011700,1.6202,0.544831,0.005673,0.000697,0.381316
1011800,1.6202,0.544831,0.005673,0.000697,0.373448
1011900,1.6202,0.544831,0.005673,0.000697,0.374759
1012000,1.6202,0.544831,0.005673,0.000697,0.378038
1012100,1.6202,0.544831,0.005673,0.000697,0.376726
1012200,1.6202,0.544831,0.005673,0.000697,0.374759
1012300,1.6202,0.544831,0.005673,0.000697,0.373448
1012400,1.6202,0.544831,0.005673,0.000697,0.388528
1012500,1.6202,0.544831,0.005673,0.000697,0.368859
1012600,1.6202,0.544831,0.005673,0.000697,0.368203
1012700,1.6202,0.544831,0.005673,0.000697,0.391150
1012800,1.6202,0.544831,0.005673,0.000697,0.376726
1012900,1.6202,0.544831,0.005673,0.000697,0.366892
1013000,1.6202,0.544831,0.005673,0.000697,0.366236
1013100,1.6202,0.544831,0.005673,0.000697,0.393773
1013200,1.6202,0.544831,0.005673,0.000697,0.371481
1013300,1.6202,0.544831,0.005673,0.000697,0.374104
1013400,1.6202,0.544831,0.005673,0.000697,0.384594
1013500,1.6202,0.544831,0.005673,0.000697,0.365581
1013600,1.6202,0.544831,0.005673,0.000697,0.381316
1013700,1.6202,0.544831,0.005673,0.000697,0.382627
1013800,1.6202,0.544831,0.005673,0.000697,0.371481
1013900,1.6202,0.544831,0.005673,0.000697,0.372793
1014000,1.6202,0.544831,0.005673,0.000697,0.386561
1014100,1.6202,0.544831,0.005673,0.000697,0.374759
1014200,1.6202,0.544831,0.005673,0.000697,0.356402
1014300,1.6202,0.544831,0.005673,0.000697,0.391150
1014400,1.6202,0.544831,0.005673,0.000697,0.378038
1014500,1.6202,0.544831,0.005673,0.000697,0.372793
1014600,1.6202,0.544831,0.005673,0.000697,0.371481
1014700,1.6202,0.544831,0.005673,0.000697,0.389839
1014800,1.6202,0.544831,0.005673,0.000697,0.371481
1014900,1.6202,0.544831,0.005673,0.000697,0.361647
1015000,1.6202,0.544831,0.005673,0.000697,0.381316
1015100,1.6202,0.544831,0.005673,0.000697,0.384594
1015200,1.6202,0.544831,0.005673,0.000697,0.367548
1015300,1.6202,0.544831,0.005673,0.000697,0.379349
1015400,1.6202,0.544831,0.005673,0.000697,0.389839
1015500,1.6202,0.544831,0.005673,0.000697,0.373448
1015600,1.6202,0.544831,0.005673,0.000697,0.370826
1015700,1.6202,0.544831,0.005673,0.000697,0.383938
1015800,1.6202,0.544831,0.005673,0.000697,0.372793
1015900,1.6202,0.544831,0.005673,0.000697,0.359024
1016000,1.6202,0.544831,0.005673,0.000697,0.384594
1016100,1.6202,0.544831,0.005673,0.000697,0.391806
1016200,1.6202,0.544831,0.005673,0.000697,0.363614
1016300,1.6202,0.544831,0.005673,0.000697,0.369514
1016400,1.6202,0.544831,0.005673,0.000697,0.399673
1016500,1.6202,0.544831,0.005673,0.000697,0.360991
1016600,1.6202,0.544831,0.005673,0.000697,0.368203
1016700,1.6202,0.544831,0.005673,0.000697,0.389183
1016800,1.6202,0.544831,0.005673,0.000697,0.378038
1016900,1.6202,0.544831,0.005673,0.000697,0.371481
1017000,1.6202,0.544831,0.005673,0.000697,0.372793
1017100,1.6202,0.544831,0.005673,0.000697,0.395739
1017200,1.6202,0.544831,0.005673,0.000697,0.354435
1017300,1.6202,0.544831,0.005673,0.000697,0.368859
1017400,1.6202,0.544831,0.005673,0.000697,0.397051
1017500,1.6202,0.544831,0.005673,0.000697,0.367548
1017600,1.6202,0.544831,0.005673,0.000697,0.372137
1017700,1.6202,0.544831,0.005673,0.000697,0.377382
1017800,1.6202,0.544831,0.005673,0.000697,0.389183
1017900,1.6202,0.544831,0.005673,0.000697,0.365581
1018000,1.6202,0.544831,0.005673,0.000697,0.369514
1018100,1.6202,0.544831,0.005673,0.000697,0.394428
1018200,1.6202,0.544831,0.005673,0.000697,0.370826
1018300,1.6202,0.544831,0.005673,0.000697,0.365581
1018400,1.6202,0.544831,0.005673,0.000697,0.393117
1018500,1.6202,0.544831,0.005673,0.000697,0.370826
1018600,1.6202,0.544831,0.005673,0.000697,0.370826
1018700,1.6202,0.544831,0.005673,0.000697,0.373448
1018800,1.6202,0.544831,0.005673,0.000697,0.395084
1018900,1.6202,0.544831,0.005673,0.000697,0.362303
1019000,1.6202,0.544831,0.005673,0.000697,0.376071
1019100,1.6202,0.544831,0.005673,0.000697,0.392461
1019200,1.6202,0.544831,0.005673,0.000697,0.360336
1019300,1.6202,0.544831,0.005673,0.000697,0.374759
1019400,1.6202,0.544831,0.005673,0.000697,0.376726
1019500,1.6202,0.544831,0.005673,0.000697,0.387216
1019600,1.6202,0.544831,0.005673,0.000697,0.368203
1019700,1.6202,0.544831,0.005673,0.000697,0.376071
1019800,1.6202,0.544831,0.005673,0.000697,0.386561
1019900,1.6202,0.544831,0.005673,0.000697,0.371481
1020000,1.6202,0.544831,0.005673,0.000697,0.372137
1020100,1.6202,0.544831,0.005673,0.000697,0.376726
1020200,1.6202,0.544831,0.005673,0.000697,0.381316
1020300,1.6202,0.544831,0.005673,0.000697,0.363614
1020400,1.6202,0.544831,0.005673,0.000697,0.386561
1020500,1.6202,0.544831,0.005673,0.000697,0.377382
1020600,1.6202,0.544831,0.005673,0.000697,0.374759
1020700,1.6202,0.544831,0.005673,0.000697,0.380004
1020800,1.6202,0.544831,0.005673,0.000697,0.371481
1020900,1.6202,0.544831,0.005673,0.000697,0.381971
1021000,1.6202,0.544831,0.005673,0.000697,0.365581
1021100,1.6202,0.544831,0.005673,0.000697,0.383938
1021200,1.6202,0.544831,0.005673,0.000697,0.380660
1021300,1.6202,0.544831,0.005673,0.000697,0.370826
1021400,1.6202,0.544831,0.005673,0.000697,0.380004
1021500,1.6202,0.544831,0.005673,0.000697,0.370170
1021600,1.6202,0.544831,0.005673,0.000697,0.381316
1021700,1.6202,0.544831,0.005673,0.000697,0.370826
1021800,1.6202,0.544831,0.005673,0.000697,0.381971
1021900,1.6202,0.544831,0.005673,0.000697,0.375415
1022000,1.6202,0.544831,0.005673,0.000697,0.382627
1022100,1.6202,0.544831,0.005673,0.000697,0.372793
1022200,1.6202,0.544831,0.005673,0.000697,0.361647
1022300,1.6202,0.544831,0.005673,0.000697,0.393117
1022400,1.6202,0.544831,0.005673,0.000697,0.366892
1022500,1.6202,0.544831,0.005673,0.000697,0.374759
1022600,1.6202,0.544831,0.005673,0.000697,0.389183
1022700,1.6202,0.544831,0.005673,0.000697,0.374759
1022800,1.6202,0.544831,0.005673,0.000697,0.372793
1022900,1.6202,0.544831,0.005673,0.000697,0.367548
1023000,1.6202,0.544831,0.005673,0.000697,0.378693
1023100,1.6202,0.544831,0.005673,0.000697,0.380004
