Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,0.7779,0.306348,0.002724,0.000334,0.183809
200,0.7779,0.306348,0.002724,0.000334,0.183809
300,0.7779,0.306348,0.002724,0.000334,0.183809
400,0.7779,0.306348,0.002724,0.000334,0.183809
500,0.7779,0.306348,0.002724,0.000334,0.183809
600,0.7779,0.306348,0.002724,0.000334,0.183809
700,0.7779,0.306348,0.002724,0.000334,0.183809
800,0.7779,0.306348,0.002724,0.000334,0.183809
900,0.7779,0.306348,0.002724,0.000334,0.183809
1000,0.7779,0.306348,0.002724,0.000334,0.183809
1100,0.7779,0.306348,0.002724,0.000334,0.183809
1200,0.7779,0.306348,0.002724,0.000334,0.183809
1300,0.7779,0.306348,0.002724,0.000334,0.183809
1400,0.7779,0.306348,0.002724,0.000334,0.183809
1500,0.7779,0.306348,0.002724,0.000334,0.183809
1600,0.7779,0.306348,0.002724,0.000334,0.183809
1700,0.7779,0.306348,0.002724,0.000334,0.183809
1800,0.7779,0.306348,0.002724,0.000334,0.183809
1900,0.7779,0.306348,0.002724,0.000334,0.183809
2000,0.7779,0.306348,0.002724,0.000334,0.183809
2100,0.7779,0.306348,0.002724,0.000334,0.183809
2200,0.7779,0.306348,0.002724,0.000334,0.183809
2300,0.7779,0.306348,0.002724,0.000334,0.183809
2400,0.7779,0.306348,0.002724,0.000334,0.183809
2500,0.7779,0.306348,0.002724,0.000334,0.183809
2600,0.7779,0.306348,0.002724,0.000334,0.183809
2700,0.7779,0.306348,0.002724,0.000334,0.183809
2800,0.7779,0.306348,0.002724,0.000334,0.183809
2900,0.7779,0.306348,0.002724,0.000334,0.183809
3000,0.7779,0.306348,0.002724,0.000334,0.183809
3100,0.7779,0.306348,0.002724,0.000334,0.183809
3200,0.7779,0.306348,0.002724,0.000334,0.183809
3300,0.7779,0.306348,0.002724,0.000334,0.183809
3400,0.7779,0.306348,0.002724,0.000334,0.183809
3500,0.7779,0.306348,0.002724,0.000334,0.183809
3600,0.7779,0.306348,0.002724,0.000334,0.183809
3700,0.7779,0.306348,0.002724,0.000334,0.183809
3800,0.7779,0.306348,0.002724,0.000334,0.183809
3900,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
4100,0.7779,0.306348,0.002724,0.000334,0.183809
4200,0.7779,0.306348,0.002724,0.000334,0.183809
4300,0.7779,0.306348,0.002724,0.000334,0.183809
4400,0.7779,0.306348,0.002724,0.000334,0.183809
4500,0.7779,0.306348,0.002724,0.000334,0.183809
4600,0.7779,0.306348,0.002724,0.000334,0.183809
4700,0.7779,0.306348,0.002724,0.000334,0.183809
4800,0.7779,0.306348,0.002724,0.000334,0.183809
4900,0.7779,0.306348,0.002724,0.000334,0.183809
5000,0.7779,0.306348,0.002724,0.000334,0.183809
5100,0.7779,0.306348,0.002724,0.000334,0.183809
5200,0.7779,0.306348,0.002724,0.000334,0.183809
5300,0.7779,0.306348,0.002724,0.000334,0.183809
5400,0.7779,0.306348,0.002724,0.000334,0.183809
5500,0.7779,0.306348,0.002724,0.000334,0.189052
5600,0.7779,0.306348,0.002724,0.000334,0.196916
5700,0.7779,0.306348,0.002724,0.000334,0.198555
5800,0.7779,0.306348,0.002724,0.000334,0.198555
5900,0.7779,0.306348,0.002724,0.000334,0.198882
6000,0.7779,0.306348,0.002724,0.000334,0.197899
6100,0.7779,0.306348,0.002724,0.000334,0.197899
6200,0.7779,0.306348,0.002724,0.000334,0.198227
6300,0.7779,0.306348,0.002724,0.000334,0.197571
6400,0.7779,0.306348,0.002724,0.000334,0.195933
6500,0.7779,0.306348,0.002724,0.000334,0.198555
6600,0.7779,0.306348,0.002724,0.000334,0.197899
6700,0.7779,0.306348,0.002724,0.000334,0.198227
6800,0.7779,0.306348,0.002724,0.000334,0.198227
6900,0.7779,0.306348,0.002724,0.000334,0.197244
7000,0.7779,0.306348,0.002724,0.000334,0.195278
7100,0.7779,0.306348,0.002724,0.000334,0.197571
7200,0.7779,0.306348,0.002724,0.000334,0.198555
7300,0.7779,0.306348,0.002724,0.000334,0.197899
7400,0.7779,0.306348,0.002724,0.000334,0.196588
7500,0.7779,0.306348,0.002724,0.000334,0.196588
7600,0.7779,0.306348,0.002724,0.000334,0.198555
7700,0.7779,0.306348,0.002724,0.000334,0.196916
7800,0.7779,0.306348,0.002724,0.000334,0.195278
7900,0.7779,0.306348,0.002724,0.000334,0.197571
8000,0.7779,0.306348,0.002724,0.000334,0.197244
8100,0.7779,0.306348,0.002724,0.000334,0.197244
8200,0.7779,0.306348,0.002724,0.000334,0.197899
8300,0.7779,0.306348,0.002724,0.000334,0.195933
8400,0.7779,0.306348,0.002724,0.000334,0.195933
8500,0.7779,0.306348,0.002724,0.000334,0.198227
8600,0.7779,0.306348,0.002724,0.000334,0.197899
8700,0.7779,0.306348,0.002724,0.000334,0.196916
8800,0.7779,0.306348,0.002724,0.000334,0.196588
8900,0.7779,0.306348,0.002724,0.000334,0.198555
9000,0.7779,0.306348,0.002724,0.000334,0.195933
9100,0.7779,0.306348,0.002724,0.000334,0.195605
9200,0.7779,0.306348,0.002724,0.000334,0.198555
9300,0.7779,0.306348,0.002724,0.000334,0.196916
9400,0.7779,0.306348,0.002724,0.000334,0.197899
9500,0.7779,0.306348,0.002724,0.000334,0.198555
9600,0.7779,0.306348,0.002724,0.000334,0.196916
9700,0.7779,0.306348,0.002724,0.000334,0.196588
9800,0.7779,0.306348,0.002724,0.000334,0.196261
9900,0.7779,0.306348,0.002724,0.000334,0.196588
10000,0.7779,0.306348,0.002724,0.000334,0.197244
10100,0.7779,0.306348,0.002724,0.000334,0.193639
10200,0.7779,0.306348,0.002724,0.000334,0.189052
10300,0.7779,0.306348,0.002724,0.000334,0.184464
10400,0.7779,0.306348,0.002724,0.000334,0.183809
10500,0.7779,0.306348,0.002724,0.000334,0.191673
10600,0.7779,0.306348,0.002724,0.000334,0.194950
10700,0.7779,0.306348,0.002724,0.000334,0.194622
10800,0.7779,0.306348,0.002724,0.000334,0.198555
10900,0.7779,0.306348,0.002724,0.000334,0.197899
11000,0.7779,0.306348,0.002724,0.000334,0.197244
11100,0.7779,0.306348,0.002724,0.000334,0.198555
11200,0.7779,0.306348,0.002724,0.000334,0.197571
11300,0.7779,0.306348,0.002724,0.000334,0.196588
11400,0.7779,0.306348,0.002724,0.000334,0.197899
11500,0.7779,0.306348,0.002724,0.000334,0.197571
