Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.7779,0.306348,0.002724,0.000334,0.207730
1000100,0.7779,0.306348,0.002724,0.000334,0.212645
1000200,0.7779,0.306348,0.002724,0.000334,0.202159
1000300,0.7779,0.306348,0.002724,0.000334,0.207402
1000400,0.7779,0.306348,0.002724,0.000334,0.218543
1000500,0.7779,0.306348,0.002724,0.000334,0.199865
1000600,0.7779,0.306348,0.002724,0.000334,0.209368
1000700,0.7779,0.306348,0.002724,0.000334,0.215266
1000800,0.7779,0.306348,0.002724,0.000334,0.204781
1000900,0.7779,0.306348,0.002724,0.000334,0.208057
1001000,0.7779,0.306348,0.002724,0.000334,0.205108
1001100,0.7779,0.306348,0.002724,0.000334,0.218543
1001200,0.7779,0.306348,0.002724,0.000334,0.197899
1001300,0.7779,0.306348,0.002724,0.000334,0.209040
1001400,0.7779,0.306348,0.002724,0.000334,0.216905
1001500,0.7779,0.306348,0.002724,0.000334,0.201831
1001600,0.7779,0.306348,0.002724,0.000334,0.209040
1001700,0.7779,0.306348,0.002724,0.000334,0.216577
1001800,0.7779,0.306348,0.002724,0.000334,0.207730
1001900,0.7779,0.306348,0.002724,0.000334,0.201176
1002000,0.7779,0.306348,0.002724,0.000334,0.206747
1002100,0.7779,0.306348,0.002724,0.000334,0.216577
1002200,0.7779,0.306348,0.002724,0.000334,0.202487
1002300,0.7779,0.306348,0.002724,0.000334,0.205436
1002400,0.7779,0.306348,0.002724,0.000334,0.217560
1002500,0.7779,0.306348,0.002724,0.000334,0.206419
1002600,0.7779,0.306348,0.002724,0.000334,0.204781
1002700,0.7779,0.306348,0.002724,0.000334,0.210679
1002800,0.7779,0.306348,0.002724,0.000334,0.211007
1002900,0.7779,0.306348,0.002724,0.000334,0.204453
1003000,0.7779,0.306348,0.002724,0.000334,0.208385
1003100,0.7779,0.306348,0.002724,0.000334,0.215266
1003200,0.7779,0.306348,0.002724,0.000334,0.201831
1003300,0.7779,0.306348,0.002724,0.000334,0.204781
1003400,0.7779,0.306348,0.002724,0.000334,0.217233
1003500,0.7779,0.306348,0.002724,0.000334,0.206747
1003600,0.7779,0.306348,0.002724,0.000334,0.204781
1003700,0.7779,0.306348,0.002724,0.000334,0.208385
1003800,0.7779,0.306348,0.002724,0.000334,0.213300
1003900,0.7779,0.306348,0.002724,0.000334,0.206747
1004000,0.7779,0.306348,0.002724,0.000334,0.206091
1004100,0.7779,0.306348,0.002724,0.000334,0.217233
1004200,0.7779,0.306348,0.002724,0.000334,0.204453
1004300,0.7779,0.306348,0.002724,0.000334,0.199210
1004400,0.7779,0.306348,0.002724,0.000334,0.219199
1004500,0.7779,0.306348,0.002724,0.000334,0.210679
1004600,0.7779,0.306348,0.002724,0.000334,0.203797
1004700,0.7779,0.306348,0.002724,0.000334,0.207730
1004800,0.7779,0.306348,0.002724,0.000334,0.210679
1004900,0.7779,0.306348,0.002724,0.000334,0.208713
1005000,0.7779,0.306348,0.002724,0.000334,0.200521
1005100,0.7779,0.306348,0.002724,0.000334,0.217888
1005200,0.7779,0.306348,0.002724,0.000334,0.205436
1005300,0.7779,0.306348,0.002724,0.000334,0.205108
1005400,0.7779,0.306348,0.002724,0.000334,0.210023
1005500,0.7779,0.306348,0.002724,0.000334,0.210023
1005600,0.7779,0.306348,0.002724,0.000334,0.210351
1005700,0.7779,0.306348,0.002724,0.000334,0.207074
1005800,0.7779,0.306348,0.002724,0.000334,0.211334
1005900,0.7779,0.306348,0.002724,0.000334,0.204453
1006000,0.7779,0.306348,0.002724,0.000334,0.211662
1006100,0.7779,0.306348,0.002724,0.000334,0.208713
1006200,0.7779,0.306348,0.002724,0.000334,0.204125
1006300,0.7779,0.306348,0.002724,0.000334,0.208057
1006400,0.7779,0.306348,0.002724,0.000334,0.211662
1006500,0.7779,0.306348,0.002724,0.000334,0.207730
1006600,0.7779,0.306348,0.002724,0.000334,0.206419
1006700,0.7779,0.306348,0.002724,0.000334,0.211007
1006800,0.7779,0.306348,0.002724,0.000334,0.210023
1006900,0.7779,0.306348,0.002724,0.000334,0.205436
1007000,0.7779,0.306348,0.002724,0.000334,0.208713
1007100,0.7779,0.306348,0.002724,0.000334,0.211662
1007200,0.7779,0.306348,0.002724,0.000334,0.210351
1007300,0.7779,0.306348,0.002724,0.000334,0.207074
1007400,0.7779,0.306348,0.002724,0.000334,0.208385
1007500,0.7779,0.306348,0.002724,0.000334,0.209040
1007600,0.7779,0.306348,0.002724,0.000334,0.203470
1007700,0.7779,0.306348,0.002724,0.000334,0.218216
1007800,0.7779,0.306348,0.002724,0.000334,0.201176
