Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,23.8212,1.028147,0.538949,0.086720,9.614916
200,23.8212,1.028147,0.538949,0.086720,9.614916
300,23.8212,1.028147,0.538949,0.086720,9.614916
400,23.8212,1.028147,0.538949,0.086720,9.614916
500,23.8212,1.028147,0.538949,0.086720,9.614916
600,23.8212,1.028147,0.538949,0.086720,9.614916
700,23.8212,1.028147,0.538949,0.086720,9.614916
800,23.8212,1.028147,0.538949,0.086720,9.614916
900,23.8212,1.028147,0.538949,0.086720,9.614916
1000,23.8212,1.028147,0.538949,0.086720,9.614916
1100,23.8212,1.028147,0.538949,0.086720,9.614916
1200,23.8212,1.028147,0.538949,0.086720,9.614916
1300,23.8212,1.028147,0.538949,0.086720,9.614916
1400,23.8212,1.028147,0.538949,0.086720,9.614916
1500,23.8212,1.028147,0.538949,0.086720,9.614916
1600,23.8212,1.028147,0.538949,0.086720,9.614916
1700,23.8212,1.028147,0.538949,0.086720,9.614916
1800,23.8212,1.028147,0.538949,0.086720,9.614916
1900,23.8212,1.028147,0.538949,0.086720,9.614916
2000,23.8212,1.028147,0.538949,0.086720,9.614916
2100,23.8212,1.028147,0.538949,0.086720,9.614916
2200,23.8212,1.028147,0.538949,0.086720,9.614916
2300,23.8212,1.028147,0.538949,0.086720,9.614916
2400,23.8212,1.028147,0.538949,0.086720,9.614916
2500,23.8212,1.028147,0.538949,0.086720,9.614916
2600,23.8212,1.028147,0.538949,0.086720,9.614916
2700,23.8212,1.028147,0.538949,0.086720,9.614916
2800,23.8212,1.028147,0.538949,0.086720,9.614916
2900,23.8212,1.028147,0.538949,0.086720,9.614916
3000,23.8212,1.028147,0.538949,0.086720,9.614916
3100,23.8212,1.028147,0.538949,0.086720,9.614916
3200,23.8212,1.028147,0.538949,0.086720,9.614916
3300,23.8212,1.028147,0.538949,0.086720,9.614916
3400,23.8212,1.028147,0.538949,0.086720,9.614916
3500,23.8212,1.028147,0.538949,0.086720,9.614916
3600,23.8212,1.028147,0.538949,0.086720,9.614916
3700,23.8212,1.028147,0.538949,0.086720,9.614916
