Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,23.8212,1.028147,0.538949,0.086720,8.963196
1000100,23.8212,1.028147,0.538949,0.086720,9.317475
1000200,23.8212,1.028147,0.538949,0.086720,8.588768
1000300,23.8212,1.028147,0.538949,0.086720,9.144868
1000400,23.8212,1.028147,0.538949,0.086720,9.148223
1000500,23.8212,1.028147,0.538949,0.086720,8.896471
1000600,23.8212,1.028147,0.538949,0.086720,9.061544
1000700,23.8212,1.028147,0.538949,0.086720,9.022748
1000800,23.8212,1.028147,0.538949,0.086720,9.788481
1000900,23.8212,1.028147,0.538949,0.086720,8.397836
1001000,23.8212,1.028147,0.538949,0.086720,9.294489
1001100,23.8212,1.028147,0.538949,0.086720,9.369030
1001200,23.8212,1.028147,0.538949,0.086720,8.826513
1001300,23.8212,1.028147,0.538949,0.086720,9.059748
1001400,23.8212,1.028147,0.538949,0.086720,9.393152
1001500,23.8212,1.028147,0.538949,0.086720,9.381205
1001600,23.8212,1.028147,0.538949,0.086720,8.652638
1001700,23.8212,1.028147,0.538949,0.086720,9.070506
1001800,23.8212,1.028147,0.538949,0.086720,9.946224
1001900,23.8212,1.028147,0.538949,0.086720,8.404927
1002000,23.8212,1.028147,0.538949,0.086720,8.990489
1002100,23.8212,1.028147,0.538949,0.086720,9.606523
1002200,23.8212,1.028147,0.538949,0.086720,8.928618
1002300,23.8212,1.028147,0.538949,0.086720,8.711677
1002400,23.8212,1.028147,0.538949,0.086720,9.251442
1002500,23.8212,1.028147,0.538949,0.086720,9.336169
1002600,23.8212,1.028147,0.538949,0.086720,8.553563
1002700,23.8212,1.028147,0.538949,0.086720,8.990584
1002800,23.8212,1.028147,0.538949,0.086720,9.426635
1002900,23.8212,1.028147,0.538949,0.086720,8.730699
1003000,23.8212,1.028147,0.538949,0.086720,8.782143
1003100,23.8212,1.028147,0.538949,0.086720,9.317972
1003200,23.8212,1.028147,0.538949,0.086720,9.082807
1003300,23.8212,1.028147,0.538949,0.086720,8.798884
1003400,23.8212,1.028147,0.538949,0.086720,9.303318
1003500,23.8212,1.028147,0.538949,0.086720,9.410847
1003600,23.8212,1.028147,0.538949,0.086720,9.056239
1003700,23.8212,1.028147,0.538949,0.086720,8.768381
1003800,23.8212,1.028147,0.538949,0.086720,9.450112
1003900,23.8212,1.028147,0.538949,0.086720,8.964752
1004000,23.8212,1.028147,0.538949,0.086720,8.767718
1004100,23.8212,1.028147,0.538949,0.086720,9.614263
1004200,23.8212,1.028147,0.538949,0.086720,9.190370
1004300,23.8212,1.028147,0.538949,0.086720,8.870071
1004400,23.8212,1.028147,0.538949,0.086720,9.100530
1004500,23.8212,1.028147,0.538949,0.086720,9.414598
1004600,23.8212,1.028147,0.538949,0.086720,9.117273
1004700,23.8212,1.028147,0.538949,0.086720,8.367324
1004800,23.8212,1.028147,0.538949,0.086720,9.941224
1004900,23.8212,1.028147,0.538949,0.086720,8.877066
1005000,23.8212,1.028147,0.538949,0.086720,8.851991
1005100,23.8212,1.028147,0.538949,0.086720,9.253299
1005200,23.8212,1.028147,0.538949,0.086720,9.073303
1005300,23.8212,1.028147,0.538949,0.086720,9.047770
1005400,23.8212,1.028147,0.538949,0.086720,8.727726
1005500,23.8212,1.028147,0.538949,0.086720,9.370322
1005600,23.8212,1.028147,0.538949,0.086720,8.660571
1005700,23.8212,1.028147,0.538949,0.086720,9.047412
1005800,23.8212,1.028147,0.538949,0.086720,9.248914
1005900,23.8212,1.028147,0.538949,0.086720,8.731733
1006000,23.8212,1.028147,0.538949,0.086720,9.035518
1006100,23.8212,1.028147,0.538949,0.086720,9.335857
1006200,23.8212,1.028147,0.538949,0.086720,9.055797
1006300,23.8212,1.028147,0.538949,0.086720,9.282011
1006400,23.8212,1.028147,0.538949,0.086720,9.198184
1006500,23.8212,1.028147,0.538949,0.086720,8.979853
1006600,23.8212,1.028147,0.538949,0.086720,8.902650
1006700,23.8212,1.028147,0.538949,0.086720,9.340554
1006800,23.8212,1.028147,0.538949,0.086720,9.354257
1006900,23.8212,1.028147,0.538949,0.086720,8.858851
1007000,23.8212,1.028147,0.538949,0.086720,8.976029
1007100,23.8212,1.028147,0.538949,0.086720,9.221587
1007200,23.8212,1.028147,0.538949,0.086720,9.102625
1007300,23.8212,1.028147,0.538949,0.086720,9.156813
1007400,23.8212,1.028147,0.538949,0.086720,9.362188
1007500,23.8212,1.028147,0.538949,0.086720,8.890990
1007600,23.8212,1.028147,0.538949,0.086720,9.082234
1007700,23.8212,1.028147,0.538949,0.086720,8.909591
1007800,23.8212,1.028147,0.538949,0.086720,9.342058
1007900,23.8212,1.028147,0.538949,0.086720,9.019606
1008000,23.8212,1.028147,0.538949,0.086720,8.691600
1008100,23.8212,1.028147,0.538949,0.086720,9.393838
1008200,23.8212,1.028147,0.538949,0.086720,8.718338
1008300,23.8212,1.028147,0.538949,0.086720,9.017223
1008400,23.8212,1.028147,0.538949,0.086720,9.230179
1008500,23.8212,1.028147,0.538949,0.086720,9.074568
1008600,23.8212,1.028147,0.538949,0.086720,8.723022
1008700,23.8212,1.028147,0.538949,0.086720,8.907209
1008800,23.8212,1.028147,0.538949,0.086720,9.553667
1008900,23.8212,1.028147,0.538949,0.086720,8.625441
1009000,23.8212,1.028147,0.538949,0.086720,9.411196
1009100,23.8212,1.028147,0.538949,0.086720,9.347943
1009200,23.8212,1.028147,0.538949,0.086720,8.935427
1009300,23.8212,1.028147,0.538949,0.086720,8.953648
1009400,23.8212,1.028147,0.538949,0.086720,9.362659
1009500,23.8212,1.028147,0.538949,0.086720,9.393916
1009600,23.8212,1.028147,0.538949,0.086720,8.657001
1009700,23.8212,1.028147,0.538949,0.086720,9.028352
1009800,23.8212,1.028147,0.538949,0.086720,9.473204
1009900,23.8212,1.028147,0.538949,0.086720,8.709796
