Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,1.0570,0.187474,0.005507,0.000525,0.000000
200,1.0570,0.187474,0.005507,0.000525,0.000000
300,1.0570,0.187474,0.005507,0.000525,0.000000
400,1.0570,0.187474,0.005507,0.000525,0.000000
500,1.0570,0.187474,0.005507,0.000525,0.000000
600,1.0570,0.187474,0.005507,0.000525,0.000000
700,1.0570,0.187474,0.005507,0.000525,0.000000
800,1.0570,0.187474,0.005507,0.000525,0.000000
900,1.0570,0.187474,0.005507,0.000525,0.000000
1000,1.0570,0.187474,0.005507,0.000525,0.000000
1100,1.0570,0.187474,0.005507,0.000525,0.000000
1200,1.0570,0.187474,0.005507,0.000525,0.000000
1300,1.0570,0.187474,0.005507,0.000525,0.000000
1400,1.0570,0.187474,0.005507,0.000525,0.000000
1500,1.0570,0.187474,0.005507,0.000525,0.000000
1600,1.0570,0.187474,0.005507,0.000525,0.000000
1700,1.0570,0.187474,0.005507,0.000525,0.000000
1800,1.0570,0.187474,0.005507,0.000525,0.000000
1900,1.0570,0.187474,0.005507,0.000525,0.000000
2000,1.0570,0.187474,0.005507,0.000525,0.000000
2100,1.0570,0.187474,0.005507,0.000525,0.000000
2200,1.0570,0.187474,0.005507,0.000525,0.000000
2300,1.0570,0.187474,0.005507,0.000525,0.000000
2400,1.0570,0.187474,0.005507,0.000525,0.000000
2500,1.0570,0.187474,0.005507,0.000525,0.000000
2600,1.0570,0.187474,0.005507,0.000525,0.000000
2700,1.0570,0.187474,0.005507,0.000525,0.000000
2800,1.0570,0.187474,0.005507,0.000525,0.000000
2900,1.0570,0.187474,0.005507,0.000525,0.000000
3000,1.0570,0.187474,0.005507,0.000525,0.000000
3100,1.0570,0.187474,0.005507,0.000525,0.000000
3200,1.0570,0.187474,0.005507,0.000525,0.000000
3300,1.0570,0.187474,0.005507,0.000525,0.000000
3400,1.0570,0.187474,0.005507,0.000525,0.000000
3500,1.0570,0.187474,0.005507,0.000525,0.000000
3600,1.0570,0.187474,0.005507,0.000525,0.000000
3700,1.0570,0.187474,0.005507,0.000525,0.000000
3800,1.0570,0.187474,0.005507,0.000525,0.000000
3900,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
4100,1.0570,0.187474,0.005507,0.000525,0.000000
4200,1.0570,0.187474,0.005507,0.000525,0.000000
4300,1.0570,0.187474,0.005507,0.000525,0.000000
4400,1.0570,0.187474,0.005507,0.000525,0.000000
4500,1.0570,0.187474,0.005507,0.000525,0.000000
4600,1.0570,0.187474,0.005507,0.000525,0.000000
4700,1.0570,0.187474,0.005507,0.000525,0.000000
4800,1.0570,0.187474,0.005507,0.000525,0.000000
4900,1.0570,0.187474,0.005507,0.000525,0.000000
5000,1.0570,0.187474,0.005507,0.000525,0.000000
5100,1.0570,0.187474,0.005507,0.000525,0.000000
5200,1.0570,0.187474,0.005507,0.000525,0.000000
5300,1.0570,0.187474,0.005507,0.000525,0.343325
5400,1.0570,0.187474,0.005507,0.000525,0.040388
5500,1.0570,0.187474,0.005507,0.000525,0.040388
5600,1.0570,0.187474,0.005507,0.000525,0.031813
5700,1.0570,0.187474,0.005507,0.000525,0.015520
5800,1.0570,0.187474,0.005507,0.000525,0.012929
5900,1.0570,0.187474,0.005507,0.000525,0.011790
6000,1.0570,0.187474,0.005507,0.000525,0.012929
6100,1.0570,0.187474,0.005507,0.000525,0.011448
6200,1.0570,0.187474,0.005507,0.000525,0.010052
6300,1.0570,0.187474,0.005507,0.000525,0.013100
6400,1.0570,0.187474,0.005507,0.000525,0.009967
6500,1.0570,0.187474,0.005507,0.000525,0.003500
6600,1.0570,0.187474,0.005507,0.000525,0.008913
6700,1.0570,0.187474,0.005507,0.000525,0.009083
6800,1.0570,0.187474,0.005507,0.000525,0.003671
6900,1.0570,0.187474,0.005507,0.000525,0.003159
7000,1.0570,0.187474,0.005507,0.000525,0.003756
7100,1.0570,0.187474,0.005507,0.000525,0.003159
7200,1.0570,0.187474,0.005507,0.000525,0.003842
7300,1.0570,0.187474,0.005507,0.000525,0.003671
7400,1.0570,0.187474,0.005507,0.000525,0.003415
7500,1.0570,0.187474,0.005507,0.000525,0.003330
7600,1.0570,0.187474,0.005507,0.000525,0.003842
7700,1.0570,0.187474,0.005507,0.000525,0.003415
7800,1.0570,0.187474,0.005507,0.000525,0.002988
7900,1.0570,0.187474,0.005507,0.000525,0.003586
8000,1.0570,0.187474,0.005507,0.000525,0.003586
8100,1.0570,0.187474,0.005507,0.000525,0.003415
8200,1.0570,0.187474,0.005507,0.000525,0.003586
8300,1.0570,0.187474,0.005507,0.000525,0.064907
8400,1.0570,0.187474,0.005507,0.000525,1.277522
8500,1.0570,0.187474,0.005507,0.000525,0.003671
8600,1.0570,0.187474,0.005507,0.000525,0.003756
8700,1.0570,0.187474,0.005507,0.000525,0.003415
8800,1.0570,0.187474,0.005507,0.000525,0.003330
8900,1.0570,0.187474,0.005507,0.000525,0.003756
9000,1.0570,0.187474,0.005507,0.000525,1.174750
9100,1.0570,0.187474,0.005507,0.000525,0.126655
9200,1.0570,0.187474,0.005507,0.000525,0.003671
9300,1.0570,0.187474,0.005507,0.000525,0.003415
9400,1.0570,0.187474,0.005507,0.000525,0.003586
9500,1.0570,0.187474,0.005507,0.000525,0.003927
9600,1.0570,0.187474,0.005507,0.000525,0.280812
9700,1.0570,0.187474,0.005507,0.000525,1.043542
9800,1.0570,0.187474,0.005507,0.000525,0.000000
9900,1.0570,0.187474,0.005507,0.000525,0.000000
10000,1.0570,0.187474,0.005507,0.000525,0.000000
10100,1.0570,0.187474,0.005507,0.000525,0.000000
10200,1.0570,0.187474,0.005507,0.000525,0.000000
10300,1.0570,0.187474,0.005507,0.000525,0.006949
10400,1.0570,0.187474,0.005507,0.000525,0.008537
10500,1.0570,0.187474,0.005507,0.000525,0.007769
10600,1.0570,0.187474,0.005507,0.000525,0.000683
10700,1.0570,0.187474,0.005507,0.000525,1.320508
10800,1.0570,0.187474,0.005507,0.000525,0.003756
10900,1.0570,0.187474,0.005507,0.000525,0.666631
11000,1.0570,0.187474,0.005507,0.000525,0.327230
11100,1.0570,0.187474,0.005507,0.000525,0.003756
11200,1.0570,0.187474,0.005507,0.000525,0.003756
11300,1.0570,0.187474,0.005507,0.000525,0.044353
11400,1.0570,0.187474,0.005507,0.000525,0.291345
11500,1.0570,0.187474,0.005507,0.000525,0.496973
11600,1.0570,0.187474,0.005507,0.000525,0.826011
11700,1.0570,0.187474,0.005507,0.000525,0.003842
11800,1.0570,0.187474,0.005507,0.000525,0.003671
11900,1.0570,0.187474,0.005507,0.000525,0.002903
12000,1.0570,0.187474,0.005507,0.000525,0.004525
12100,1.0570,0.187474,0.005507,0.000525,0.003415
12200,1.0570,0.187474,0.005507,0.000525,1.308353
12300,1.0570,0.187474,0.005507,0.000525,0.014119
12400,1.0570,0.187474,0.005507,0.000525,0.003500
12500,1.0570,0.187474,0.005507,0.000525,0.003756
12600,1.0570,0.187474,0.005507,0.000525,0.003244
12700,1.0570,0.187474,0.005507,0.000525,0.004354
12800,1.0570,0.187474,0.005507,0.000525,0.681876
12900,1.0570,0.187474,0.005507,0.000525,0.312155
13000,1.0570,0.187474,0.005507,0.000525,0.003586
13100,1.0570,0.187474,0.005507,0.000525,0.003756
13200,1.0570,0.187474,0.005507,0.000525,0.003671
13300,1.0570,0.187474,0.005507,0.000525,0.003927
13400,1.0570,0.187474,0.005507,0.000525,0.281068
13500,1.0570,0.187474,0.005507,0.000525,0.754072
13600,1.0570,0.187474,0.005507,0.000525,0.003756
13700,1.0570,0.187474,0.005507,0.000525,0.003415
13800,1.0570,0.187474,0.005507,0.000525,0.003927
13900,1.0570,0.187474,0.005507,0.000525,0.003159
14000,1.0570,0.187474,0.005507,0.000525,0.003842
14100,1.0570,0.187474,0.005507,0.000525,1.324452
14200,1.0570,0.187474,0.005507,0.000525,0.018831
14300,1.0570,0.187474,0.005507,0.000525,0.013577
14400,1.0570,0.187474,0.005507,0.000525,0.064963
14500,1.0570,0.187474,0.005507,0.000525,0.064736
14600,1.0570,0.187474,0.005507,0.000525,0.245269
14700,1.0570,0.187474,0.005507,0.000525,0.963003
14800,1.0570,0.187474,0.005507,0.000525,0.351672
14900,1.0570,0.187474,0.005507,0.000525,0.375115
15000,1.0570,0.187474,0.005507,0.000525,0.000000
15100,1.0570,0.187474,0.005507,0.000525,0.000000
15200,1.0570,0.187474,0.005507,0.000525,0.002877
15300,1.0570,0.187474,0.005507,0.000525,0.008537
15400,1.0570,0.187474,0.005507,0.000525,0.008537
15500,1.0570,0.187474,0.005507,0.000525,0.001366
15600,1.0570,0.187474,0.005507,0.000525,0.621025
15700,1.0570,0.187474,0.005507,0.000525,0.451238
15800,1.0570,0.187474,0.005507,0.000525,0.507250
15900,1.0570,0.187474,0.005507,0.000525,0.548615
16000,1.0570,0.187474,0.005507,0.000525,0.034673
16100,1.0570,0.187474,0.005507,0.000525,0.003927
16200,1.0570,0.187474,0.005507,0.000525,0.003756
16300,1.0570,0.187474,0.005507,0.000525,0.168532
16400,1.0570,0.187474,0.005507,0.000525,0.512645
16500,1.0570,0.187474,0.005507,0.000525,0.671940
16600,1.0570,0.187474,0.005507,0.000525,0.245440
16700,1.0570,0.187474,0.005507,0.000525,0.003927
16800,1.0570,0.187474,0.005507,0.000525,0.003927
16900,1.0570,0.187474,0.005507,0.000525,0.003927
17000,1.0570,0.187474,0.005507,0.000525,0.384095
17100,1.0570,0.187474,0.005507,0.000525,0.466398
17200,1.0570,0.187474,0.005507,0.000525,0.723326
17300,1.0570,0.187474,0.005507,0.000525,0.003927
17400,1.0570,0.187474,0.005507,0.000525,0.003927
17500,1.0570,0.187474,0.005507,0.000525,0.003415
17600,1.0570,0.187474,0.005507,0.000525,0.137957
17700,1.0570,0.187474,0.005507,0.000525,0.342901
17800,1.0570,0.187474,0.005507,0.000525,1.019996
17900,1.0570,0.187474,0.005507,0.000525,0.157999
18000,1.0570,0.187474,0.005507,0.000525,0.003927
18100,1.0570,0.187474,0.005507,0.000525,0.003927
18200,1.0570,0.187474,0.005507,0.000525,0.002817
18300,1.0570,0.187474,0.005507,0.000525,0.333820
18400,1.0570,0.187474,0.005507,0.000525,0.106698
18500,1.0570,0.187474,0.005507,0.000525,0.430342
18600,1.0570,0.187474,0.005507,0.000525,0.152945
18700,1.0570,0.187474,0.005507,0.000525,0.003927
18800,1.0570,0.187474,0.005507,0.000525,0.003842
18900,1.0570,0.187474,0.005507,0.000525,0.168361
