Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.0570,0.187474,0.005507,0.000525,0.365846
1000100,1.0570,0.187474,0.005507,0.000525,0.391539
1000200,1.0570,0.187474,0.005507,0.000525,0.370814
1000300,1.0570,0.187474,0.005507,0.000525,0.470496
1000400,1.0570,0.187474,0.005507,0.000525,0.313436
1000500,1.0570,0.187474,0.005507,0.000525,0.417488
1000600,1.0570,0.187474,0.005507,0.000525,0.470410
1000700,1.0570,0.187474,0.005507,0.000525,0.314405
1000800,1.0570,0.187474,0.005507,0.000525,0.469898
1000900,1.0570,0.187474,0.005507,0.000525,0.418030
1001000,1.0570,0.187474,0.005507,0.000525,0.400208
1001100,1.0570,0.187474,0.005507,0.000525,0.291601
1001200,1.0570,0.187474,0.005507,0.000525,0.336581
1001300,1.0570,0.187474,0.005507,0.000525,0.558534
1001400,1.0570,0.187474,0.005507,0.000525,0.257795
1001500,1.0570,0.187474,0.005507,0.000525,0.448746
1001600,1.0570,0.187474,0.005507,0.000525,0.470752
1001700,1.0570,0.187474,0.005507,0.000525,0.355227
1001800,1.0570,0.187474,0.005507,0.000525,0.370302
1001900,1.0570,0.187474,0.005507,0.000525,0.402158
1002000,1.0570,0.187474,0.005507,0.000525,0.502808
1002100,1.0570,0.187474,0.005507,0.000525,0.193883
1002200,1.0570,0.187474,0.005507,0.000525,0.370302
1002300,1.0570,0.187474,0.005507,0.000525,0.607031
1002400,1.0570,0.187474,0.005507,0.000525,0.293138
1002500,1.0570,0.187474,0.005507,0.000525,0.334673
1002600,1.0570,0.187474,0.005507,0.000525,0.490538
1002700,1.0570,0.187474,0.005507,0.000525,0.417915
1002800,1.0570,0.187474,0.005507,0.000525,0.282605
1002900,1.0570,0.187474,0.005507,0.000525,0.448319
1003000,1.0570,0.187474,0.005507,0.000525,0.450197
1003100,1.0570,0.187474,0.005507,0.000525,0.302476
1003200,1.0570,0.187474,0.005507,0.000525,0.344865
1003300,1.0570,0.187474,0.005507,0.000525,0.550165
1003400,1.0570,0.187474,0.005507,0.000525,0.329193
1003500,1.0570,0.187474,0.005507,0.000525,0.333905
1003600,1.0570,0.187474,0.005507,0.000525,0.460675
1003700,1.0570,0.187474,0.005507,0.000525,0.399098
1003800,1.0570,0.187474,0.005507,0.000525,0.413318
1003900,1.0570,0.187474,0.005507,0.000525,0.340068
1004000,1.0570,0.187474,0.005507,0.000525,0.480773
1004100,1.0570,0.187474,0.005507,0.000525,0.356026
1004200,1.0570,0.187474,0.005507,0.000525,0.322859
1004300,1.0570,0.187474,0.005507,0.000525,0.538407
1004400,1.0570,0.187474,0.005507,0.000525,0.330388
1004500,1.0570,0.187474,0.005507,0.000525,0.334332
1004600,1.0570,0.187474,0.005507,0.000525,0.480260
1004700,1.0570,0.187474,0.005507,0.000525,0.418542
1004800,1.0570,0.187474,0.005507,0.000525,0.335356
1004900,1.0570,0.187474,0.005507,0.000525,0.333222
1005000,1.0570,0.187474,0.005507,0.000525,0.462041
1005100,1.0570,0.187474,0.005507,0.000525,0.401731
1005200,1.0570,0.187474,0.005507,0.000525,0.266677
1005300,1.0570,0.187474,0.005507,0.000525,0.547403
1005400,1.0570,0.187474,0.005507,0.000525,0.350857
1005500,1.0570,0.187474,0.005507,0.000525,0.376721
1005600,1.0570,0.187474,0.005507,0.000525,0.375696
1005700,1.0570,0.187474,0.005507,0.000525,0.439237
1005800,1.0570,0.187474,0.005507,0.000525,0.411069
1005900,1.0570,0.187474,0.005507,0.000525,0.403267
1006000,1.0570,0.187474,0.005507,0.000525,0.393105
1006100,1.0570,0.187474,0.005507,0.000525,0.318745
1006200,1.0570,0.187474,0.005507,0.000525,0.397019
1006300,1.0570,0.187474,0.005507,0.000525,0.482796
1006400,1.0570,0.187474,0.005507,0.000525,0.314290
1006500,1.0570,0.187474,0.005507,0.000525,0.382658
1006600,1.0570,0.187474,0.005507,0.000525,0.433245
1006700,1.0570,0.187474,0.005507,0.000525,0.386486
