Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,15.7031,5.502199,0.052647,0.006391,0.550220
200,15.7031,5.502199,0.052647,0.006391,0.550220
300,15.7031,5.502199,0.052647,0.006391,0.550220
400,15.7031,5.502199,0.052647,0.006391,0.550220
500,15.7031,5.502199,0.052647,0.006391,0.550220
600,15.7031,5.502199,0.052647,0.006391,0.550220
700,15.7031,5.502199,0.052647,0.006391,0.550220
800,15.7031,5.502199,0.052647,0.006391,0.550220
900,15.7031,5.502199,0.052647,0.006391,0.550220
1000,15.7031,5.502199,0.052647,0.006391,0.550220
1100,15.7031,5.502199,0.052647,0.006391,0.550220
1200,15.7031,5.502199,0.052647,0.006391,0.550220
1300,15.7031,5.502199,0.052647,0.006391,0.550220
1400,15.7031,5.502199,0.052647,0.006391,0.550220
1500,15.7031,5.502199,0.052647,0.006391,0.550220
1600,15.7031,5.502199,0.052647,0.006391,0.550220
1700,15.7031,5.502199,0.052647,0.006391,0.550220
1800,15.7031,5.502199,0.052647,0.006391,0.550220
1900,15.7031,5.502199,0.052647,0.006391,0.550220
2000,15.7031,5.502199,0.052647,0.006391,0.550220
2100,15.7031,5.502199,0.052647,0.006391,0.550220
2200,15.7031,5.502199,0.052647,0.006391,0.550220
2300,15.7031,5.502199,0.052647,0.006391,0.550220
2400,15.7031,5.502199,0.052647,0.006391,0.550220
2500,15.7031,5.502199,0.052647,0.006391,0.550220
2600,15.7031,5.502199,0.052647,0.006391,0.550220
2700,15.7031,5.502199,0.052647,0.006391,0.550220
2800,15.7031,5.502199,0.052647,0.006391,0.550220
2900,15.7031,5.502199,0.052647,0.006391,0.550220
3000,15.7031,5.502199,0.052647,0.006391,0.550220
3100,15.7031,5.502199,0.052647,0.006391,0.550220
3200,15.7031,5.502199,0.052647,0.006391,0.550220
3300,15.7031,5.502199,0.052647,0.006391,0.550220
3400,15.7031,5.502199,0.052647,0.006391,0.550220
3500,15.7031,5.502199,0.052647,0.006391,0.550220
3600,15.7031,5.502199,0.052647,0.006391,0.550220
3700,15.7031,5.502199,0.052647,0.006391,0.550220
3800,15.7031,5.502199,0.052647,0.006391,0.550220
3900,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
4100,15.7031,5.502199,0.052647,0.006391,0.550220
4200,15.7031,5.502199,0.052647,0.006391,0.550220
4300,15.7031,5.502199,0.052647,0.006391,0.550220
4400,15.7031,5.502199,0.052647,0.006391,0.550220
4500,15.7031,5.502199,0.052647,0.006391,0.550220
4600,15.7031,5.502199,0.052647,0.006391,0.550220
4700,15.7031,5.502199,0.052647,0.006391,0.550220
4800,15.7031,5.502199,0.052647,0.006391,0.550220
4900,15.7031,5.502199,0.052647,0.006391,0.550220
5000,15.7031,5.502199,0.052647,0.006391,0.550220
5100,15.7031,5.502199,0.052647,0.006391,0.773947
5200,15.7031,5.502199,0.052647,0.006391,1.334996
5300,15.7031,5.502199,0.052647,0.006391,1.443299
5400,15.7031,5.502199,0.052647,0.006391,1.291165
5500,15.7031,5.502199,0.052647,0.006391,1.197784
5600,15.7031,5.502199,0.052647,0.006391,2.164052
5700,15.7031,5.502199,0.052647,0.006391,2.503739
5800,15.7031,5.502199,0.052647,0.006391,2.468024
5900,15.7031,5.502199,0.052647,0.006391,2.643240
6000,15.7031,5.502199,0.052647,0.006391,2.579803
6100,15.7031,5.502199,0.052647,0.006391,2.831132
6200,15.7031,5.502199,0.052647,0.006391,2.762105
6300,15.7031,5.502199,0.052647,0.006391,2.690778
6400,15.7031,5.502199,0.052647,0.006391,2.493154
6500,15.7031,5.502199,0.052647,0.006391,2.782080
6600,15.7031,5.502199,0.052647,0.006391,2.719090
6700,15.7031,5.502199,0.052647,0.006391,2.724491
6800,15.7031,5.502199,0.052647,0.006391,2.796316
6900,15.7031,5.502199,0.052647,0.006391,2.637053
7000,15.7031,5.502199,0.052647,0.006391,2.403194
7100,15.7031,5.502199,0.052647,0.006391,2.665304
7200,15.7031,5.502199,0.052647,0.006391,2.792587
7300,15.7031,5.502199,0.052647,0.006391,2.783442
7400,15.7031,5.502199,0.052647,0.006391,2.640159
7500,15.7031,5.502199,0.052647,0.006391,2.557406
7600,15.7031,5.502199,0.052647,0.006391,2.815002
7700,15.7031,5.502199,0.052647,0.006391,2.683849
7800,15.7031,5.502199,0.052647,0.006391,2.450494
7900,15.7031,5.502199,0.052647,0.006391,2.780639
8000,15.7031,5.502199,0.052647,0.006391,2.698665
8100,15.7031,5.502199,0.052647,0.006391,2.597050
8200,15.7031,5.502199,0.052647,0.006391,2.620913
8300,15.7031,5.502199,0.052647,0.006391,2.335152
8400,15.7031,5.502199,0.052647,0.006391,2.446900
8500,15.7031,5.502199,0.052647,0.006391,2.790212
8600,15.7031,5.502199,0.052647,0.006391,2.827434
8700,15.7031,5.502199,0.052647,0.006391,2.584955
8800,15.7031,5.502199,0.052647,0.006391,2.504587
8900,15.7031,5.502199,0.052647,0.006391,2.767142
9000,15.7031,5.502199,0.052647,0.006391,2.418056
9100,15.7031,5.502199,0.052647,0.006391,2.527845
9200,15.7031,5.502199,0.052647,0.006391,2.864345
