Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,15.7031,5.502199,0.052647,0.006391,3.748587
1000100,15.7031,5.502199,0.052647,0.006391,4.392770
1000200,15.7031,5.502199,0.052647,0.006391,3.004420
1000300,15.7031,5.502199,0.052647,0.006391,3.737693
1000400,15.7031,5.502199,0.052647,0.006391,5.056605
1000500,15.7031,5.502199,0.052647,0.006391,2.782597
1000600,15.7031,5.502199,0.052647,0.006391,3.908884
1000700,15.7031,5.502199,0.052647,0.006391,4.632614
1000800,15.7031,5.502199,0.052647,0.006391,3.468682
1000900,15.7031,5.502199,0.052647,0.006391,3.692171
1001000,15.7031,5.502199,0.052647,0.006391,3.455474
1001100,15.7031,5.502199,0.052647,0.006391,5.091871
1001200,15.7031,5.502199,0.052647,0.006391,2.520212
1001300,15.7031,5.502199,0.052647,0.006391,3.903437
1001400,15.7031,5.502199,0.052647,0.006391,4.803761
1001500,15.7031,5.502199,0.052647,0.006391,3.069709
1001600,15.7031,5.502199,0.052647,0.006391,3.785532
1001700,15.7031,5.502199,0.052647,0.006391,4.785632
1001800,15.7031,5.502199,0.052647,0.006391,3.875250
1001900,15.7031,5.502199,0.052647,0.006391,2.834410
1002000,15.7031,5.502199,0.052647,0.006391,3.638286
1002100,15.7031,5.502199,0.052647,0.006391,4.868416
1002200,15.7031,5.502199,0.052647,0.006391,3.087343
1002300,15.7031,5.502199,0.052647,0.006391,3.402205
1002400,15.7031,5.502199,0.052647,0.006391,4.957765
1002500,15.7031,5.502199,0.052647,0.006391,3.668136
1002600,15.7031,5.502199,0.052647,0.006391,3.268497
1002700,15.7031,5.502199,0.052647,0.006391,4.100604
1002800,15.7031,5.502199,0.052647,0.006391,4.245687
1002900,15.7031,5.502199,0.052647,0.006391,3.300604
1003000,15.7031,5.502199,0.052647,0.006391,3.772876
1003100,15.7031,5.502199,0.052647,0.006391,4.676437
1003200,15.7031,5.502199,0.052647,0.006391,3.087943
1003300,15.7031,5.502199,0.052647,0.006391,3.339889
1003400,15.7031,5.502199,0.052647,0.006391,4.912112
1003500,15.7031,5.502199,0.052647,0.006391,3.666115
1003600,15.7031,5.502199,0.052647,0.006391,3.325670
1003700,15.7031,5.502199,0.052647,0.006391,3.785850
1003800,15.7031,5.502199,0.052647,0.006391,4.487630
1003900,15.7031,5.502199,0.052647,0.006391,3.633887
1004000,15.7031,5.502199,0.052647,0.006391,3.478910
1004100,15.7031,5.502199,0.052647,0.006391,4.897680
1004200,15.7031,5.502199,0.052647,0.006391,3.335687
1004300,15.7031,5.502199,0.052647,0.006391,2.672729
1004400,15.7031,5.502199,0.052647,0.006391,5.100091
1004500,15.7031,5.502199,0.052647,0.006391,4.139447
1004600,15.7031,5.502199,0.052647,0.006391,3.242339
1004700,15.7031,5.502199,0.052647,0.006391,3.629437
1004800,15.7031,5.502199,0.052647,0.006391,4.220368
1004900,15.7031,5.502199,0.052647,0.006391,3.852406
1005000,15.7031,5.502199,0.052647,0.006391,2.834487
1005100,15.7031,5.502199,0.052647,0.006391,4.976677
1005200,15.7031,5.502199,0.052647,0.006391,3.518278
1005300,15.7031,5.502199,0.052647,0.006391,3.409820
