Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.0324,0.013523,0.002678,0.000431,0.493709
1000100,0.0324,0.013523,0.002678,0.000431,0.554397
1000200,0.0324,0.013523,0.002678,0.000431,0.411697
1000300,0.0324,0.013523,0.002678,0.000431,0.544556
1000400,0.0324,0.013523,0.002678,0.000431,0.505190
1000500,0.0324,0.013523,0.002678,0.000431,0.475666
1000600,0.0324,0.013523,0.002678,0.000431,0.500270
1000700,0.0324,0.013523,0.002678,0.000431,0.462544
1000800,0.0324,0.013523,0.002678,0.000431,0.595403
1000900,0.0324,0.013523,0.002678,0.000431,0.403496
1001000,0.0324,0.013523,0.002678,0.000431,0.515032
1001100,0.0324,0.013523,0.002678,0.000431,0.554397
1001200,0.0324,0.013523,0.002678,0.000431,0.421539
1001300,0.0324,0.013523,0.002678,0.000431,0.542916
1001400,0.0324,0.013523,0.002678,0.000431,0.465825
1001500,0.0324,0.013523,0.002678,0.000431,0.579001
1001600,0.0324,0.013523,0.002678,0.000431,0.423179
1001700,0.0324,0.013523,0.002678,0.000431,0.488788
1001800,0.0324,0.013523,0.002678,0.000431,0.615086
1001900,0.0324,0.013523,0.002678,0.000431,0.352649
1002000,0.0324,0.013523,0.002678,0.000431,0.537995
1002100,0.0324,0.013523,0.002678,0.000431,0.524873
1002200,0.0324,0.013523,0.002678,0.000431,0.459264
1002300,0.0324,0.013523,0.002678,0.000431,0.475666
1002400,0.0324,0.013523,0.002678,0.000431,0.516672
1002500,0.0324,0.013523,0.002678,0.000431,0.546196
1002600,0.0324,0.013523,0.002678,0.000431,0.424819
1002700,0.0324,0.013523,0.002678,0.000431,0.482227
1002800,0.0324,0.013523,0.002678,0.000431,0.575720
1002900,0.0324,0.013523,0.002678,0.000431,0.452703
1003000,0.0324,0.013523,0.002678,0.000431,0.474026
1003100,0.0324,0.013523,0.002678,0.000431,0.519952
1003200,0.0324,0.013523,0.002678,0.000431,0.500270
1003300,0.0324,0.013523,0.002678,0.000431,0.488788
1003400,0.0324,0.013523,0.002678,0.000431,0.515032
1003500,0.0324,0.013523,0.002678,0.000431,0.505190
1003600,0.0324,0.013523,0.002678,0.000431,0.472386
1003700,0.0324,0.013523,0.002678,0.000431,0.447782
1003800,0.0324,0.013523,0.002678,0.000431,0.590482
1003900,0.0324,0.013523,0.002678,0.000431,0.483867
1004000,0.0324,0.013523,0.002678,0.000431,0.447782
1004100,0.0324,0.013523,0.002678,0.000431,0.577360
1004200,0.0324,0.013523,0.002678,0.000431,0.457624
1004300,0.0324,0.013523,0.002678,0.000431,0.493709
1004400,0.0324,0.013523,0.002678,0.000431,0.469105
1004500,0.0324,0.013523,0.002678,0.000431,0.564239
1004600,0.0324,0.013523,0.002678,0.000431,0.501910
1004700,0.0324,0.013523,0.002678,0.000431,0.377253
1004800,0.0324,0.013523,0.002678,0.000431,0.618366
1004900,0.0324,0.013523,0.002678,0.000431,0.451063
1005000,0.0324,0.013523,0.002678,0.000431,0.464185
1005100,0.0324,0.013523,0.002678,0.000431,0.539635
1005200,0.0324,0.013523,0.002678,0.000431,0.469105
1005300,0.0324,0.013523,0.002678,0.000431,0.508471
1005400,0.0324,0.013523,0.002678,0.000431,0.449423
1005500,0.0324,0.013523,0.002678,0.000431,0.582281
1005600,0.0324,0.013523,0.002678,0.000431,0.428100
1005700,0.0324,0.013523,0.002678,0.000431,0.498629
1005800,0.0324,0.013523,0.002678,0.000431,0.552757
1005900,0.0324,0.013523,0.002678,0.000431,0.451063
1006000,0.0324,0.013523,0.002678,0.000431,0.503550
1006100,0.0324,0.013523,0.002678,0.000431,0.488788
1006200,0.0324,0.013523,0.002678,0.000431,0.493709
1006300,0.0324,0.013523,0.002678,0.000431,0.510111
1006400,0.0324,0.013523,0.002678,0.000431,0.498629
1006500,0.0324,0.013523,0.002678,0.000431,0.503550
1006600,0.0324,0.013523,0.002678,0.000431,0.465825
1006700,0.0324,0.013523,0.002678,0.000431,0.501910
1006800,0.0324,0.013523,0.002678,0.000431,0.521593
1006900,0.0324,0.013523,0.002678,0.000431,0.501910
1007000,0.0324,0.013523,0.002678,0.000431,0.462544
1007100,0.0324,0.013523,0.002678,0.000431,0.552757
1007200,0.0324,0.013523,0.002678,0.000431,0.462544
1007300,0.0324,0.013523,0.002678,0.000431,0.498629
1007400,0.0324,0.013523,0.002678,0.000431,0.519952
1007500,0.0324,0.013523,0.002678,0.000431,0.451063
1007600,0.0324,0.013523,0.002678,0.000431,0.531434
1007700,0.0324,0.013523,0.002678,0.000431,0.431380
1007800,0.0324,0.013523,0.002678,0.000431,0.562598
1007900,0.0324,0.013523,0.002678,0.000431,0.487148
1008000,0.0324,0.013523,0.002678,0.000431,0.423179
1008100,0.0324,0.013523,0.002678,0.000431,0.600324
1008200,0.0324,0.013523,0.002678,0.000431,0.408417
1008300,0.0324,0.013523,0.002678,0.000431,0.539635
1008400,0.0324,0.013523,0.002678,0.000431,0.510111
1008500,0.0324,0.013523,0.002678,0.000431,0.513392
1008600,0.0324,0.013523,0.002678,0.000431,0.459264
