Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
1900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
2900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
3900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
4900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
5000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.165136
5100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,25.778688
5200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.712469
5300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.581579
5400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.590152
5500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.697998
5600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,9.878852
5700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.211241
5800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,10.860333
5900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.312720
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.525336
6100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.747383
6200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.750945
6300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.808841
6400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.455586
6500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.581198
6600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.502773
6700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.541882
6800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.028108
6900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.517026
7000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.258578
7100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.592631
7200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.603320
7300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.327553
7400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.080199
7500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.421538
7600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.909009
7700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.241028
7800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.887149
7900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.495099
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.975166
8100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.043348
8200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.768701
8300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.159863
8400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.933700
8500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.114752
8600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.543220
8700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.215576
