Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.571338
1000100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.656181
1000200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.375700
1000300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.897612
1000400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.023455
1000500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.572223
1000600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.941107
1000700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.432311
1000800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.322464
1000900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.911533
1001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.665202
1001100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.306900
1001200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.104845
1001300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.064635
1001400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.920533
1001500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.478660
1001600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.332101
1001700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.700153
1001800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.806862
1001900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.994144
1002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.669578
1002100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.193696
1002200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.845527
1002300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.196578
1002400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.019017
1002500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.885175
1002600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.737417
1002700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.991329
1002800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.530647
1002900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.932326
1003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.479242
1003100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.816837
1003200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.015885
1003300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.177726
1003400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.059655
1003500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.916057
1003600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.314970
1003700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.401111
1003800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.941542
1003900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.422574
1004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.175183
1004100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.445330
1004200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.306540
1004300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.574916
1004400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.000115
1004500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.452616
1004600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.341783
1004700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.792556
1004800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.115314
1004900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.513756
1005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.612703
1005100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.171342
1005200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.327362
1005300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.513464
1005400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.503641
1005500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.424109
1005600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.463034
1005700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.614009
1005800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.463563
1005900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.898339
1006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.170144
1006100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.975499
1006200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.270649
1006300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.076254
1006400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.256955
1006500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.620802
1006600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.352684
1006700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.344700
1006800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.290632
1006900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.227210
1007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.688226
1007100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.395723
1007200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.919835
1007300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.733938
1007400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.126744
1007500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.552650
1007600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.333471
1007700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.586556
1007800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.355564
1007900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.677339
1008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.140966
1008100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.001206
1008200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.770058
1008300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.400864
1008400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.131135
1008500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.130780
1008600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.469532
1008700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.788474
1008800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.628559
1008900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.057311
1009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.872296
1009100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.584164
1009200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.897634
1009300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.762160
1009400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.616642
1009500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.941353
1009600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.236996
1009700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.421539
1009800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.942656
1009900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.956525
1010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.872656
1010100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.624743
