Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.350726
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111488
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.105762
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.102519
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111578
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.115655
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.113067
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110888
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.109991
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111011
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.111702
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110390
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.142059
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.145429
34000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.102241
36000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107755
38000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.101931
40000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107586
42000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.100462
44000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.106887
46000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.097723
48000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104237
50000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.107876
52000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104040
54000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.109568
56000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.148831
58000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.139065
