Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.223540
1002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.198111
1004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.229894
1006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.283994
1008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.254105
1010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.208983
1012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.229773
1014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.193488
1016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.211834
1018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.196801
1020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.215318
1022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.197545
1024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.187205
1026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.193065
1028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.170087
1030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.145679
1032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.162520
1034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.153268
1036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.145153
1038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.133968
1040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.146159
1042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.155595
1044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.141071
1046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.158314
1048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.164770
1050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.136815
1052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.158505
1054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.142871
