Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.3415,0.039994,0.023482,0.002970,0.004933
1002000,1.3415,0.039994,0.023482,0.002970,0.003918
1004000,1.3415,0.039994,0.023482,0.002970,0.004880
1006000,1.3415,0.039994,0.023482,0.002970,0.006160
1008000,1.3415,0.039994,0.023482,0.002970,0.005231
1010000,1.3415,0.039994,0.023482,0.002970,0.003832
1012000,1.3415,0.039994,0.023482,0.002970,0.004673
1014000,1.3415,0.039994,0.023482,0.002970,0.003642
1016000,1.3415,0.039994,0.023482,0.002970,0.004326
1018000,1.3415,0.039994,0.023482,0.002970,0.003857
1020000,1.3415,0.039994,0.023482,0.002970,0.004376
1022000,1.3415,0.039994,0.023482,0.002970,0.003855
1024000,1.3415,0.039994,0.023482,0.002970,0.003590
1026000,1.3415,0.039994,0.023482,0.002970,0.003743
1028000,1.3415,0.039994,0.023482,0.002970,0.003060
1030000,1.3415,0.039994,0.023482,0.002970,0.002442
1032000,1.3415,0.039994,0.023482,0.002970,0.002842
1034000,1.3415,0.039994,0.023482,0.002970,0.002548
1036000,1.3415,0.039994,0.023482,0.002970,0.002407
1038000,1.3415,0.039994,0.023482,0.002970,0.001982
1040000,1.3415,0.039994,0.023482,0.002970,0.002423
1042000,1.3415,0.039994,0.023482,0.002970,0.002527
1044000,1.3415,0.039994,0.023482,0.002970,0.002230
1046000,1.3415,0.039994,0.023482,0.002970,0.002624
1048000,1.3415,0.039994,0.023482,0.002970,0.002720
1050000,1.3415,0.039994,0.023482,0.002970,0.001976
1052000,1.3415,0.039994,0.023482,0.002970,0.002582
1054000,1.3415,0.039994,0.023482,0.002970,0.002050
1056000,1.3415,0.039994,0.023482,0.002970,0.002222
1058000,1.3415,0.039994,0.023482,0.002970,0.002406
1060000,1.3415,0.039994,0.023482,0.002970,0.002376
1062000,1.3415,0.039994,0.023482,0.002970,0.002045
1064000,1.3415,0.039994,0.023482,0.002970,0.002429
1066000,1.3415,0.039994,0.023482,0.002970,0.002890
1068000,1.3415,0.039994,0.023482,0.002970,0.002994
1070000,1.3415,0.039994,0.023482,0.002970,0.004098
1072000,1.3415,0.039994,0.023482,0.002970,0.003565
1074000,1.3415,0.039994,0.023482,0.002970,0.003412
1076000,1.3415,0.039994,0.023482,0.002970,0.004241
1078000,1.3415,0.039994,0.023482,0.002970,0.003773
1080000,1.3415,0.039994,0.023482,0.002970,0.003768
1082000,1.3415,0.039994,0.023482,0.002970,0.003797
1084000,1.3415,0.039994,0.023482,0.002970,0.003941
1086000,1.3415,0.039994,0.023482,0.002970,0.004022
1088000,1.3415,0.039994,0.023482,0.002970,0.004930
1090000,1.3415,0.039994,0.023482,0.002970,0.005060
