Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,8.6440,0.261844,0.058609,0.079322,1.432655
1002000,8.6440,0.261844,0.058609,0.079322,1.057069
1004000,8.6440,0.261844,0.058609,0.079322,1.348180
1006000,8.6440,0.261844,0.058609,0.079322,1.613486
1008000,8.6440,0.261844,0.058609,0.079322,1.428443
1010000,8.6440,0.261844,0.058609,0.079322,1.061433
1012000,8.6440,0.261844,0.058609,0.079322,1.211554
1014000,8.6440,0.261844,0.058609,0.079322,0.935593
1016000,8.6440,0.261844,0.058609,0.079322,1.251362
1018000,8.6440,0.261844,0.058609,0.079322,1.042373
1020000,8.6440,0.261844,0.058609,0.079322,1.173098
1022000,8.6440,0.261844,0.058609,0.079322,1.031827
1024000,8.6440,0.261844,0.058609,0.079322,1.003982
1026000,8.6440,0.261844,0.058609,0.079322,0.952594
1028000,8.6440,0.261844,0.058609,0.079322,0.803362
1030000,8.6440,0.261844,0.058609,0.079322,0.637979
1032000,8.6440,0.261844,0.058609,0.079322,0.758209
1034000,8.6440,0.261844,0.058609,0.079322,0.637584
1036000,8.6440,0.261844,0.058609,0.079322,0.620642
1038000,8.6440,0.261844,0.058609,0.079322,0.512464
1040000,8.6440,0.261844,0.058609,0.079322,0.590186
1042000,8.6440,0.261844,0.058609,0.079322,0.622671
1044000,8.6440,0.261844,0.058609,0.079322,0.565575
1046000,8.6440,0.261844,0.058609,0.079322,0.627595
1048000,8.6440,0.261844,0.058609,0.079322,0.675942
1050000,8.6440,0.261844,0.058609,0.079322,0.452864
1052000,8.6440,0.261844,0.058609,0.079322,0.633784
1054000,8.6440,0.261844,0.058609,0.079322,0.462796
1056000,8.6440,0.261844,0.058609,0.079322,0.422523
1058000,8.6440,0.261844,0.058609,0.079322,0.609006
1060000,8.6440,0.261844,0.058609,0.079322,0.533349
1062000,8.6440,0.261844,0.058609,0.079322,0.426597
1064000,8.6440,0.261844,0.058609,0.079322,0.595280
1066000,8.6440,0.261844,0.058609,0.079322,0.699171
1068000,8.6440,0.261844,0.058609,0.079322,0.724739
1070000,8.6440,0.261844,0.058609,0.079322,1.021997
1072000,8.6440,0.261844,0.058609,0.079322,0.986128
1074000,8.6440,0.261844,0.058609,0.079322,0.856912
1076000,8.6440,0.261844,0.058609,0.079322,1.144798
1078000,8.6440,0.261844,0.058609,0.079322,1.072007
1080000,8.6440,0.261844,0.058609,0.079322,0.986657
1082000,8.6440,0.261844,0.058609,0.079322,1.007641
