Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.2191,0.065854,0.000377,0.000034,0.229996
1002000,0.2191,0.065854,0.000377,0.000034,0.186214
1004000,0.2191,0.065854,0.000377,0.000034,0.221451
1006000,0.2191,0.065854,0.000377,0.000034,0.257542
1008000,0.2191,0.065854,0.000377,0.000034,0.238204
1010000,0.2191,0.065854,0.000377,0.000034,0.195683
1012000,0.2191,0.065854,0.000377,0.000034,0.208474
1014000,0.2191,0.065854,0.000377,0.000034,0.180466
1016000,0.2191,0.065854,0.000377,0.000034,0.211221
1018000,0.2191,0.065854,0.000377,0.000034,0.187042
1020000,0.2191,0.065854,0.000377,0.000034,0.202615
1022000,0.2191,0.065854,0.000377,0.000034,0.183342
1024000,0.2191,0.065854,0.000377,0.000034,0.182745
1026000,0.2191,0.065854,0.000377,0.000034,0.174882
1028000,0.2191,0.065854,0.000377,0.000034,0.157399
1030000,0.2191,0.065854,0.000377,0.000034,0.137615
1032000,0.2191,0.065854,0.000377,0.000034,0.154246
1034000,0.2191,0.065854,0.000377,0.000034,0.139079
1036000,0.2191,0.065854,0.000377,0.000034,0.138093
1038000,0.2191,0.065854,0.000377,0.000034,0.124933
1040000,0.2191,0.065854,0.000377,0.000034,0.135214
1042000,0.2191,0.065854,0.000377,0.000034,0.139447
1044000,0.2191,0.065854,0.000377,0.000034,0.130553
1046000,0.2191,0.065854,0.000377,0.000034,0.140217
1048000,0.2191,0.065854,0.000377,0.000034,0.144966
1050000,0.2191,0.065854,0.000377,0.000034,0.121959
1052000,0.2191,0.065854,0.000377,0.000034,0.140555
1054000,0.2191,0.065854,0.000377,0.000034,0.121499
1056000,0.2191,0.065854,0.000377,0.000034,0.117039
1058000,0.2191,0.065854,0.000377,0.000034,0.140739
1060000,0.2191,0.065854,0.000377,0.000034,0.131154
1062000,0.2191,0.065854,0.000377,0.000034,0.116994
1064000,0.2191,0.065854,0.000377,0.000034,0.137060
1066000,0.2191,0.065854,0.000377,0.000034,0.148126
1068000,0.2191,0.065854,0.000377,0.000034,0.156344
1070000,0.2191,0.065854,0.000377,0.000034,0.185578
1072000,0.2191,0.065854,0.000377,0.000034,0.184836
1074000,0.2191,0.065854,0.000377,0.000034,0.167163
1076000,0.2191,0.065854,0.000377,0.000034,0.204228
1078000,0.2191,0.065854,0.000377,0.000034,0.193513
