Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.6202,0.544831,0.005673,0.000697,0.357825
1002000,1.6202,0.544831,0.005673,0.000697,0.360379
1004000,1.6202,0.544831,0.005673,0.000697,0.361170
1006000,1.6202,0.544831,0.005673,0.000697,0.364284
1008000,1.6202,0.544831,0.005673,0.000697,0.368405
1010000,1.6202,0.544831,0.005673,0.000697,0.368249
1012000,1.6202,0.544831,0.005673,0.000697,0.362261
1014000,1.6202,0.544831,0.005673,0.000697,0.362212
1016000,1.6202,0.544831,0.005673,0.000697,0.363001
1018000,1.6202,0.544831,0.005673,0.000697,0.361532
1020000,1.6202,0.544831,0.005673,0.000697,0.360687
1022000,1.6202,0.544831,0.005673,0.000697,0.363007
1024000,1.6202,0.544831,0.005673,0.000697,0.361074
1026000,1.6202,0.544831,0.005673,0.000697,0.360800
1028000,1.6202,0.544831,0.005673,0.000697,0.361844
1030000,1.6202,0.544831,0.005673,0.000697,0.360271
1032000,1.6202,0.544831,0.005673,0.000697,0.362064
1034000,1.6202,0.544831,0.005673,0.000697,0.360005
1036000,1.6202,0.544831,0.005673,0.000697,0.360562
1038000,1.6202,0.544831,0.005673,0.000697,0.362073
1040000,1.6202,0.544831,0.005673,0.000697,0.359777
1042000,1.6202,0.544831,0.005673,0.000697,0.362656
1044000,1.6202,0.544831,0.005673,0.000697,0.359875
1046000,1.6202,0.544831,0.005673,0.000697,0.362562
1048000,1.6202,0.544831,0.005673,0.000697,0.364506
1050000,1.6202,0.544831,0.005673,0.000697,0.362748
1052000,1.6202,0.544831,0.005673,0.000697,0.362282
1054000,1.6202,0.544831,0.005673,0.000697,0.361989
1056000,1.6202,0.544831,0.005673,0.000697,0.361516
1058000,1.6202,0.544831,0.005673,0.000697,0.362600
1060000,1.6202,0.544831,0.005673,0.000697,0.361736
1062000,1.6202,0.544831,0.005673,0.000697,0.360826
1064000,1.6202,0.544831,0.005673,0.000697,0.362123
1066000,1.6202,0.544831,0.005673,0.000697,0.361292
1068000,1.6202,0.544831,0.005673,0.000697,0.363570
1070000,1.6202,0.544831,0.005673,0.000697,0.365463
1072000,1.6202,0.544831,0.005673,0.000697,0.365861
1074000,1.6202,0.544831,0.005673,0.000697,0.366110
1076000,1.6202,0.544831,0.005673,0.000697,0.364514
1078000,1.6202,0.544831,0.005673,0.000697,0.363574
1080000,1.6202,0.544831,0.005673,0.000697,0.364374
1082000,1.6202,0.544831,0.005673,0.000697,0.365776
1084000,1.6202,0.544831,0.005673,0.000697,0.364353
1086000,1.6202,0.544831,0.005673,0.000697,0.366188
1088000,1.6202,0.544831,0.005673,0.000697,0.364734
1090000,1.6202,0.544831,0.005673,0.000697,0.364014
1092000,1.6202,0.544831,0.005673,0.000697,0.369682
1094000,1.6202,0.544831,0.005673,0.000697,0.369412
1096000,1.6202,0.544831,0.005673,0.000697,0.369872
1098000,1.6202,0.544831,0.005673,0.000697,0.370813
1100000,1.6202,0.544831,0.005673,0.000697,0.371428
1102000,1.6202,0.544831,0.005673,0.000697,0.368557
1104000,1.6202,0.544831,0.005673,0.000697,0.363825
1106000,1.6202,0.544831,0.005673,0.000697,0.369094
1108000,1.6202,0.544831,0.005673,0.000697,0.365219
1110000,1.6202,0.544831,0.005673,0.000697,0.360066
1112000,1.6202,0.544831,0.005673,0.000697,0.368594
1114000,1.6202,0.544831,0.005673,0.000697,0.362388
1116000,1.6202,0.544831,0.005673,0.000697,0.371323
1118000,1.6202,0.544831,0.005673,0.000697,0.369799
1120000,1.6202,0.544831,0.005673,0.000697,0.369272
1122000,1.6202,0.544831,0.005673,0.000697,0.366772
1124000,1.6202,0.544831,0.005673,0.000697,0.365399
1126000,1.6202,0.544831,0.005673,0.000697,0.365370
1128000,1.6202,0.544831,0.005673,0.000697,0.368046
1130000,1.6202,0.544831,0.005673,0.000697,0.366433
1132000,1.6202,0.544831,0.005673,0.000697,0.364872
1134000,1.6202,0.544831,0.005673,0.000697,0.370069
1136000,1.6202,0.544831,0.005673,0.000697,0.367967
1138000,1.6202,0.544831,0.005673,0.000697,0.370467
1140000,1.6202,0.544831,0.005673,0.000697,0.369592
1142000,1.6202,0.544831,0.005673,0.000697,0.369777
1144000,1.6202,0.544831,0.005673,0.000697,0.367896
1146000,1.6202,0.544831,0.005673,0.000697,0.370336
1148000,1.6202,0.544831,0.005673,0.000697,0.367818
1150000,1.6202,0.544831,0.005673,0.000697,0.369984
1152000,1.6202,0.544831,0.005673,0.000697,0.370001
1154000,1.6202,0.544831,0.005673,0.000697,0.369013
1156000,1.6202,0.544831,0.005673,0.000697,0.370105
1158000,1.6202,0.544831,0.005673,0.000697,0.369145
1160000,1.6202,0.544831,0.005673,0.000697,0.371932
1162000,1.6202,0.544831,0.005673,0.000697,0.374823
1164000,1.6202,0.544831,0.005673,0.000697,0.380341
1166000,1.6202,0.544831,0.005673,0.000697,0.378506
1168000,1.6202,0.544831,0.005673,0.000697,0.372353
1170000,1.6202,0.544831,0.005673,0.000697,0.376051
1172000,1.6202,0.544831,0.005673,0.000697,0.365792
1174000,1.6202,0.544831,0.005673,0.000697,0.378412
1176000,1.6202,0.544831,0.005673,0.000697,0.375338
1178000,1.6202,0.544831,0.005673,0.000697,0.366952
1180000,1.6202,0.544831,0.005673,0.000697,0.374875
1182000,1.6202,0.544831,0.005673,0.000697,0.371494
1184000,1.6202,0.544831,0.005673,0.000697,0.379165
1186000,1.6202,0.544831,0.005673,0.000697,0.377799
1188000,1.6202,0.544831,0.005673,0.000697,0.383836
1190000,1.6202,0.544831,0.005673,0.000697,0.378192
1192000,1.6202,0.544831,0.005673,0.000697,0.379337
1194000,1.6202,0.544831,0.005673,0.000697,0.380166
1196000,1.6202,0.544831,0.005673,0.000697,0.378013
1198000,1.6202,0.544831,0.005673,0.000697,0.372789
1200000,1.6202,0.544831,0.005673,0.000697,0.370651
1202000,1.6202,0.544831,0.005673,0.000697,0.370931
1204000,1.6202,0.544831,0.005673,0.000697,0.378951
1206000,1.6202,0.544831,0.005673,0.000697,0.367742
1208000,1.6202,0.544831,0.005673,0.000697,0.375011
1210000,1.6202,0.544831,0.005673,0.000697,0.372747
1212000,1.6202,0.544831,0.005673,0.000697,0.376875
1214000,1.6202,0.544831,0.005673,0.000697,0.376291
1216000,1.6202,0.544831,0.005673,0.000697,0.372895
1218000,1.6202,0.544831,0.005673,0.000697,0.369786
1220000,1.6202,0.544831,0.005673,0.000697,0.372833
1222000,1.6202,0.544831,0.005673,0.000697,0.362424
1224000,1.6202,0.544831,0.005673,0.000697,0.358750
1226000,1.6202,0.544831,0.005673,0.000697,0.345790
1228000,1.6202,0.544831,0.005673,0.000697,0.359180
1230000,1.6202,0.544831,0.005673,0.000697,0.342088
1232000,1.6202,0.544831,0.005673,0.000697,0.367269
1234000,1.6202,0.544831,0.005673,0.000697,0.364001
1236000,1.6202,0.544831,0.005673,0.000697,0.371708
1238000,1.6202,0.544831,0.005673,0.000697,0.372264
1240000,1.6202,0.544831,0.005673,0.000697,0.362407
1242000,1.6202,0.544831,0.005673,0.000697,0.359135
1244000,1.6202,0.544831,0.005673,0.000697,0.357040
1246000,1.6202,0.544831,0.005673,0.000697,0.349888
1248000,1.6202,0.544831,0.005673,0.000697,0.358480
1250000,1.6202,0.544831,0.005673,0.000697,0.367447
1252000,1.6202,0.544831,0.005673,0.000697,0.360678
1254000,1.6202,0.544831,0.005673,0.000697,0.356467
1256000,1.6202,0.544831,0.005673,0.000697,0.358643
1258000,1.6202,0.544831,0.005673,0.000697,0.349522
1260000,1.6202,0.544831,0.005673,0.000697,0.348053
1262000,1.6202,0.544831,0.005673,0.000697,0.363278
1264000,1.6202,0.544831,0.005673,0.000697,0.361702
1266000,1.6202,0.544831,0.005673,0.000697,0.354797
1268000,1.6202,0.544831,0.005673,0.000697,0.364173
1270000,1.6202,0.544831,0.005673,0.000697,0.356204
1272000,1.6202,0.544831,0.005673,0.000697,0.356005
1274000,1.6202,0.544831,0.005673,0.000697,0.353441
1276000,1.6202,0.544831,0.005673,0.000697,0.342258
1278000,1.6202,0.544831,0.005673,0.000697,0.362664
1280000,1.6202,0.544831,0.005673,0.000697,0.349137
1282000,1.6202,0.544831,0.005673,0.000697,0.347160
1284000,1.6202,0.544831,0.005673,0.000697,0.360426
1286000,1.6202,0.544831,0.005673,0.000697,0.343180
1288000,1.6202,0.544831,0.005673,0.000697,0.364746
1290000,1.6202,0.544831,0.005673,0.000697,0.352954
1292000,1.6202,0.544831,0.005673,0.000697,0.350069
1294000,1.6202,0.544831,0.005673,0.000697,0.351240
1296000,1.6202,0.544831,0.005673,0.000697,0.343923
1298000,1.6202,0.544831,0.005673,0.000697,0.360635
1300000,1.6202,0.544831,0.005673,0.000697,0.347032
1302000,1.6202,0.544831,0.005673,0.000697,0.354699
1304000,1.6202,0.544831,0.005673,0.000697,0.347754
1306000,1.6202,0.544831,0.005673,0.000697,0.356013
1308000,1.6202,0.544831,0.005673,0.000697,0.350851
1310000,1.6202,0.544831,0.005673,0.000697,0.357961
1312000,1.6202,0.544831,0.005673,0.000697,0.344940
1314000,1.6202,0.544831,0.005673,0.000697,0.359587
1316000,1.6202,0.544831,0.005673,0.000697,0.341113
1318000,1.6202,0.544831,0.005673,0.000697,0.354490
1320000,1.6202,0.544831,0.005673,0.000697,0.352395
1322000,1.6202,0.544831,0.005673,0.000697,0.352594
1324000,1.6202,0.544831,0.005673,0.000697,0.349962
1326000,1.6202,0.544831,0.005673,0.000697,0.351556
1328000,1.6202,0.544831,0.005673,0.000697,0.350926
1330000,1.6202,0.544831,0.005673,0.000697,0.351941
1332000,1.6202,0.544831,0.005673,0.000697,0.348062
1334000,1.6202,0.544831,0.005673,0.000697,0.358954
1336000,1.6202,0.544831,0.005673,0.000697,0.348329
1338000,1.6202,0.544831,0.005673,0.000697,0.354778
1340000,1.6202,0.544831,0.005673,0.000697,0.350079
1342000,1.6202,0.544831,0.005673,0.000697,0.348294
1344000,1.6202,0.544831,0.005673,0.000697,0.356831
1346000,1.6202,0.544831,0.005673,0.000697,0.347390
1348000,1.6202,0.544831,0.005673,0.000697,0.355775
1350000,1.6202,0.544831,0.005673,0.000697,0.344695
1352000,1.6202,0.544831,0.005673,0.000697,0.351699
1354000,1.6202,0.544831,0.005673,0.000697,0.351142
1356000,1.6202,0.544831,0.005673,0.000697,0.353036
1358000,1.6202,0.544831,0.005673,0.000697,0.349273
1360000,1.6202,0.544831,0.005673,0.000697,0.353915
1362000,1.6202,0.544831,0.005673,0.000697,0.348853
1364000,1.6202,0.544831,0.005673,0.000697,0.349334
1366000,1.6202,0.544831,0.005673,0.000697,0.355536
1368000,1.6202,0.544831,0.005673,0.000697,0.346242
1370000,1.6202,0.544831,0.005673,0.000697,0.364420
1372000,1.6202,0.544831,0.005673,0.000697,0.350460
1374000,1.6202,0.544831,0.005673,0.000697,0.348572
1376000,1.6202,0.544831,0.005673,0.000697,0.355258
1378000,1.6202,0.544831,0.005673,0.000697,0.344139
1380000,1.6202,0.544831,0.005673,0.000697,0.358702
1382000,1.6202,0.544831,0.005673,0.000697,0.346459
1384000,1.6202,0.544831,0.005673,0.000697,0.353647
1386000,1.6202,0.544831,0.005673,0.000697,0.350675
1388000,1.6202,0.544831,0.005673,0.000697,0.351612
1390000,1.6202,0.544831,0.005673,0.000697,0.362507
1392000,1.6202,0.544831,0.005673,0.000697,0.352541
1394000,1.6202,0.544831,0.005673,0.000697,0.353651
1396000,1.6202,0.544831,0.005673,0.000697,0.354010
1398000,1.6202,0.544831,0.005673,0.000697,0.349550
1400000,1.6202,0.544831,0.005673,0.000697,0.350450
1402000,1.6202,0.544831,0.005673,0.000697,0.352222
1404000,1.6202,0.544831,0.005673,0.000697,0.348895
1406000,1.6202,0.544831,0.005673,0.000697,0.364303
1408000,1.6202,0.544831,0.005673,0.000697,0.374884
1410000,1.6202,0.544831,0.005673,0.000697,0.359459
1412000,1.6202,0.544831,0.005673,0.000697,0.351069
1414000,1.6202,0.544831,0.005673,0.000697,0.350496
1416000,1.6202,0.544831,0.005673,0.000697,0.350091
1418000,1.6202,0.544831,0.005673,0.000697,0.354385
1420000,1.6202,0.544831,0.005673,0.000697,0.344894
1422000,1.6202,0.544831,0.005673,0.000697,0.356266
1424000,1.6202,0.544831,0.005673,0.000697,0.356034
1426000,1.6202,0.544831,0.005673,0.000697,0.349906
1428000,1.6202,0.544831,0.005673,0.000697,0.354278
1430000,1.6202,0.544831,0.005673,0.000697,0.352019
1432000,1.6202,0.544831,0.005673,0.000697,0.356703
1434000,1.6202,0.544831,0.005673,0.000697,0.355344
1436000,1.6202,0.544831,0.005673,0.000697,0.344976
1438000,1.6202,0.544831,0.005673,0.000697,0.355159
1440000,1.6202,0.544831,0.005673,0.000697,0.355101
1442000,1.6202,0.544831,0.005673,0.000697,0.349347
1444000,1.6202,0.544831,0.005673,0.000697,0.360949
1446000,1.6202,0.544831,0.005673,0.000697,0.351004
1448000,1.6202,0.544831,0.005673,0.000697,0.357997
1450000,1.6202,0.544831,0.005673,0.000697,0.357084
1452000,1.6202,0.544831,0.005673,0.000697,0.352542
1454000,1.6202,0.544831,0.005673,0.000697,0.347597
1456000,1.6202,0.544831,0.005673,0.000697,0.352567
1458000,1.6202,0.544831,0.005673,0.000697,0.350106
1460000,1.6202,0.544831,0.005673,0.000697,0.351125
1462000,1.6202,0.544831,0.005673,0.000697,0.352971
1464000,1.6202,0.544831,0.005673,0.000697,0.351698
1466000,1.6202,0.544831,0.005673,0.000697,0.364044
1468000,1.6202,0.544831,0.005673,0.000697,0.356027
1470000,1.6202,0.544831,0.005673,0.000697,0.352282
1472000,1.6202,0.544831,0.005673,0.000697,0.352918
1474000,1.6202,0.544831,0.005673,0.000697,0.350069
1476000,1.6202,0.544831,0.005673,0.000697,0.352119
1478000,1.6202,0.544831,0.005673,0.000697,0.352246
1480000,1.6202,0.544831,0.005673,0.000697,0.346940
1482000,1.6202,0.544831,0.005673,0.000697,0.364759
1484000,1.6202,0.544831,0.005673,0.000697,0.352843
1486000,1.6202,0.544831,0.005673,0.000697,0.366124
1488000,1.6202,0.544831,0.005673,0.000697,0.352637
1490000,1.6202,0.544831,0.005673,0.000697,0.351745
1492000,1.6202,0.544831,0.005673,0.000697,0.350368
1494000,1.6202,0.544831,0.005673,0.000697,0.350280
1496000,1.6202,0.544831,0.005673,0.000697,0.351069
1498000,1.6202,0.544831,0.005673,0.000697,0.352519
1500000,1.6202,0.544831,0.005673,0.000697,0.346687
1502000,1.6202,0.544831,0.005673,0.000697,0.359555
1504000,1.6202,0.544831,0.005673,0.000697,0.357289
1506000,1.6202,0.544831,0.005673,0.000697,0.356431
1508000,1.6202,0.544831,0.005673,0.000697,0.353341
1510000,1.6202,0.544831,0.005673,0.000697,0.348148
1512000,1.6202,0.544831,0.005673,0.000697,0.354127
1514000,1.6202,0.544831,0.005673,0.000697,0.347693
1516000,1.6202,0.544831,0.005673,0.000697,0.351901
1518000,1.6202,0.544831,0.005673,0.000697,0.358787
1520000,1.6202,0.544831,0.005673,0.000697,0.354155
1522000,1.6202,0.544831,0.005673,0.000697,0.357143
1524000,1.6202,0.544831,0.005673,0.000697,0.351784
1526000,1.6202,0.544831,0.005673,0.000697,0.349813
1528000,1.6202,0.544831,0.005673,0.000697,0.352864
1530000,1.6202,0.544831,0.005673,0.000697,0.347683
1532000,1.6202,0.544831,0.005673,0.000697,0.353153
1534000,1.6202,0.544831,0.005673,0.000697,0.350809
1536000,1.6202,0.544831,0.005673,0.000697,0.365962
1538000,1.6202,0.544831,0.005673,0.000697,0.356030
1540000,1.6202,0.544831,0.005673,0.000697,0.354814
1542000,1.6202,0.544831,0.005673,0.000697,0.348351
1544000,1.6202,0.544831,0.005673,0.000697,0.353134
1546000,1.6202,0.544831,0.005673,0.000697,0.350841
1548000,1.6202,0.544831,0.005673,0.000697,0.351016
1550000,1.6202,0.544831,0.005673,0.000697,0.350564
1552000,1.6202,0.544831,0.005673,0.000697,0.347099
1554000,1.6202,0.544831,0.005673,0.000697,0.355270
1556000,1.6202,0.544831,0.005673,0.000697,0.351278
1558000,1.6202,0.544831,0.005673,0.000697,0.351228
1560000,1.6202,0.544831,0.005673,0.000697,0.350962
1562000,1.6202,0.544831,0.005673,0.000697,0.346064
1564000,1.6202,0.544831,0.005673,0.000697,0.356898
1566000,1.6202,0.544831,0.005673,0.000697,0.344969
1568000,1.6202,0.544831,0.005673,0.000697,0.355398
1570000,1.6202,0.544831,0.005673,0.000697,0.349464
1572000,1.6202,0.544831,0.005673,0.000697,0.352933
1574000,1.6202,0.544831,0.005673,0.000697,0.348006
1576000,1.6202,0.544831,0.005673,0.000697,0.352427
1578000,1.6202,0.544831,0.005673,0.000697,0.348643
1580000,1.6202,0.544831,0.005673,0.000697,0.354379
1582000,1.6202,0.544831,0.005673,0.000697,0.352043
1584000,1.6202,0.544831,0.005673,0.000697,0.347014
1586000,1.6202,0.544831,0.005673,0.000697,0.359598
1588000,1.6202,0.544831,0.005673,0.000697,0.344816
1590000,1.6202,0.544831,0.005673,0.000697,0.357926
1592000,1.6202,0.544831,0.005673,0.000697,0.346949
1594000,1.6202,0.544831,0.005673,0.000697,0.351094
1596000,1.6202,0.544831,0.005673,0.000697,0.352979
1598000,1.6202,0.544831,0.005673,0.000697,0.349422
1600000,1.6202,0.544831,0.005673,0.000697,0.351413
1602000,1.6202,0.544831,0.005673,0.000697,0.348326
1604000,1.6202,0.544831,0.005673,0.000697,0.351688
1606000,1.6202,0.544831,0.005673,0.000697,0.351320
1608000,1.6202,0.544831,0.005673,0.000697,0.351983
1610000,1.6202,0.544831,0.005673,0.000697,0.350704
1612000,1.6202,0.544831,0.005673,0.000697,0.353948
1614000,1.6202,0.544831,0.005673,0.000697,0.349190
1616000,1.6202,0.544831,0.005673,0.000697,0.347675
1618000,1.6202,0.544831,0.005673,0.000697,0.354293
1620000,1.6202,0.544831,0.005673,0.000697,0.352424
1622000,1.6202,0.544831,0.005673,0.000697,0.349259
1624000,1.6202,0.544831,0.005673,0.000697,0.356431
1626000,1.6202,0.544831,0.005673,0.000697,0.348162
1628000,1.6202,0.544831,0.005673,0.000697,0.354071
1630000,1.6202,0.544831,0.005673,0.000697,0.353239
1632000,1.6202,0.544831,0.005673,0.000697,0.352630
1634000,1.6202,0.544831,0.005673,0.000697,0.349162
1636000,1.6202,0.544831,0.005673,0.000697,0.355255
1638000,1.6202,0.544831,0.005673,0.000697,0.345679
1640000,1.6202,0.544831,0.005673,0.000697,0.356325
1642000,1.6202,0.544831,0.005673,0.000697,0.347579
1644000,1.6202,0.544831,0.005673,0.000697,0.356220
1646000,1.6202,0.544831,0.005673,0.000697,0.349173
1648000,1.6202,0.544831,0.005673,0.000697,0.347516
1650000,1.6202,0.544831,0.005673,0.000697,0.357233
1652000,1.6202,0.544831,0.005673,0.000697,0.346434
1654000,1.6202,0.544831,0.005673,0.000697,0.349159
1656000,1.6202,0.544831,0.005673,0.000697,0.351751
1658000,1.6202,0.544831,0.005673,0.000697,0.356731
1660000,1.6202,0.544831,0.005673,0.000697,0.352676
1662000,1.6202,0.544831,0.005673,0.000697,0.356880
1664000,1.6202,0.544831,0.005673,0.000697,0.353918
