Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,0.7779,0.306348,0.002724,0.000334,0.183809
4000,0.7779,0.306348,0.002724,0.000334,0.183809
6000,0.7779,0.306348,0.002724,0.000334,0.189260
8000,0.7779,0.306348,0.002724,0.000334,0.202340
10000,0.7779,0.306348,0.002724,0.000334,0.199896
12000,0.7779,0.306348,0.002724,0.000334,0.199797
14000,0.7779,0.306348,0.002724,0.000334,0.200273
16000,0.7779,0.306348,0.002724,0.000334,0.199728
18000,0.7779,0.306348,0.002724,0.000334,0.200250
20000,0.7779,0.306348,0.002724,0.000334,0.199854
22000,0.7779,0.306348,0.002724,0.000334,0.199427
24000,0.7779,0.306348,0.002724,0.000334,0.200426
26000,0.7779,0.306348,0.002724,0.000334,0.200179
28000,0.7779,0.306348,0.002724,0.000334,0.199849
30000,0.7779,0.306348,0.002724,0.000334,0.200527
32000,0.7779,0.306348,0.002724,0.000334,0.199463
34000,0.7779,0.306348,0.002724,0.000334,0.199770
36000,0.7779,0.306348,0.002724,0.000334,0.200428
38000,0.7779,0.306348,0.002724,0.000334,0.199737
40000,0.7779,0.306348,0.002724,0.000334,0.200168
42000,0.7779,0.306348,0.002724,0.000334,0.200391
44000,0.7779,0.306348,0.002724,0.000334,0.198830
46000,0.7779,0.306348,0.002724,0.000334,0.200266
48000,0.7779,0.306348,0.002724,0.000334,0.199893
50000,0.7779,0.306348,0.002724,0.000334,0.198121
52000,0.7779,0.306348,0.002724,0.000334,0.199793
54000,0.7779,0.306348,0.002724,0.000334,0.197822
56000,0.7779,0.306348,0.002724,0.000334,0.200901
58000,0.7779,0.306348,0.002724,0.000334,0.197654
60000,0.7779,0.306348,0.002724,0.000334,0.199313
62000,0.7779,0.306348,0.002724,0.000334,0.199187
64000,0.7779,0.306348,0.002724,0.000334,0.197370
66000,0.7779,0.306348,0.002724,0.000334,0.200307
68000,0.7779,0.306348,0.002724,0.000334,0.197393
70000,0.7779,0.306348,0.002724,0.000334,0.199895
72000,0.7779,0.306348,0.002724,0.000334,0.199200
74000,0.7779,0.306348,0.002724,0.000334,0.198664
76000,0.7779,0.306348,0.002724,0.000334,0.199772
78000,0.7779,0.306348,0.002724,0.000334,0.199422
80000,0.7779,0.306348,0.002724,0.000334,0.199919
82000,0.7779,0.306348,0.002724,0.000334,0.197071
84000,0.7779,0.306348,0.002724,0.000334,0.199772
86000,0.7779,0.306348,0.002724,0.000334,0.200106
88000,0.7779,0.306348,0.002724,0.000334,0.199077
90000,0.7779,0.306348,0.002724,0.000334,0.199521
92000,0.7779,0.306348,0.002724,0.000334,0.199109
94000,0.7779,0.306348,0.002724,0.000334,0.200110
96000,0.7779,0.306348,0.002724,0.000334,0.199509
98000,0.7779,0.306348,0.002724,0.000334,0.199919
100000,0.7779,0.306348,0.002724,0.000334,0.199089
102000,0.7779,0.306348,0.002724,0.000334,0.199992
104000,0.7779,0.306348,0.002724,0.000334,0.199687
106000,0.7779,0.306348,0.002724,0.000334,0.198911
108000,0.7779,0.306348,0.002724,0.000334,0.199200
110000,0.7779,0.306348,0.002724,0.000334,0.199366
112000,0.7779,0.306348,0.002724,0.000334,0.201918
114000,0.7779,0.306348,0.002724,0.000334,0.201114
116000,0.7779,0.306348,0.002724,0.000334,0.200434
118000,0.7779,0.306348,0.002724,0.000334,0.199059
120000,0.7779,0.306348,0.002724,0.000334,0.199486
122000,0.7779,0.306348,0.002724,0.000334,0.199760
124000,0.7779,0.306348,0.002724,0.000334,0.200206
126000,0.7779,0.306348,0.002724,0.000334,0.200208
128000,0.7779,0.306348,0.002724,0.000334,0.199123
130000,0.7779,0.306348,0.002724,0.000334,0.200208
132000,0.7779,0.306348,0.002724,0.000334,0.198787
134000,0.7779,0.306348,0.002724,0.000334,0.199556
136000,0.7779,0.306348,0.002724,0.000334,0.198146
138000,0.7779,0.306348,0.002724,0.000334,0.199967
140000,0.7779,0.306348,0.002724,0.000334,0.200058
142000,0.7779,0.306348,0.002724,0.000334,0.198391
144000,0.7779,0.306348,0.002724,0.000334,0.197793
146000,0.7779,0.306348,0.002724,0.000334,0.200195
148000,0.7779,0.306348,0.002724,0.000334,0.199893
150000,0.7779,0.306348,0.002724,0.000334,0.199660
152000,0.7779,0.306348,0.002724,0.000334,0.198378
154000,0.7779,0.306348,0.002724,0.000334,0.197967
156000,0.7779,0.306348,0.002724,0.000334,0.200569
158000,0.7779,0.306348,0.002724,0.000334,0.199086
160000,0.7779,0.306348,0.002724,0.000334,0.200243
162000,0.7779,0.306348,0.002724,0.000334,0.198465
164000,0.7779,0.306348,0.002724,0.000334,0.199857
166000,0.7779,0.306348,0.002724,0.000334,0.200198
168000,0.7779,0.306348,0.002724,0.000334,0.200254
170000,0.7779,0.306348,0.002724,0.000334,0.199674
172000,0.7779,0.306348,0.002724,0.000334,0.199919
174000,0.7779,0.306348,0.002724,0.000334,0.199175
176000,0.7779,0.306348,0.002724,0.000334,0.198515
178000,0.7779,0.306348,0.002724,0.000334,0.199173
180000,0.7779,0.306348,0.002724,0.000334,0.199372
182000,0.7779,0.306348,0.002724,0.000334,0.199735
184000,0.7779,0.306348,0.002724,0.000334,0.199585
186000,0.7779,0.306348,0.002724,0.000334,0.199000
188000,0.7779,0.306348,0.002724,0.000334,0.200291
190000,0.7779,0.306348,0.002724,0.000334,0.199710
192000,0.7779,0.306348,0.002724,0.000334,0.199150
194000,0.7779,0.306348,0.002724,0.000334,0.199162
196000,0.7779,0.306348,0.002724,0.000334,0.199061
198000,0.7779,0.306348,0.002724,0.000334,0.199061
200000,0.7779,0.306348,0.002724,0.000334,0.199847
202000,0.7779,0.306348,0.002724,0.000334,0.198515
204000,0.7779,0.306348,0.002724,0.000334,0.200145
206000,0.7779,0.306348,0.002724,0.000334,0.200218
208000,0.7779,0.306348,0.002724,0.000334,0.199683
210000,0.7779,0.306348,0.002724,0.000334,0.198988
212000,0.7779,0.306348,0.002724,0.000334,0.198366
214000,0.7779,0.306348,0.002724,0.000334,0.201267
216000,0.7779,0.306348,0.002724,0.000334,0.199407
218000,0.7779,0.306348,0.002724,0.000334,0.200851
220000,0.7779,0.306348,0.002724,0.000334,0.199944
222000,0.7779,0.306348,0.002724,0.000334,0.200247
224000,0.7779,0.306348,0.002724,0.000334,0.199706
226000,0.7779,0.306348,0.002724,0.000334,0.199461
228000,0.7779,0.306348,0.002724,0.000334,0.199971
230000,0.7779,0.306348,0.002724,0.000334,0.199621
232000,0.7779,0.306348,0.002724,0.000334,0.199249
234000,0.7779,0.306348,0.002724,0.000334,0.199434
236000,0.7779,0.306348,0.002724,0.000334,0.199683
238000,0.7779,0.306348,0.002724,0.000334,0.199573
240000,0.7779,0.306348,0.002724,0.000334,0.199247
242000,0.7779,0.306348,0.002724,0.000334,0.199459
244000,0.7779,0.306348,0.002724,0.000334,0.199598
246000,0.7779,0.306348,0.002724,0.000334,0.199075
248000,0.7779,0.306348,0.002724,0.000334,0.199608
250000,0.7779,0.306348,0.002724,0.000334,0.198951
252000,0.7779,0.306348,0.002724,0.000334,0.198638
254000,0.7779,0.306348,0.002724,0.000334,0.199038
256000,0.7779,0.306348,0.002724,0.000334,0.199098
258000,0.7779,0.306348,0.002724,0.000334,0.198453
260000,0.7779,0.306348,0.002724,0.000334,0.199585
262000,0.7779,0.306348,0.002724,0.000334,0.198963
264000,0.7779,0.306348,0.002724,0.000334,0.198291
266000,0.7779,0.306348,0.002724,0.000334,0.199770
268000,0.7779,0.306348,0.002724,0.000334,0.199372
270000,0.7779,0.306348,0.002724,0.000334,0.200108
272000,0.7779,0.306348,0.002724,0.000334,0.199859
274000,0.7779,0.306348,0.002724,0.000334,0.198424
276000,0.7779,0.306348,0.002724,0.000334,0.197347
278000,0.7779,0.306348,0.002724,0.000334,0.199720
280000,0.7779,0.306348,0.002724,0.000334,0.198951
282000,0.7779,0.306348,0.002724,0.000334,0.199585
284000,0.7779,0.306348,0.002724,0.000334,0.199187
286000,0.7779,0.306348,0.002724,0.000334,0.200181
288000,0.7779,0.306348,0.002724,0.000334,0.198565
290000,0.7779,0.306348,0.002724,0.000334,0.199461
292000,0.7779,0.306348,0.002724,0.000334,0.199982
294000,0.7779,0.306348,0.002724,0.000334,0.200168
296000,0.7779,0.306348,0.002724,0.000334,0.198293
298000,0.7779,0.306348,0.002724,0.000334,0.199708
300000,0.7779,0.306348,0.002724,0.000334,0.199847
302000,0.7779,0.306348,0.002724,0.000334,0.197407
304000,0.7779,0.306348,0.002724,0.000334,0.198391
306000,0.7779,0.306348,0.002724,0.000334,0.197519
308000,0.7779,0.306348,0.002724,0.000334,0.199084
310000,0.7779,0.306348,0.002724,0.000334,0.198778
312000,0.7779,0.306348,0.002724,0.000334,0.198552
314000,0.7779,0.306348,0.002724,0.000334,0.200195
316000,0.7779,0.306348,0.002724,0.000334,0.197967
318000,0.7779,0.306348,0.002724,0.000334,0.198874
320000,0.7779,0.306348,0.002724,0.000334,0.199329
322000,0.7779,0.306348,0.002724,0.000334,0.201069
324000,0.7779,0.306348,0.002724,0.000334,0.201759
326000,0.7779,0.306348,0.002724,0.000334,0.200191
328000,0.7779,0.306348,0.002724,0.000334,0.199834
330000,0.7779,0.306348,0.002724,0.000334,0.200096
332000,0.7779,0.306348,0.002724,0.000334,0.198847
334000,0.7779,0.306348,0.002724,0.000334,0.200942
336000,0.7779,0.306348,0.002724,0.000334,0.199523
338000,0.7779,0.306348,0.002724,0.000334,0.200167
340000,0.7779,0.306348,0.002724,0.000334,0.198780
342000,0.7779,0.306348,0.002724,0.000334,0.198623
344000,0.7779,0.306348,0.002724,0.000334,0.199425
346000,0.7779,0.306348,0.002724,0.000334,0.198737
348000,0.7779,0.306348,0.002724,0.000334,0.200901
350000,0.7779,0.306348,0.002724,0.000334,0.198009
352000,0.7779,0.306348,0.002724,0.000334,0.198462
354000,0.7779,0.306348,0.002724,0.000334,0.199847
356000,0.7779,0.306348,0.002724,0.000334,0.198042
358000,0.7779,0.306348,0.002724,0.000334,0.200293
360000,0.7779,0.306348,0.002724,0.000334,0.198305
362000,0.7779,0.306348,0.002724,0.000334,0.200353
364000,0.7779,0.306348,0.002724,0.000334,0.200168
366000,0.7779,0.306348,0.002724,0.000334,0.200160
368000,0.7779,0.306348,0.002724,0.000334,0.197928
370000,0.7779,0.306348,0.002724,0.000334,0.199251
372000,0.7779,0.306348,0.002724,0.000334,0.199183
374000,0.7779,0.306348,0.002724,0.000334,0.200629
376000,0.7779,0.306348,0.002724,0.000334,0.199786
378000,0.7779,0.306348,0.002724,0.000334,0.199893
380000,0.7779,0.306348,0.002724,0.000334,0.199760
382000,0.7779,0.306348,0.002724,0.000334,0.198602
384000,0.7779,0.306348,0.002724,0.000334,0.199521
386000,0.7779,0.306348,0.002724,0.000334,0.197559
388000,0.7779,0.306348,0.002724,0.000334,0.199955
390000,0.7779,0.306348,0.002724,0.000334,0.199424
392000,0.7779,0.306348,0.002724,0.000334,0.200170
394000,0.7779,0.306348,0.002724,0.000334,0.198959
396000,0.7779,0.306348,0.002724,0.000334,0.199390
398000,0.7779,0.306348,0.002724,0.000334,0.199445
400000,0.7779,0.306348,0.002724,0.000334,0.199459
402000,0.7779,0.306348,0.002724,0.000334,0.200208
404000,0.7779,0.306348,0.002724,0.000334,0.196984
406000,0.7779,0.306348,0.002724,0.000334,0.199797
408000,0.7779,0.306348,0.002724,0.000334,0.200081
410000,0.7779,0.306348,0.002724,0.000334,0.197223
412000,0.7779,0.306348,0.002724,0.000334,0.199432
414000,0.7779,0.306348,0.002724,0.000334,0.200071
416000,0.7779,0.306348,0.002724,0.000334,0.199000
418000,0.7779,0.306348,0.002724,0.000334,0.199633
420000,0.7779,0.306348,0.002724,0.000334,0.198501
422000,0.7779,0.306348,0.002724,0.000334,0.198582
424000,0.7779,0.306348,0.002724,0.000334,0.200481
426000,0.7779,0.306348,0.002724,0.000334,0.200959
428000,0.7779,0.306348,0.002724,0.000334,0.201534
430000,0.7779,0.306348,0.002724,0.000334,0.201644
432000,0.7779,0.306348,0.002724,0.000334,0.201057
434000,0.7779,0.306348,0.002724,0.000334,0.199521
436000,0.7779,0.306348,0.002724,0.000334,0.200512
438000,0.7779,0.306348,0.002724,0.000334,0.200349
440000,0.7779,0.306348,0.002724,0.000334,0.200467
442000,0.7779,0.306348,0.002724,0.000334,0.201050
444000,0.7779,0.306348,0.002724,0.000334,0.200384
446000,0.7779,0.306348,0.002724,0.000334,0.200268
448000,0.7779,0.306348,0.002724,0.000334,0.200405
450000,0.7779,0.306348,0.002724,0.000334,0.200307
452000,0.7779,0.306348,0.002724,0.000334,0.200691
454000,0.7779,0.306348,0.002724,0.000334,0.200144
456000,0.7779,0.306348,0.002724,0.000334,0.200270
458000,0.7779,0.306348,0.002724,0.000334,0.199596
460000,0.7779,0.306348,0.002724,0.000334,0.199807
462000,0.7779,0.306348,0.002724,0.000334,0.200145
464000,0.7779,0.306348,0.002724,0.000334,0.199882
466000,0.7779,0.306348,0.002724,0.000334,0.200195
468000,0.7779,0.306348,0.002724,0.000334,0.200131
470000,0.7779,0.306348,0.002724,0.000334,0.200055
472000,0.7779,0.306348,0.002724,0.000334,0.199975
474000,0.7779,0.306348,0.002724,0.000334,0.200503
476000,0.7779,0.306348,0.002724,0.000334,0.199938
478000,0.7779,0.306348,0.002724,0.000334,0.197503
480000,0.7779,0.306348,0.002724,0.000334,0.198837
482000,0.7779,0.306348,0.002724,0.000334,0.198936
484000,0.7779,0.306348,0.002724,0.000334,0.199523
486000,0.7779,0.306348,0.002724,0.000334,0.200133
488000,0.7779,0.306348,0.002724,0.000334,0.199623
490000,0.7779,0.306348,0.002724,0.000334,0.200231
492000,0.7779,0.306348,0.002724,0.000334,0.199173
494000,0.7779,0.306348,0.002724,0.000334,0.198640
496000,0.7779,0.306348,0.002724,0.000334,0.199471
498000,0.7779,0.306348,0.002724,0.000334,0.200595
500000,0.7779,0.306348,0.002724,0.000334,0.198712
502000,0.7779,0.306348,0.002724,0.000334,0.200615
504000,0.7779,0.306348,0.002724,0.000334,0.198903
506000,0.7779,0.306348,0.002724,0.000334,0.199198
508000,0.7779,0.306348,0.002724,0.000334,0.198515
510000,0.7779,0.306348,0.002724,0.000334,0.197943
512000,0.7779,0.306348,0.002724,0.000334,0.199521
514000,0.7779,0.306348,0.002724,0.000334,0.199249
516000,0.7779,0.306348,0.002724,0.000334,0.199882
518000,0.7779,0.306348,0.002724,0.000334,0.201743
520000,0.7779,0.306348,0.002724,0.000334,0.200113
522000,0.7779,0.306348,0.002724,0.000334,0.201622
