Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.7779,0.306348,0.002724,0.000334,0.199266
1002000,0.7779,0.306348,0.002724,0.000334,0.200542
1004000,0.7779,0.306348,0.002724,0.000334,0.200937
1006000,0.7779,0.306348,0.002724,0.000334,0.202494
1008000,0.7779,0.306348,0.002724,0.000334,0.204554
1010000,0.7779,0.306348,0.002724,0.000334,0.204476
1012000,0.7779,0.306348,0.002724,0.000334,0.201483
1014000,0.7779,0.306348,0.002724,0.000334,0.201458
1016000,0.7779,0.306348,0.002724,0.000334,0.201853
1018000,0.7779,0.306348,0.002724,0.000334,0.201118
1020000,0.7779,0.306348,0.002724,0.000334,0.200696
1022000,0.7779,0.306348,0.002724,0.000334,0.201856
1024000,0.7779,0.306348,0.002724,0.000334,0.200889
1026000,0.7779,0.306348,0.002724,0.000334,0.200753
1028000,0.7779,0.306348,0.002724,0.000334,0.201275
1030000,0.7779,0.306348,0.002724,0.000334,0.200488
1032000,0.7779,0.306348,0.002724,0.000334,0.201385
1034000,0.7779,0.306348,0.002724,0.000334,0.200355
1036000,0.7779,0.306348,0.002724,0.000334,0.200634
1038000,0.7779,0.306348,0.002724,0.000334,0.201389
1040000,0.7779,0.306348,0.002724,0.000334,0.200241
1042000,0.7779,0.306348,0.002724,0.000334,0.201680
1044000,0.7779,0.306348,0.002724,0.000334,0.200290
1046000,0.7779,0.306348,0.002724,0.000334,0.201633
1048000,0.7779,0.306348,0.002724,0.000334,0.202605
1050000,0.7779,0.306348,0.002724,0.000334,0.201726
1052000,0.7779,0.306348,0.002724,0.000334,0.201493
1054000,0.7779,0.306348,0.002724,0.000334,0.201347
1056000,0.7779,0.306348,0.002724,0.000334,0.201110
1058000,0.7779,0.306348,0.002724,0.000334,0.201652
1060000,0.7779,0.306348,0.002724,0.000334,0.201221
1062000,0.7779,0.306348,0.002724,0.000334,0.200766
1064000,0.7779,0.306348,0.002724,0.000334,0.201414
1066000,0.7779,0.306348,0.002724,0.000334,0.200998
1068000,0.7779,0.306348,0.002724,0.000334,0.202137
1070000,0.7779,0.306348,0.002724,0.000334,0.203083
1072000,0.7779,0.306348,0.002724,0.000334,0.203282
1074000,0.7779,0.306348,0.002724,0.000334,0.203406
1076000,0.7779,0.306348,0.002724,0.000334,0.202609
1078000,0.7779,0.306348,0.002724,0.000334,0.202139
1080000,0.7779,0.306348,0.002724,0.000334,0.202539
1082000,0.7779,0.306348,0.002724,0.000334,0.203240
