Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,23.8212,1.028147,0.538949,0.086720,2.226711
1002000,23.8212,1.028147,0.538949,0.086720,1.824680
1004000,23.8212,1.028147,0.538949,0.086720,2.148537
1006000,23.8212,1.028147,0.538949,0.086720,2.469223
1008000,23.8212,1.028147,0.538949,0.086720,2.253362
1010000,23.8212,1.028147,0.538949,0.086720,1.839831
1012000,23.8212,1.028147,0.538949,0.086720,2.011583
1014000,23.8212,1.028147,0.538949,0.086720,1.698307
1016000,23.8212,1.028147,0.538949,0.086720,2.033105
1018000,23.8212,1.028147,0.538949,0.086720,1.808615
1020000,23.8212,1.028147,0.538949,0.086720,1.958377
1022000,23.8212,1.028147,0.538949,0.086720,1.798810
1024000,23.8212,1.028147,0.538949,0.086720,1.760360
1026000,23.8212,1.028147,0.538949,0.086720,1.714986
1028000,23.8212,1.028147,0.538949,0.086720,1.542092
1030000,23.8212,1.028147,0.538949,0.086720,1.351684
1032000,23.8212,1.028147,0.538949,0.086720,1.489154
1034000,23.8212,1.028147,0.538949,0.086720,1.358984
1036000,23.8212,1.028147,0.538949,0.086720,1.333785
1038000,23.8212,1.028147,0.538949,0.086720,1.213998
1040000,23.8212,1.028147,0.538949,0.086720,1.304351
1042000,23.8212,1.028147,0.538949,0.086720,1.346377
1044000,23.8212,1.028147,0.538949,0.086720,1.274459
1046000,23.8212,1.028147,0.538949,0.086720,1.354116
1048000,23.8212,1.028147,0.538949,0.086720,1.409015
1050000,23.8212,1.028147,0.538949,0.086720,1.157239
1052000,23.8212,1.028147,0.538949,0.086720,1.360454
1054000,23.8212,1.028147,0.538949,0.086720,1.173301
1056000,23.8212,1.028147,0.538949,0.086720,1.140442
1058000,23.8212,1.028147,0.538949,0.086720,1.331834
1060000,23.8212,1.028147,0.538949,0.086720,1.256224
1062000,23.8212,1.028147,0.538949,0.086720,1.138052
1064000,23.8212,1.028147,0.538949,0.086720,1.318283
1066000,23.8212,1.028147,0.538949,0.086720,1.438460
1068000,23.8212,1.028147,0.538949,0.086720,1.467872
1070000,23.8212,1.028147,0.538949,0.086720,1.806189
1072000,23.8212,1.028147,0.538949,0.086720,1.749689
1074000,23.8212,1.028147,0.538949,0.086720,1.617390
1076000,23.8212,1.028147,0.538949,0.086720,1.932425
1078000,23.8212,1.028147,0.538949,0.086720,1.836802
1080000,23.8212,1.028147,0.538949,0.086720,1.757938
1082000,23.8212,1.028147,0.538949,0.086720,1.782452
1084000,23.8212,1.028147,0.538949,0.086720,1.839057
1086000,23.8212,1.028147,0.538949,0.086720,1.860447
1088000,23.8212,1.028147,0.538949,0.086720,2.129744
1090000,23.8212,1.028147,0.538949,0.086720,2.142723
1092000,23.8212,1.028147,0.538949,0.086720,2.387858
1094000,23.8212,1.028147,0.538949,0.086720,1.956416
1096000,23.8212,1.028147,0.538949,0.086720,2.367574
1098000,23.8212,1.028147,0.538949,0.086720,2.367149
1100000,23.8212,1.028147,0.538949,0.086720,2.375101
1102000,23.8212,1.028147,0.538949,0.086720,2.239565
1104000,23.8212,1.028147,0.538949,0.086720,2.551037
1106000,23.8212,1.028147,0.538949,0.086720,2.642645
1108000,23.8212,1.028147,0.538949,0.086720,2.941170
1110000,23.8212,1.028147,0.538949,0.086720,3.072222
1112000,23.8212,1.028147,0.538949,0.086720,2.857317
1114000,23.8212,1.028147,0.538949,0.086720,2.924777
1116000,23.8212,1.028147,0.538949,0.086720,2.610031
1118000,23.8212,1.028147,0.538949,0.086720,2.323556
1120000,23.8212,1.028147,0.538949,0.086720,1.966299
1122000,23.8212,1.028147,0.538949,0.086720,1.682446
1124000,23.8212,1.028147,0.538949,0.086720,2.036338
