Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,1.0570,0.187474,0.005507,0.000525,0.000000
4000,1.0570,0.187474,0.005507,0.000525,0.000000
6000,1.0570,0.187474,0.005507,0.000525,0.007123
8000,1.0570,0.187474,0.005507,0.000525,0.028984
10000,1.0570,0.187474,0.005507,0.000525,0.033095
12000,1.0570,0.187474,0.005507,0.000525,0.031759
14000,1.0570,0.187474,0.005507,0.000525,0.037526
16000,1.0570,0.187474,0.005507,0.000525,0.034260
18000,1.0570,0.187474,0.005507,0.000525,0.040523
20000,1.0570,0.187474,0.005507,0.000525,0.034591
22000,1.0570,0.187474,0.005507,0.000525,0.032864
24000,1.0570,0.187474,0.005507,0.000525,0.037193
26000,1.0570,0.187474,0.005507,0.000525,0.038340
28000,1.0570,0.187474,0.005507,0.000525,0.031193
30000,1.0570,0.187474,0.005507,0.000525,0.037999
32000,1.0570,0.187474,0.005507,0.000525,0.037265
34000,1.0570,0.187474,0.005507,0.000525,0.032491
36000,1.0570,0.187474,0.005507,0.000525,0.033028
38000,1.0570,0.187474,0.005507,0.000525,0.036213
40000,1.0570,0.187474,0.005507,0.000525,0.031772
42000,1.0570,0.187474,0.005507,0.000525,0.032504
44000,1.0570,0.187474,0.005507,0.000525,0.033758
46000,1.0570,0.187474,0.005507,0.000525,0.031152
48000,1.0570,0.187474,0.005507,0.000525,0.035835
50000,1.0570,0.187474,0.005507,0.000525,0.035229
52000,1.0570,0.187474,0.005507,0.000525,0.034188
54000,1.0570,0.187474,0.005507,0.000525,0.033867
56000,1.0570,0.187474,0.005507,0.000525,0.035540
58000,1.0570,0.187474,0.005507,0.000525,0.036409
60000,1.0570,0.187474,0.005507,0.000525,0.033715
62000,1.0570,0.187474,0.005507,0.000525,0.034440
64000,1.0570,0.187474,0.005507,0.000525,0.034107
66000,1.0570,0.187474,0.005507,0.000525,0.033518
68000,1.0570,0.187474,0.005507,0.000525,0.037012
70000,1.0570,0.187474,0.005507,0.000525,0.035458
72000,1.0570,0.187474,0.005507,0.000525,0.032549
74000,1.0570,0.187474,0.005507,0.000525,0.031551
76000,1.0570,0.187474,0.005507,0.000525,0.038469
78000,1.0570,0.187474,0.005507,0.000525,0.035692
80000,1.0570,0.187474,0.005507,0.000525,0.033225
82000,1.0570,0.187474,0.005507,0.000525,0.034380
84000,1.0570,0.187474,0.005507,0.000525,0.037029
86000,1.0570,0.187474,0.005507,0.000525,0.033210
88000,1.0570,0.187474,0.005507,0.000525,0.030975
90000,1.0570,0.187474,0.005507,0.000525,0.036374
92000,1.0570,0.187474,0.005507,0.000525,0.036147
94000,1.0570,0.187474,0.005507,0.000525,0.034575
96000,1.0570,0.187474,0.005507,0.000525,0.033102
98000,1.0570,0.187474,0.005507,0.000525,0.033523
