Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.0570,0.187474,0.005507,0.000525,0.127380
1002000,1.0570,0.187474,0.005507,0.000525,0.073825
1004000,1.0570,0.187474,0.005507,0.000525,0.102167
1006000,1.0570,0.187474,0.005507,0.000525,0.133596
1008000,1.0570,0.187474,0.005507,0.000525,0.110148
1010000,1.0570,0.187474,0.005507,0.000525,0.086631
1012000,1.0570,0.187474,0.005507,0.000525,0.090054
1014000,1.0570,0.187474,0.005507,0.000525,0.076948
1016000,1.0570,0.187474,0.005507,0.000525,0.087471
1018000,1.0570,0.187474,0.005507,0.000525,0.087942
1020000,1.0570,0.187474,0.005507,0.000525,0.092996
1022000,1.0570,0.187474,0.005507,0.000525,0.091305
1024000,1.0570,0.187474,0.005507,0.000525,0.082016
1026000,1.0570,0.187474,0.005507,0.000525,0.086409
1028000,1.0570,0.187474,0.005507,0.000525,0.062303
1030000,1.0570,0.187474,0.005507,0.000525,0.084317
1032000,1.0570,0.187474,0.005507,0.000525,0.057326
1034000,1.0570,0.187474,0.005507,0.000525,0.065697
1036000,1.0570,0.187474,0.005507,0.000525,0.061476
1038000,1.0570,0.187474,0.005507,0.000525,0.057110
1040000,1.0570,0.187474,0.005507,0.000525,0.047068
1042000,1.0570,0.187474,0.005507,0.000525,0.062330
1044000,1.0570,0.187474,0.005507,0.000525,0.050706
1046000,1.0570,0.187474,0.005507,0.000525,0.066317
1048000,1.0570,0.187474,0.005507,0.000525,0.057969
1050000,1.0570,0.187474,0.005507,0.000525,0.053306
1052000,1.0570,0.187474,0.005507,0.000525,0.062796
1054000,1.0570,0.187474,0.005507,0.000525,0.055935
1056000,1.0570,0.187474,0.005507,0.000525,0.048078
1058000,1.0570,0.187474,0.005507,0.000525,0.067555
1060000,1.0570,0.187474,0.005507,0.000525,0.058318
1062000,1.0570,0.187474,0.005507,0.000525,0.053448
1064000,1.0570,0.187474,0.005507,0.000525,0.060182
1066000,1.0570,0.187474,0.005507,0.000525,0.067871
1068000,1.0570,0.187474,0.005507,0.000525,0.064957
1070000,1.0570,0.187474,0.005507,0.000525,0.086251
1072000,1.0570,0.187474,0.005507,0.000525,0.075881
1074000,1.0570,0.187474,0.005507,0.000525,0.081963
1076000,1.0570,0.187474,0.005507,0.000525,0.098125
1078000,1.0570,0.187474,0.005507,0.000525,0.079296
1080000,1.0570,0.187474,0.005507,0.000525,0.094058
1082000,1.0570,0.187474,0.005507,0.000525,0.087663
1084000,1.0570,0.187474,0.005507,0.000525,0.089824
1086000,1.0570,0.187474,0.005507,0.000525,0.088025
1088000,1.0570,0.187474,0.005507,0.000525,0.111385
1090000,1.0570,0.187474,0.005507,0.000525,0.117482
1092000,1.0570,0.187474,0.005507,0.000525,0.120672
1094000,1.0570,0.187474,0.005507,0.000525,0.092521
1096000,1.0570,0.187474,0.005507,0.000525,0.132667
1098000,1.0570,0.187474,0.005507,0.000525,0.121952
1100000,1.0570,0.187474,0.005507,0.000525,0.115552
1102000,1.0570,0.187474,0.005507,0.000525,0.115159
1104000,1.0570,0.187474,0.005507,0.000525,0.139399
1106000,1.0570,0.187474,0.005507,0.000525,0.137907
1108000,1.0570,0.187474,0.005507,0.000525,0.158557
1110000,1.0570,0.187474,0.005507,0.000525,0.175638
1112000,1.0570,0.187474,0.005507,0.000525,0.155910
1114000,1.0570,0.187474,0.005507,0.000525,0.171607
1116000,1.0570,0.187474,0.005507,0.000525,0.138395
1118000,1.0570,0.187474,0.005507,0.000525,0.115264
1120000,1.0570,0.187474,0.005507,0.000525,0.108858
1122000,1.0570,0.187474,0.005507,0.000525,0.075833
1124000,1.0570,0.187474,0.005507,0.000525,0.100804
1126000,1.0570,0.187474,0.005507,0.000525,0.088596
1128000,1.0570,0.187474,0.005507,0.000525,0.087129
1130000,1.0570,0.187474,0.005507,0.000525,0.099598
1132000,1.0570,0.187474,0.005507,0.000525,0.094823
1134000,1.0570,0.187474,0.005507,0.000525,0.092878
1136000,1.0570,0.187474,0.005507,0.000525,0.106167
1138000,1.0570,0.187474,0.005507,0.000525,0.089368
1140000,1.0570,0.187474,0.005507,0.000525,0.100973
1142000,1.0570,0.187474,0.005507,0.000525,0.096725
1144000,1.0570,0.187474,0.005507,0.000525,0.071034
1146000,1.0570,0.187474,0.005507,0.000525,0.074088
1148000,1.0570,0.187474,0.005507,0.000525,0.072969
1150000,1.0570,0.187474,0.005507,0.000525,0.067816
1152000,1.0570,0.187474,0.005507,0.000525,0.063039
1154000,1.0570,0.187474,0.005507,0.000525,0.053775
1156000,1.0570,0.187474,0.005507,0.000525,0.062381
1158000,1.0570,0.187474,0.005507,0.000525,0.072594
1160000,1.0570,0.187474,0.005507,0.000525,0.074926
1162000,1.0570,0.187474,0.005507,0.000525,0.113736
1164000,1.0570,0.187474,0.005507,0.000525,0.132322
1166000,1.0570,0.187474,0.005507,0.000525,0.126578
1168000,1.0570,0.187474,0.005507,0.000525,0.139949
1170000,1.0570,0.187474,0.005507,0.000525,0.129328
1172000,1.0570,0.187474,0.005507,0.000525,0.157587
1174000,1.0570,0.187474,0.005507,0.000525,0.162076
1176000,1.0570,0.187474,0.005507,0.000525,0.172526
1178000,1.0570,0.187474,0.005507,0.000525,0.181522
1180000,1.0570,0.187474,0.005507,0.000525,0.185574
1182000,1.0570,0.187474,0.005507,0.000525,0.192218
1184000,1.0570,0.187474,0.005507,0.000525,0.170185
1186000,1.0570,0.187474,0.005507,0.000525,0.150255
1188000,1.0570,0.187474,0.005507,0.000525,0.151846
1190000,1.0570,0.187474,0.005507,0.000525,0.132659
1192000,1.0570,0.187474,0.005507,0.000525,0.147953
1194000,1.0570,0.187474,0.005507,0.000525,0.171078
1196000,1.0570,0.187474,0.005507,0.000525,0.166551
1198000,1.0570,0.187474,0.005507,0.000525,0.188949
1200000,1.0570,0.187474,0.005507,0.000525,0.191105
1202000,1.0570,0.187474,0.005507,0.000525,0.190846
1204000,1.0570,0.187474,0.005507,0.000525,0.165024
1206000,1.0570,0.187474,0.005507,0.000525,0.182988
1208000,1.0570,0.187474,0.005507,0.000525,0.167405
1210000,1.0570,0.187474,0.005507,0.000525,0.179238
1212000,1.0570,0.187474,0.005507,0.000525,0.174129
1214000,1.0570,0.187474,0.005507,0.000525,0.162466
1216000,1.0570,0.187474,0.005507,0.000525,0.161582
1218000,1.0570,0.187474,0.005507,0.000525,0.177517
1220000,1.0570,0.187474,0.005507,0.000525,0.166797
1222000,1.0570,0.187474,0.005507,0.000525,0.186884
1224000,1.0570,0.187474,0.005507,0.000525,0.191548
1226000,1.0570,0.187474,0.005507,0.000525,0.188432
1228000,1.0570,0.187474,0.005507,0.000525,0.180838
1230000,1.0570,0.187474,0.005507,0.000525,0.185714
1232000,1.0570,0.187474,0.005507,0.000525,0.182410
1234000,1.0570,0.187474,0.005507,0.000525,0.188448
1236000,1.0570,0.187474,0.005507,0.000525,0.187343
1238000,1.0570,0.187474,0.005507,0.000525,0.177461
1240000,1.0570,0.187474,0.005507,0.000525,0.183971
