Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,15.7031,5.502199,0.052647,0.006391,0.550220
4000,15.7031,5.502199,0.052647,0.006391,0.550220
6000,15.7031,5.502199,0.052647,0.006391,1.250456
8000,15.7031,5.502199,0.052647,0.006391,2.896761
10000,15.7031,5.502199,0.052647,0.006391,2.826700
12000,15.7031,5.502199,0.052647,0.006391,2.771209
14000,15.7031,5.502199,0.052647,0.006391,2.966421
16000,15.7031,5.502199,0.052647,0.006391,3.008927
18000,15.7031,5.502199,0.052647,0.006391,3.020267
20000,15.7031,5.502199,0.052647,0.006391,2.910268
22000,15.7031,5.502199,0.052647,0.006391,2.884575
24000,15.7031,5.502199,0.052647,0.006391,2.933342
26000,15.7031,5.502199,0.052647,0.006391,2.932817
28000,15.7031,5.502199,0.052647,0.006391,2.892467
30000,15.7031,5.502199,0.052647,0.006391,2.946609
32000,15.7031,5.502199,0.052647,0.006391,2.918460
34000,15.7031,5.502199,0.052647,0.006391,2.768506
36000,15.7031,5.502199,0.052647,0.006391,2.847433
38000,15.7031,5.502199,0.052647,0.006391,2.767705
40000,15.7031,5.502199,0.052647,0.006391,2.816891
42000,15.7031,5.502199,0.052647,0.006391,2.771985
44000,15.7031,5.502199,0.052647,0.006391,2.806010
46000,15.7031,5.502199,0.052647,0.006391,2.667615
48000,15.7031,5.502199,0.052647,0.006391,2.812340
50000,15.7031,5.502199,0.052647,0.006391,2.843396
52000,15.7031,5.502199,0.052647,0.006391,2.897542
54000,15.7031,5.502199,0.052647,0.006391,2.827751
56000,15.7031,5.502199,0.052647,0.006391,2.867269
58000,15.7031,5.502199,0.052647,0.006391,3.029289
60000,15.7031,5.502199,0.052647,0.006391,2.792163
62000,15.7031,5.502199,0.052647,0.006391,2.763906
64000,15.7031,5.502199,0.052647,0.006391,2.793982
66000,15.7031,5.502199,0.052647,0.006391,2.931839
68000,15.7031,5.502199,0.052647,0.006391,2.859432
70000,15.7031,5.502199,0.052647,0.006391,2.913194
72000,15.7031,5.502199,0.052647,0.006391,2.805238
74000,15.7031,5.502199,0.052647,0.006391,2.677446
76000,15.7031,5.502199,0.052647,0.006391,2.953478
78000,15.7031,5.502199,0.052647,0.006391,2.888577
80000,15.7031,5.502199,0.052647,0.006391,2.867547
82000,15.7031,5.502199,0.052647,0.006391,2.829276
84000,15.7031,5.502199,0.052647,0.006391,2.896984
86000,15.7031,5.502199,0.052647,0.006391,2.742115
88000,15.7031,5.502199,0.052647,0.006391,2.815281
90000,15.7031,5.502199,0.052647,0.006391,2.954752
92000,15.7031,5.502199,0.052647,0.006391,2.830482
94000,15.7031,5.502199,0.052647,0.006391,2.845548
96000,15.7031,5.502199,0.052647,0.006391,2.992502
98000,15.7031,5.502199,0.052647,0.006391,2.617589
100000,15.7031,5.502199,0.052647,0.006391,2.825213
102000,15.7031,5.502199,0.052647,0.006391,2.956981
104000,15.7031,5.502199,0.052647,0.006391,2.907247
106000,15.7031,5.502199,0.052647,0.006391,2.885819
108000,15.7031,5.502199,0.052647,0.006391,3.137246
110000,15.7031,5.502199,0.052647,0.006391,2.877415
112000,15.7031,5.502199,0.052647,0.006391,2.942934
114000,15.7031,5.502199,0.052647,0.006391,2.864533
116000,15.7031,5.502199,0.052647,0.006391,2.885084
118000,15.7031,5.502199,0.052647,0.006391,2.895405
120000,15.7031,5.502199,0.052647,0.006391,2.974872
122000,15.7031,5.502199,0.052647,0.006391,2.986592
124000,15.7031,5.502199,0.052647,0.006391,2.972900
126000,15.7031,5.502199,0.052647,0.006391,2.911735
128000,15.7031,5.502199,0.052647,0.006391,2.963008
130000,15.7031,5.502199,0.052647,0.006391,2.932141
132000,15.7031,5.502199,0.052647,0.006391,2.900936
134000,15.7031,5.502199,0.052647,0.006391,2.841885
136000,15.7031,5.502199,0.052647,0.006391,2.871453
138000,15.7031,5.502199,0.052647,0.006391,2.830465
140000,15.7031,5.502199,0.052647,0.006391,2.914629
142000,15.7031,5.502199,0.052647,0.006391,2.828699
144000,15.7031,5.502199,0.052647,0.006391,2.850036
146000,15.7031,5.502199,0.052647,0.006391,2.688886
148000,15.7031,5.502199,0.052647,0.006391,2.884811
150000,15.7031,5.502199,0.052647,0.006391,2.849018
152000,15.7031,5.502199,0.052647,0.006391,2.920770
154000,15.7031,5.502199,0.052647,0.006391,2.831895
156000,15.7031,5.502199,0.052647,0.006391,2.942244
158000,15.7031,5.502199,0.052647,0.006391,3.137690
160000,15.7031,5.502199,0.052647,0.006391,2.825016
162000,15.7031,5.502199,0.052647,0.006391,2.905589
164000,15.7031,5.502199,0.052647,0.006391,2.948884
166000,15.7031,5.502199,0.052647,0.006391,2.776955
168000,15.7031,5.502199,0.052647,0.006391,2.769360
170000,15.7031,5.502199,0.052647,0.006391,2.867580
172000,15.7031,5.502199,0.052647,0.006391,2.811487
174000,15.7031,5.502199,0.052647,0.006391,2.707168
176000,15.7031,5.502199,0.052647,0.006391,2.970985
178000,15.7031,5.502199,0.052647,0.006391,2.812348
180000,15.7031,5.502199,0.052647,0.006391,2.825153
182000,15.7031,5.502199,0.052647,0.006391,2.750169
184000,15.7031,5.502199,0.052647,0.006391,2.920221
186000,15.7031,5.502199,0.052647,0.006391,2.817488
188000,15.7031,5.502199,0.052647,0.006391,2.443101
190000,15.7031,5.502199,0.052647,0.006391,2.836395
192000,15.7031,5.502199,0.052647,0.006391,2.748700
194000,15.7031,5.502199,0.052647,0.006391,2.979844
196000,15.7031,5.502199,0.052647,0.006391,2.627716
198000,15.7031,5.502199,0.052647,0.006391,2.698117
200000,15.7031,5.502199,0.052647,0.006391,2.646568
202000,15.7031,5.502199,0.052647,0.006391,2.647316
204000,15.7031,5.502199,0.052647,0.006391,2.723843
206000,15.7031,5.502199,0.052647,0.006391,2.693929
208000,15.7031,5.502199,0.052647,0.006391,2.997887
210000,15.7031,5.502199,0.052647,0.006391,2.701935
212000,15.7031,5.502199,0.052647,0.006391,3.066357
214000,15.7031,5.502199,0.052647,0.006391,2.954998
216000,15.7031,5.502199,0.052647,0.006391,2.882507
218000,15.7031,5.502199,0.052647,0.006391,2.924576
220000,15.7031,5.502199,0.052647,0.006391,2.954786
222000,15.7031,5.502199,0.052647,0.006391,2.883811
224000,15.7031,5.502199,0.052647,0.006391,2.966894
226000,15.7031,5.502199,0.052647,0.006391,3.002712
228000,15.7031,5.502199,0.052647,0.006391,2.969516
230000,15.7031,5.502199,0.052647,0.006391,3.022069
232000,15.7031,5.502199,0.052647,0.006391,3.022790
234000,15.7031,5.502199,0.052647,0.006391,3.002090
236000,15.7031,5.502199,0.052647,0.006391,3.019902
238000,15.7031,5.502199,0.052647,0.006391,3.072533
240000,15.7031,5.502199,0.052647,0.006391,2.972760
242000,15.7031,5.502199,0.052647,0.006391,3.029415
244000,15.7031,5.502199,0.052647,0.006391,3.008612
246000,15.7031,5.502199,0.052647,0.006391,3.069430
248000,15.7031,5.502199,0.052647,0.006391,3.004456
250000,15.7031,5.502199,0.052647,0.006391,3.023793
252000,15.7031,5.502199,0.052647,0.006391,3.058373
254000,15.7031,5.502199,0.052647,0.006391,3.054475
256000,15.7031,5.502199,0.052647,0.006391,2.999006
258000,15.7031,5.502199,0.052647,0.006391,3.175035
260000,15.7031,5.502199,0.052647,0.006391,2.806601
262000,15.7031,5.502199,0.052647,0.006391,2.755574
264000,15.7031,5.502199,0.052647,0.006391,2.804060
266000,15.7031,5.502199,0.052647,0.006391,2.808357
268000,15.7031,5.502199,0.052647,0.006391,2.865131
270000,15.7031,5.502199,0.052647,0.006391,2.863982
