Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,15.7031,5.502199,0.052647,0.006391,2.830708
1002000,15.7031,5.502199,0.052647,0.006391,2.946683
1004000,15.7031,5.502199,0.052647,0.006391,3.056818
1006000,15.7031,5.502199,0.052647,0.006391,3.280358
1008000,15.7031,5.502199,0.052647,0.006391,3.528566
1010000,15.7031,5.502199,0.052647,0.006391,3.453297
1012000,15.7031,5.502199,0.052647,0.006391,3.120095
1014000,15.7031,5.502199,0.052647,0.006391,3.079476
1016000,15.7031,5.502199,0.052647,0.006391,3.152746
1018000,15.7031,5.502199,0.052647,0.006391,3.030949
1020000,15.7031,5.502199,0.052647,0.006391,3.020257
1022000,15.7031,5.502199,0.052647,0.006391,3.099618
1024000,15.7031,5.502199,0.052647,0.006391,3.020768
1026000,15.7031,5.502199,0.052647,0.006391,2.990001
1028000,15.7031,5.502199,0.052647,0.006391,3.010234
1030000,15.7031,5.502199,0.052647,0.006391,2.940648
1032000,15.7031,5.502199,0.052647,0.006391,3.022713
1034000,15.7031,5.502199,0.052647,0.006391,2.938136
1036000,15.7031,5.502199,0.052647,0.006391,2.903023
1038000,15.7031,5.502199,0.052647,0.006391,3.036287
1040000,15.7031,5.502199,0.052647,0.006391,2.907654
1042000,15.7031,5.502199,0.052647,0.006391,3.068955
1044000,15.7031,5.502199,0.052647,0.006391,2.920867
1046000,15.7031,5.502199,0.052647,0.006391,3.055659
1048000,15.7031,5.502199,0.052647,0.006391,3.218686
1050000,15.7031,5.502199,0.052647,0.006391,3.096757
1052000,15.7031,5.502199,0.052647,0.006391,3.070619
1054000,15.7031,5.502199,0.052647,0.006391,3.046450
1056000,15.7031,5.502199,0.052647,0.006391,3.014136
1058000,15.7031,5.502199,0.052647,0.006391,3.104068
1060000,15.7031,5.502199,0.052647,0.006391,3.031125
1062000,15.7031,5.502199,0.052647,0.006391,2.973209
1064000,15.7031,5.502199,0.052647,0.006391,3.051397
1066000,15.7031,5.502199,0.052647,0.006391,3.030116
1068000,15.7031,5.502199,0.052647,0.006391,3.147619
1070000,15.7031,5.502199,0.052647,0.006391,3.320467
1072000,15.7031,5.502199,0.052647,0.006391,3.349123
1074000,15.7031,5.502199,0.052647,0.006391,3.333181
1076000,15.7031,5.502199,0.052647,0.006391,3.290618
1078000,15.7031,5.502199,0.052647,0.006391,3.191484
1080000,15.7031,5.502199,0.052647,0.006391,3.240496
1082000,15.7031,5.502199,0.052647,0.006391,3.336038
1084000,15.7031,5.502199,0.052647,0.006391,3.250238
1086000,15.7031,5.502199,0.052647,0.006391,3.367517
1088000,15.7031,5.502199,0.052647,0.006391,3.321336
1090000,15.7031,5.502199,0.052647,0.006391,3.246895
1092000,15.7031,5.502199,0.052647,0.006391,3.675402
1094000,15.7031,5.502199,0.052647,0.006391,3.552724
1096000,15.7031,5.502199,0.052647,0.006391,3.652438
1098000,15.7031,5.502199,0.052647,0.006391,3.711962
1100000,15.7031,5.502199,0.052647,0.006391,3.762002
1102000,15.7031,5.502199,0.052647,0.006391,3.552080
1104000,15.7031,5.502199,0.052647,0.006391,3.244423
1106000,15.7031,5.502199,0.052647,0.006391,3.638782
1108000,15.7031,5.502199,0.052647,0.006391,3.391465
1110000,15.7031,5.502199,0.052647,0.006391,3.071902
1112000,15.7031,5.502199,0.052647,0.006391,3.604019
1114000,15.7031,5.502199,0.052647,0.006391,3.203472
1116000,15.7031,5.502199,0.052647,0.006391,3.779944
1118000,15.7031,5.502199,0.052647,0.006391,3.679312
1120000,15.7031,5.502199,0.052647,0.006391,3.592840
1122000,15.7031,5.502199,0.052647,0.006391,3.406139
1124000,15.7031,5.502199,0.052647,0.006391,3.343082
1126000,15.7031,5.502199,0.052647,0.006391,3.296192
1128000,15.7031,5.502199,0.052647,0.006391,3.513626
1130000,15.7031,5.502199,0.052647,0.006391,3.396642
1132000,15.7031,5.502199,0.052647,0.006391,3.299649
1134000,15.7031,5.502199,0.052647,0.006391,3.629797
1136000,15.7031,5.502199,0.052647,0.006391,3.548977
1138000,15.7031,5.502199,0.052647,0.006391,3.644459
1140000,15.7031,5.502199,0.052647,0.006391,3.617068
1142000,15.7031,5.502199,0.052647,0.006391,3.632524
1144000,15.7031,5.502199,0.052647,0.006391,3.476548
1146000,15.7031,5.502199,0.052647,0.006391,3.633567
1148000,15.7031,5.502199,0.052647,0.006391,3.475338
1150000,15.7031,5.502199,0.052647,0.006391,3.595783
1152000,15.7031,5.502199,0.052647,0.006391,3.599440
1154000,15.7031,5.502199,0.052647,0.006391,3.514368
1156000,15.7031,5.502199,0.052647,0.006391,3.606161
1158000,15.7031,5.502199,0.052647,0.006391,3.553644
1160000,15.7031,5.502199,0.052647,0.006391,3.755401
1162000,15.7031,5.502199,0.052647,0.006391,3.978915
1164000,15.7031,5.502199,0.052647,0.006391,4.398314
1166000,15.7031,5.502199,0.052647,0.006391,4.242898
1168000,15.7031,5.502199,0.052647,0.006391,3.860538
1170000,15.7031,5.502199,0.052647,0.006391,4.061371
1172000,15.7031,5.502199,0.052647,0.006391,3.444224
1174000,15.7031,5.502199,0.052647,0.006391,4.301066
1176000,15.7031,5.502199,0.052647,0.006391,4.085864
1178000,15.7031,5.502199,0.052647,0.006391,3.569045
1180000,15.7031,5.502199,0.052647,0.006391,4.072475
1182000,15.7031,5.502199,0.052647,0.006391,3.850972
1184000,15.7031,5.502199,0.052647,0.006391,4.375599
1186000,15.7031,5.502199,0.052647,0.006391,4.225684
1188000,15.7031,5.502199,0.052647,0.006391,4.624892
1190000,15.7031,5.502199,0.052647,0.006391,4.286155
1192000,15.7031,5.502199,0.052647,0.006391,4.310690
1194000,15.7031,5.502199,0.052647,0.006391,4.381571
1196000,15.7031,5.502199,0.052647,0.006391,4.256582
1198000,15.7031,5.502199,0.052647,0.006391,3.936715
1200000,15.7031,5.502199,0.052647,0.006391,3.814822
1202000,15.7031,5.502199,0.052647,0.006391,3.812173
1204000,15.7031,5.502199,0.052647,0.006391,4.303710
1206000,15.7031,5.502199,0.052647,0.006391,3.605275
1208000,15.7031,5.502199,0.052647,0.006391,4.081741
