Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,0.0324,0.013523,0.002678,0.000431,0.226440
1002000,0.0324,0.013523,0.002678,0.000431,0.205571
1004000,0.0324,0.013523,0.002678,0.000431,0.230426
1006000,0.0324,0.013523,0.002678,0.000431,0.268675
1008000,0.0324,0.013523,0.002678,0.000431,0.275652
1010000,0.0324,0.013523,0.002678,0.000431,0.260639
1012000,0.0324,0.013523,0.002678,0.000431,0.239397
1014000,0.0324,0.013523,0.002678,0.000431,0.237466
1016000,0.0324,0.013523,0.002678,0.000431,0.230177
1018000,0.0324,0.013523,0.002678,0.000431,0.223076
1020000,0.0324,0.013523,0.002678,0.000431,0.227623
1022000,0.0324,0.013523,0.002678,0.000431,0.216223
1024000,0.0324,0.013523,0.002678,0.000431,0.221145
1026000,0.0324,0.013523,0.002678,0.000431,0.212361
1028000,0.0324,0.013523,0.002678,0.000431,0.202456
1030000,0.0324,0.013523,0.002678,0.000431,0.203328
1032000,0.0324,0.013523,0.002678,0.000431,0.207502
1034000,0.0324,0.013523,0.002678,0.000431,0.204387
1036000,0.0324,0.013523,0.002678,0.000431,0.202768
1038000,0.0324,0.013523,0.002678,0.000431,0.201896
1040000,0.0324,0.013523,0.002678,0.000431,0.199279
1042000,0.0324,0.013523,0.002678,0.000431,0.212050
1044000,0.0324,0.013523,0.002678,0.000431,0.197597
1046000,0.0324,0.013523,0.002678,0.000431,0.213545
1048000,0.0324,0.013523,0.002678,0.000431,0.214666
1050000,0.0324,0.013523,0.002678,0.000431,0.214915
1052000,0.0324,0.013523,0.002678,0.000431,0.212797
1054000,0.0324,0.013523,0.002678,0.000431,0.212361
1056000,0.0324,0.013523,0.002678,0.000431,0.208374
1058000,0.0324,0.013523,0.002678,0.000431,0.227374
1060000,0.0324,0.013523,0.002678,0.000431,0.220833
1062000,0.0324,0.013523,0.002678,0.000431,0.208623
1064000,0.0324,0.013523,0.002678,0.000431,0.215912
1066000,0.0324,0.013523,0.002678,0.000431,0.219213
1068000,0.0324,0.013523,0.002678,0.000431,0.234164
1070000,0.0324,0.013523,0.002678,0.000431,0.234912
1072000,0.0324,0.013523,0.002678,0.000431,0.243384
1074000,0.0324,0.013523,0.002678,0.000431,0.232482
1076000,0.0324,0.013523,0.002678,0.000431,0.256964
1078000,0.0324,0.013523,0.002678,0.000431,0.234912
1080000,0.0324,0.013523,0.002678,0.000431,0.237216
1082000,0.0324,0.013523,0.002678,0.000431,0.247370
1084000,0.0324,0.013523,0.002678,0.000431,0.237777
1086000,0.0324,0.013523,0.002678,0.000431,0.242200
1088000,0.0324,0.013523,0.002678,0.000431,0.255780
1090000,0.0324,0.013523,0.002678,0.000431,0.261698
1092000,0.0324,0.013523,0.002678,0.000431,0.299324
1094000,0.0324,0.013523,0.002678,0.000431,0.254410
1096000,0.0324,0.013523,0.002678,0.000431,0.300570
1098000,0.0324,0.013523,0.002678,0.000431,0.285744
1100000,0.0324,0.013523,0.002678,0.000431,0.300134
1102000,0.0324,0.013523,0.002678,0.000431,0.256403
1104000,0.0324,0.013523,0.002678,0.000431,0.264501
1106000,0.0324,0.013523,0.002678,0.000431,0.293468
1108000,0.0324,0.013523,0.002678,0.000431,0.279016
1110000,0.0324,0.013523,0.002678,0.000431,0.287986
1112000,0.0324,0.013523,0.002678,0.000431,0.321812
1114000,0.0324,0.013523,0.002678,0.000431,0.298701
1116000,0.0324,0.013523,0.002678,0.000431,0.310288
1118000,0.0324,0.013523,0.002678,0.000431,0.291662
1120000,0.0324,0.013523,0.002678,0.000431,0.270170
1122000,0.0324,0.013523,0.002678,0.000431,0.235908
1124000,0.0324,0.013523,0.002678,0.000431,0.255406
1126000,0.0324,0.013523,0.002678,0.000431,0.236594
1128000,0.0324,0.013523,0.002678,0.000431,0.253974
1130000,0.0324,0.013523,0.002678,0.000431,0.255842
1132000,0.0324,0.013523,0.002678,0.000431,0.248180
1134000,0.0324,0.013523,0.002678,0.000431,0.261449
1136000,0.0324,0.013523,0.002678,0.000431,0.273908
1138000,0.0324,0.013523,0.002678,0.000431,0.258397
1140000,0.0324,0.013523,0.002678,0.000431,0.275839
1142000,0.0324,0.013523,0.002678,0.000431,0.274095
1144000,0.0324,0.013523,0.002678,0.000431,0.252229
1146000,0.0324,0.013523,0.002678,0.000431,0.258770
1148000,0.0324,0.013523,0.002678,0.000431,0.249488
1150000,0.0324,0.013523,0.002678,0.000431,0.258085
1152000,0.0324,0.013523,0.002678,0.000431,0.257898
1154000,0.0324,0.013523,0.002678,0.000431,0.233105
1156000,0.0324,0.013523,0.002678,0.000431,0.259642
1158000,0.0324,0.013523,0.002678,0.000431,0.255095
1160000,0.0324,0.013523,0.002678,0.000431,0.271852
1162000,0.0324,0.013523,0.002678,0.000431,0.310225
1164000,0.0324,0.013523,0.002678,0.000431,0.345484
1166000,0.0324,0.013523,0.002678,0.000431,0.331094
1168000,0.0324,0.013523,0.002678,0.000431,0.321625
1170000,0.0324,0.013523,0.002678,0.000431,0.289917
1172000,0.0324,0.013523,0.002678,0.000431,0.311471
1174000,0.0324,0.013523,0.002678,0.000431,0.343802
1176000,0.0324,0.013523,0.002678,0.000431,0.328602
1178000,0.0324,0.013523,0.002678,0.000431,0.314835
1180000,0.0324,0.013523,0.002678,0.000431,0.358441
1182000,0.0324,0.013523,0.002678,0.000431,0.335018
1184000,0.0324,0.013523,0.002678,0.000431,0.444719
1186000,0.0324,0.013523,0.002678,0.000431,0.363113
1188000,0.0324,0.013523,0.002678,0.000431,0.359749
1190000,0.0324,0.013523,0.002678,0.000431,0.339566
1192000,0.0324,0.013523,0.002678,0.000431,0.326173
1194000,0.0324,0.013523,0.002678,0.000431,0.355825
1196000,0.0324,0.013523,0.002678,0.000431,0.335579
1198000,0.0324,0.013523,0.002678,0.000431,0.328041
1200000,0.0324,0.013523,0.002678,0.000431,0.337635
1202000,0.0324,0.013523,0.002678,0.000431,0.348287
1204000,0.0324,0.013523,0.002678,0.000431,0.362490
1206000,0.0324,0.013523,0.002678,0.000431,0.318324
1208000,0.0324,0.013523,0.002678,0.000431,0.350343
1210000,0.0324,0.013523,0.002678,0.000431,0.325425
1212000,0.0324,0.013523,0.002678,0.000431,0.351402
1214000,0.0324,0.013523,0.002678,0.000431,0.337323
1216000,0.0324,0.013523,0.002678,0.000431,0.323619
1218000,0.0324,0.013523,0.002678,0.000431,0.325737
1220000,0.0324,0.013523,0.002678,0.000431,0.304619
1222000,0.0324,0.013523,0.002678,0.000431,0.291475
1224000,0.0324,0.013523,0.002678,0.000431,0.276400
1226000,0.0324,0.013523,0.002678,0.000431,0.212673
1228000,0.0324,0.013523,0.002678,0.000431,0.268177
1230000,0.0324,0.013523,0.002678,0.000431,0.206443
1232000,0.0324,0.013523,0.002678,0.000431,0.318012
1234000,0.0324,0.013523,0.002678,0.000431,0.319632
1236000,0.0324,0.013523,0.002678,0.000431,0.338507
1238000,0.0324,0.013523,0.002678,0.000431,0.314337
1240000,0.0324,0.013523,0.002678,0.000431,0.297330
1242000,0.0324,0.013523,0.002678,0.000431,0.284996
1244000,0.0324,0.013523,0.002678,0.000431,0.261449
1246000,0.0324,0.013523,0.002678,0.000431,0.260577
1248000,0.0324,0.013523,0.002678,0.000431,0.277832
1250000,0.0324,0.013523,0.002678,0.000431,0.325425
1252000,0.0324,0.013523,0.002678,0.000431,0.283563
1254000,0.0324,0.013523,0.002678,0.000431,0.272101
1256000,0.0324,0.013523,0.002678,0.000431,0.264501
1258000,0.0324,0.013523,0.002678,0.000431,0.222889
1260000,0.0324,0.013523,0.002678,0.000431,0.233915
1262000,0.0324,0.013523,0.002678,0.000431,0.304494
1264000,0.0324,0.013523,0.002678,0.000431,0.287176
1266000,0.0324,0.013523,0.002678,0.000431,0.272101
1268000,0.0324,0.013523,0.002678,0.000431,0.309602
1270000,0.0324,0.013523,0.002678,0.000431,0.268924
1272000,0.0324,0.013523,0.002678,0.000431,0.269173
1274000,0.0324,0.013523,0.002678,0.000431,0.239459
1276000,0.0324,0.013523,0.002678,0.000431,0.204637
1278000,0.0324,0.013523,0.002678,0.000431,0.280386
1280000,0.0324,0.013523,0.002678,0.000431,0.234039
1282000,0.0324,0.013523,0.002678,0.000431,0.230613
1284000,0.0324,0.013523,0.002678,0.000431,0.264626
1286000,0.0324,0.013523,0.002678,0.000431,0.204263
1288000,0.0324,0.013523,0.002678,0.000431,0.315894
1290000,0.0324,0.013523,0.002678,0.000431,0.241826
1292000,0.0324,0.013523,0.002678,0.000431,0.240705
1294000,0.0324,0.013523,0.002678,0.000431,0.229305
1296000,0.0324,0.013523,0.002678,0.000431,0.211676
1298000,0.0324,0.013523,0.002678,0.000431,0.270295
1300000,0.0324,0.013523,0.002678,0.000431,0.218964
1302000,0.0324,0.013523,0.002678,0.000431,0.244380
1304000,0.0324,0.013523,0.002678,0.000431,0.237528
1306000,0.0324,0.013523,0.002678,0.000431,0.254410
1308000,0.0324,0.013523,0.002678,0.000431,0.249302
1310000,0.0324,0.013523,0.002678,0.000431,0.260265
1312000,0.0324,0.013523,0.002678,0.000431,0.206381
1314000,0.0324,0.013523,0.002678,0.000431,0.274219
1316000,0.0324,0.013523,0.002678,0.000431,0.188627
1318000,0.0324,0.013523,0.002678,0.000431,0.267055
1320000,0.0324,0.013523,0.002678,0.000431,0.220210
1322000,0.0324,0.013523,0.002678,0.000431,0.240456
1324000,0.0324,0.013523,0.002678,0.000431,0.232108
1326000,0.0324,0.013523,0.002678,0.000431,0.235908
1328000,0.0324,0.013523,0.002678,0.000431,0.243197
1330000,0.0324,0.013523,0.002678,0.000431,0.231236
1332000,0.0324,0.013523,0.002678,0.000431,0.224135
1334000,0.0324,0.013523,0.002678,0.000431,0.265249
1336000,0.0324,0.013523,0.002678,0.000431,0.236843
1338000,0.0324,0.013523,0.002678,0.000431,0.248429
1340000,0.0324,0.013523,0.002678,0.000431,0.230115
1342000,0.0324,0.013523,0.002678,0.000431,0.225007
1344000,0.0324,0.013523,0.002678,0.000431,0.255282
1346000,0.0324,0.013523,0.002678,0.000431,0.216099
1348000,0.0324,0.013523,0.002678,0.000431,0.256590
1350000,0.0324,0.013523,0.002678,0.000431,0.213358
1352000,0.0324,0.013523,0.002678,0.000431,0.244879
