Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.411239
1002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.050759
1004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.537949
1006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.151852
1008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,6.167729
1010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.640398
1012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.461128
1014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.092196
1016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.503499
1018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.150582
1020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.299252
1022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.205956
1024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.084289
1026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,5.003757
1028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.817086
1030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.579978
1032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.776695
1034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.567204
1036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.501053
1038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.509290
1040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.458353
1042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.689712
1044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.443630
1046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.689637
1048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.900336
1050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.522217
1052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.706666
1054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.488046
1056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.411030
1058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.730831
1060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.566501
1062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.373333
1064000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.645773
1066000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.755661
1068000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,4.914611
