Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,1.3415,0.039994,0.023482,0.002970,0.000445
4000,1.3415,0.039994,0.023482,0.002970,0.000000
6000,1.3415,0.039994,0.023482,0.002970,0.013211
8000,1.3415,0.039994,0.023482,0.002970,0.011348
10000,1.3415,0.039994,0.023482,0.002970,0.014700
12000,1.3415,0.039994,0.023482,0.002970,0.014401
14000,1.3415,0.039994,0.023482,0.002970,0.014392
16000,1.3415,0.039994,0.023482,0.002970,0.011317
18000,1.3415,0.039994,0.023482,0.002970,0.014868
20000,1.3415,0.039994,0.023482,0.002970,0.013696
22000,1.3415,0.039994,0.023482,0.002970,0.011802
24000,1.3415,0.039994,0.023482,0.002970,0.014195
26000,1.3415,0.039994,0.023482,0.002970,0.014254
28000,1.3415,0.039994,0.023482,0.002970,0.011519
30000,1.3415,0.039994,0.023482,0.002970,0.014210
32000,1.3415,0.039994,0.023482,0.002970,0.013740
34000,1.3415,0.039994,0.023482,0.002970,0.013103
36000,1.3415,0.039994,0.023482,0.002970,0.012705
38000,1.3415,0.039994,0.023482,0.002970,0.014503
40000,1.3415,0.039994,0.023482,0.002970,0.014185
42000,1.3415,0.039994,0.023482,0.002970,0.011474
44000,1.3415,0.039994,0.023482,0.002970,0.014283
46000,1.3415,0.039994,0.023482,0.002970,0.013787
48000,1.3415,0.039994,0.023482,0.002970,0.011922
50000,1.3415,0.039994,0.023482,0.002970,0.013817
52000,1.3415,0.039994,0.023482,0.002970,0.014538
54000,1.3415,0.039994,0.023482,0.002970,0.011039
56000,1.3415,0.039994,0.023482,0.002970,0.014520
58000,1.3415,0.039994,0.023482,0.002970,0.013844
60000,1.3415,0.039994,0.023482,0.002970,0.013122
62000,1.3415,0.039994,0.023482,0.002970,0.012591
64000,1.3415,0.039994,0.023482,0.002970,0.014353
66000,1.3415,0.039994,0.023482,0.002970,0.014174
68000,1.3415,0.039994,0.023482,0.002970,0.011272
70000,1.3415,0.039994,0.023482,0.002970,0.014432
72000,1.3415,0.039994,0.023482,0.002970,0.013847
74000,1.3415,0.039994,0.023482,0.002970,0.011926
76000,1.3415,0.039994,0.023482,0.002970,0.013731
78000,1.3415,0.039994,0.023482,0.002970,0.014668
80000,1.3415,0.039994,0.023482,0.002970,0.010964
82000,1.3415,0.039994,0.023482,0.002970,0.014589
84000,1.3415,0.039994,0.023482,0.002970,0.013924
86000,1.3415,0.039994,0.023482,0.002970,0.013489
88000,1.3415,0.039994,0.023482,0.002970,0.012315
90000,1.3415,0.039994,0.023482,0.002970,0.014173
92000,1.3415,0.039994,0.023482,0.002970,0.014313
94000,1.3415,0.039994,0.023482,0.002970,0.011555
96000,1.3415,0.039994,0.023482,0.002970,0.014488
98000,1.3415,0.039994,0.023482,0.002970,0.014001
100000,1.3415,0.039994,0.023482,0.002970,0.011629
102000,1.3415,0.039994,0.023482,0.002970,0.014034
104000,1.3415,0.039994,0.023482,0.002970,0.014241
106000,1.3415,0.039994,0.023482,0.002970,0.011872
108000,1.3415,0.039994,0.023482,0.002970,0.013817
110000,1.3415,0.039994,0.023482,0.002970,0.014315
112000,1.3415,0.039994,0.023482,0.002970,0.013220
114000,1.3415,0.039994,0.023482,0.002970,0.012532
