Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,8.6440,0.261844,0.058609,0.079322,0.232566
4000,8.6440,0.261844,0.058609,0.079322,0.000000
6000,8.6440,0.261844,0.058609,0.079322,0.116397
8000,8.6440,0.261844,0.058609,0.079322,0.212042
10000,8.6440,0.261844,0.058609,0.079322,0.224488
12000,8.6440,0.261844,0.058609,0.079322,0.220784
14000,8.6440,0.261844,0.058609,0.079322,0.219680
16000,8.6440,0.261844,0.058609,0.079322,0.237976
18000,8.6440,0.261844,0.058609,0.079322,0.215796
20000,8.6440,0.261844,0.058609,0.079322,0.218245
22000,8.6440,0.261844,0.058609,0.079322,0.239434
24000,8.6440,0.261844,0.058609,0.079322,0.213403
26000,8.6440,0.261844,0.058609,0.079322,0.220622
28000,8.6440,0.261844,0.058609,0.079322,0.232648
30000,8.6440,0.261844,0.058609,0.079322,0.220106
32000,8.6440,0.261844,0.058609,0.079322,0.220720
34000,8.6440,0.261844,0.058609,0.079322,0.223298
36000,8.6440,0.261844,0.058609,0.079322,0.222423
38000,8.6440,0.261844,0.058609,0.079322,0.227754
40000,8.6440,0.261844,0.058609,0.079322,0.219986
42000,8.6440,0.261844,0.058609,0.079322,0.226544
44000,8.6440,0.261844,0.058609,0.079322,0.226945
46000,8.6440,0.261844,0.058609,0.079322,0.219560
48000,8.6440,0.261844,0.058609,0.079322,0.218108
50000,8.6440,0.261844,0.058609,0.079322,0.235806
52000,8.6440,0.261844,0.058609,0.079322,0.219549
54000,8.6440,0.261844,0.058609,0.079322,0.214477
56000,8.6440,0.261844,0.058609,0.079322,0.239449
58000,8.6440,0.261844,0.058609,0.079322,0.213422
60000,8.6440,0.261844,0.058609,0.079322,0.220603
62000,8.6440,0.261844,0.058609,0.079322,0.233925
64000,8.6440,0.261844,0.058609,0.079322,0.216354
66000,8.6440,0.261844,0.058609,0.079322,0.223196
68000,8.6440,0.261844,0.058609,0.079322,0.224537
70000,8.6440,0.261844,0.058609,0.079322,0.224491
72000,8.6440,0.261844,0.058609,0.079322,0.224447
74000,8.6440,0.261844,0.058609,0.079322,0.223728
76000,8.6440,0.261844,0.058609,0.079322,0.221540
78000,8.6440,0.261844,0.058609,0.079322,0.228207
80000,8.6440,0.261844,0.058609,0.079322,0.208456
82000,8.6440,0.261844,0.058609,0.079322,0.225520
84000,8.6440,0.261844,0.058609,0.079322,0.239498
86000,8.6440,0.261844,0.058609,0.079322,0.208430
88000,8.6440,0.261844,0.058609,0.079322,0.225596
90000,8.6440,0.261844,0.058609,0.079322,0.234494
92000,8.6440,0.261844,0.058609,0.079322,0.213294
94000,8.6440,0.261844,0.058609,0.079322,0.225686
96000,8.6440,0.261844,0.058609,0.079322,0.231449
98000,8.6440,0.261844,0.058609,0.079322,0.211430
100000,8.6440,0.261844,0.058609,0.079322,0.230596
102000,8.6440,0.261844,0.058609,0.079322,0.217039
104000,8.6440,0.261844,0.058609,0.079322,0.223655
106000,8.6440,0.261844,0.058609,0.079322,0.232780
108000,8.6440,0.261844,0.058609,0.079322,0.212171
110000,8.6440,0.261844,0.058609,0.079322,0.228191
112000,8.6440,0.261844,0.058609,0.079322,0.230735
114000,8.6440,0.261844,0.058609,0.079322,0.214537
116000,8.6440,0.261844,0.058609,0.079322,0.221809
118000,8.6440,0.261844,0.058609,0.079322,0.237034
120000,8.6440,0.261844,0.058609,0.079322,0.208324
122000,8.6440,0.261844,0.058609,0.079322,0.228173
124000,8.6440,0.261844,0.058609,0.079322,0.235741
126000,8.6440,0.261844,0.058609,0.079322,0.207043
128000,8.6440,0.261844,0.058609,0.079322,0.230690
130000,8.6440,0.261844,0.058609,0.079322,0.225846
132000,8.6440,0.261844,0.058609,0.079322,0.215703
134000,8.6440,0.261844,0.058609,0.079322,0.231926
136000,8.6440,0.261844,0.058609,0.079322,0.217047
138000,8.6440,0.261844,0.058609,0.079322,0.224596
140000,8.6440,0.261844,0.058609,0.079322,0.231831
142000,8.6440,0.261844,0.058609,0.079322,0.197164
