Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,0.2191,0.065854,0.000377,0.000034,0.067204
4000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.060978
8000,0.2191,0.065854,0.000377,0.000034,0.077686
10000,0.2191,0.065854,0.000377,0.000034,0.079747
12000,0.2191,0.065854,0.000377,0.000034,0.079117
14000,0.2191,0.065854,0.000377,0.000034,0.078966
16000,0.2191,0.065854,0.000377,0.000034,0.082242
18000,0.2191,0.065854,0.000377,0.000034,0.078229
20000,0.2191,0.065854,0.000377,0.000034,0.078630
22000,0.2191,0.065854,0.000377,0.000034,0.082579
24000,0.2191,0.065854,0.000377,0.000034,0.077783
26000,0.2191,0.065854,0.000377,0.000034,0.079066
28000,0.2191,0.065854,0.000377,0.000034,0.081378
30000,0.2191,0.065854,0.000377,0.000034,0.079043
32000,0.2191,0.065854,0.000377,0.000034,0.079071
34000,0.2191,0.065854,0.000377,0.000034,0.079564
36000,0.2191,0.065854,0.000377,0.000034,0.079511
38000,0.2191,0.065854,0.000377,0.000034,0.080358
40000,0.2191,0.065854,0.000377,0.000034,0.078945
42000,0.2191,0.065854,0.000377,0.000034,0.080295
44000,0.2191,0.065854,0.000377,0.000034,0.080189
46000,0.2191,0.065854,0.000377,0.000034,0.078894
48000,0.2191,0.065854,0.000377,0.000034,0.078716
50000,0.2191,0.065854,0.000377,0.000034,0.081822
52000,0.2191,0.065854,0.000377,0.000034,0.078892
54000,0.2191,0.065854,0.000377,0.000034,0.077962
56000,0.2191,0.065854,0.000377,0.000034,0.082578
58000,0.2191,0.065854,0.000377,0.000034,0.077792
60000,0.2191,0.065854,0.000377,0.000034,0.079052
62000,0.2191,0.065854,0.000377,0.000034,0.081500
64000,0.2191,0.065854,0.000377,0.000034,0.078411
66000,0.2191,0.065854,0.000377,0.000034,0.079516
68000,0.2191,0.065854,0.000377,0.000034,0.079787
70000,0.2191,0.065854,0.000377,0.000034,0.079904
72000,0.2191,0.065854,0.000377,0.000034,0.079742
74000,0.2191,0.065854,0.000377,0.000034,0.079612
76000,0.2191,0.065854,0.000377,0.000034,0.079403
78000,0.2191,0.065854,0.000377,0.000034,0.080412
80000,0.2191,0.065854,0.000377,0.000034,0.076901
82000,0.2191,0.065854,0.000377,0.000034,0.079987
84000,0.2191,0.065854,0.000377,0.000034,0.082543
86000,0.2191,0.065854,0.000377,0.000034,0.076888
88000,0.2191,0.065854,0.000377,0.000034,0.079957
90000,0.2191,0.065854,0.000377,0.000034,0.081699
92000,0.2191,0.065854,0.000377,0.000034,0.077763
94000,0.2191,0.065854,0.000377,0.000034,0.079962
96000,0.2191,0.065854,0.000377,0.000034,0.081125
98000,0.2191,0.065854,0.000377,0.000034,0.077463
100000,0.2191,0.065854,0.000377,0.000034,0.080843
102000,0.2191,0.065854,0.000377,0.000034,0.078445
104000,0.2191,0.065854,0.000377,0.000034,0.079723
106000,0.2191,0.065854,0.000377,0.000034,0.081263
108000,0.2191,0.065854,0.000377,0.000034,0.077561
110000,0.2191,0.065854,0.000377,0.000034,0.080568
112000,0.2191,0.065854,0.000377,0.000034,0.080872
114000,0.2191,0.065854,0.000377,0.000034,0.077990
116000,0.2191,0.065854,0.000377,0.000034,0.079331
118000,0.2191,0.065854,0.000377,0.000034,0.082098
120000,0.2191,0.065854,0.000377,0.000034,0.076878
122000,0.2191,0.065854,0.000377,0.000034,0.080407
124000,0.2191,0.065854,0.000377,0.000034,0.081925
126000,0.2191,0.065854,0.000377,0.000034,0.076643
128000,0.2191,0.065854,0.000377,0.000034,0.080860
