Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,1.6202,0.544831,0.005673,0.000697,0.328492
4000,1.6202,0.544831,0.005673,0.000697,0.326899
6000,1.6202,0.544831,0.005673,0.000697,0.334493
8000,1.6202,0.544831,0.005673,0.000697,0.344926
10000,1.6202,0.544831,0.005673,0.000697,0.344354
12000,1.6202,0.544831,0.005673,0.000697,0.345716
14000,1.6202,0.544831,0.005673,0.000697,0.344802
16000,1.6202,0.544831,0.005673,0.000697,0.344653
18000,1.6202,0.544831,0.005673,0.000697,0.345695
20000,1.6202,0.544831,0.005673,0.000697,0.344051
22000,1.6202,0.544831,0.005673,0.000697,0.345424
24000,1.6202,0.544831,0.005673,0.000697,0.345101
26000,1.6202,0.544831,0.005673,0.000697,0.344279
28000,1.6202,0.544831,0.005673,0.000697,0.348205
30000,1.6202,0.544831,0.005673,0.000697,0.344976
32000,1.6202,0.544831,0.005673,0.000697,0.343930
34000,1.6202,0.544831,0.005673,0.000697,0.345873
36000,1.6202,0.544831,0.005673,0.000697,0.344877
38000,1.6202,0.544831,0.005673,0.000697,0.344254
40000,1.6202,0.544831,0.005673,0.000697,0.345673
42000,1.6202,0.544831,0.005673,0.000697,0.344902
44000,1.6202,0.544831,0.005673,0.000697,0.344279
46000,1.6202,0.544831,0.005673,0.000697,0.345698
48000,1.6202,0.544831,0.005673,0.000697,0.344752
50000,1.6202,0.544831,0.005673,0.000697,0.344503
52000,1.6202,0.544831,0.005673,0.000697,0.345599
54000,1.6202,0.544831,0.005673,0.000697,0.343930
56000,1.6202,0.544831,0.005673,0.000697,0.345375
58000,1.6202,0.544831,0.005673,0.000697,0.345449
60000,1.6202,0.544831,0.005673,0.000697,0.343731
62000,1.6202,0.544831,0.005673,0.000697,0.345748
64000,1.6202,0.544831,0.005673,0.000697,0.345026
66000,1.6202,0.544831,0.005673,0.000697,0.343980
68000,1.6202,0.544831,0.005673,0.000697,0.345922
70000,1.6202,0.544831,0.005673,0.000697,0.344926
72000,1.6202,0.544831,0.005673,0.000697,0.344155
74000,1.6202,0.544831,0.005673,0.000697,0.345723
76000,1.6202,0.544831,0.005673,0.000697,0.344702
78000,1.6202,0.544831,0.005673,0.000697,0.344329
80000,1.6202,0.544831,0.005673,0.000697,0.345300
82000,1.6202,0.544831,0.005673,0.000697,0.344528
84000,1.6202,0.544831,0.005673,0.000697,0.345101
86000,1.6202,0.544831,0.005673,0.000697,0.344777
88000,1.6202,0.544831,0.005673,0.000697,0.344428
90000,1.6202,0.544831,0.005673,0.000697,0.345723
92000,1.6202,0.544831,0.005673,0.000697,0.344827
94000,1.6202,0.544831,0.005673,0.000697,0.344080
96000,1.6202,0.544831,0.005673,0.000697,0.346022
98000,1.6202,0.544831,0.005673,0.000697,0.344528
100000,1.6202,0.544831,0.005673,0.000697,0.344379
102000,1.6202,0.544831,0.005673,0.000697,0.345499
104000,1.6202,0.544831,0.005673,0.000697,0.344478
106000,1.6202,0.544831,0.005673,0.000697,0.344951
108000,1.6202,0.544831,0.005673,0.000697,0.345076
110000,1.6202,0.544831,0.005673,0.000697,0.344877
112000,1.6202,0.544831,0.005673,0.000697,0.344976
114000,1.6202,0.544831,0.005673,0.000697,0.345026
116000,1.6202,0.544831,0.005673,0.000697,0.344877
118000,1.6202,0.544831,0.005673,0.000697,0.345026
120000,1.6202,0.544831,0.005673,0.000697,0.344926
122000,1.6202,0.544831,0.005673,0.000697,0.344130
124000,1.6202,0.544831,0.005673,0.000697,0.345873
126000,1.6202,0.544831,0.005673,0.000697,0.344404
128000,1.6202,0.544831,0.005673,0.000697,0.344503
130000,1.6202,0.544831,0.005673,0.000697,0.346022
132000,1.6202,0.544831,0.005673,0.000697,0.344379
134000,1.6202,0.544831,0.005673,0.000697,0.344528
136000,1.6202,0.544831,0.005673,0.000697,0.345499
138000,1.6202,0.544831,0.005673,0.000697,0.344902
140000,1.6202,0.544831,0.005673,0.000697,0.344528
142000,1.6202,0.544831,0.005673,0.000697,0.344528
144000,1.6202,0.544831,0.005673,0.000697,0.344354
146000,1.6202,0.544831,0.005673,0.000697,0.345748
148000,1.6202,0.544831,0.005673,0.000697,0.343557
150000,1.6202,0.544831,0.005673,0.000697,0.345624
152000,1.6202,0.544831,0.005673,0.000697,0.344976
154000,1.6202,0.544831,0.005673,0.000697,0.344229
156000,1.6202,0.544831,0.005673,0.000697,0.345748
158000,1.6202,0.544831,0.005673,0.000697,0.344951
160000,1.6202,0.544831,0.005673,0.000697,0.344204
162000,1.6202,0.544831,0.005673,0.000697,0.345624
164000,1.6202,0.544831,0.005673,0.000697,0.344976
166000,1.6202,0.544831,0.005673,0.000697,0.344055
168000,1.6202,0.544831,0.005673,0.000697,0.345624
170000,1.6202,0.544831,0.005673,0.000697,0.344179
172000,1.6202,0.544831,0.005673,0.000697,0.345126
174000,1.6202,0.544831,0.005673,0.000697,0.344777
176000,1.6202,0.544831,0.005673,0.000697,0.344428
178000,1.6202,0.544831,0.005673,0.000697,0.345723
180000,1.6202,0.544831,0.005673,0.000697,0.344677
182000,1.6202,0.544831,0.005673,0.000697,0.344229
184000,1.6202,0.544831,0.005673,0.000697,0.346022
186000,1.6202,0.544831,0.005673,0.000697,0.344379
188000,1.6202,0.544831,0.005673,0.000697,0.344528
190000,1.6202,0.544831,0.005673,0.000697,0.345449
192000,1.6202,0.544831,0.005673,0.000697,0.344055
194000,1.6202,0.544831,0.005673,0.000697,0.345424
196000,1.6202,0.544831,0.005673,0.000697,0.344528
198000,1.6202,0.544831,0.005673,0.000697,0.344976
200000,1.6202,0.544831,0.005673,0.000697,0.345424
202000,1.6202,0.544831,0.005673,0.000697,0.344528
204000,1.6202,0.544831,0.005673,0.000697,0.344976
206000,1.6202,0.544831,0.005673,0.000697,0.345424
208000,1.6202,0.544831,0.005673,0.000697,0.344478
210000,1.6202,0.544831,0.005673,0.000697,0.344727
212000,1.6202,0.544831,0.005673,0.000697,0.345723
214000,1.6202,0.544831,0.005673,0.000697,0.344030
216000,1.6202,0.544831,0.005673,0.000697,0.344877
218000,1.6202,0.544831,0.005673,0.000697,0.345997
220000,1.6202,0.544831,0.005673,0.000697,0.343607
222000,1.6202,0.544831,0.005673,0.000697,0.345325
224000,1.6202,0.544831,0.005673,0.000697,0.344802
226000,1.6202,0.544831,0.005673,0.000697,0.344727
228000,1.6202,0.544831,0.005673,0.000697,0.345400
230000,1.6202,0.544831,0.005673,0.000697,0.344553
232000,1.6202,0.544831,0.005673,0.000697,0.345026
234000,1.6202,0.544831,0.005673,0.000697,0.345350
236000,1.6202,0.544831,0.005673,0.000697,0.344453
238000,1.6202,0.544831,0.005673,0.000697,0.344702
240000,1.6202,0.544831,0.005673,0.000697,0.345773
