Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,23.8212,1.028147,0.538949,0.086720,1.746815
4000,23.8212,1.028147,0.538949,0.086720,1.696750
6000,23.8212,1.028147,0.538949,0.086720,1.907470
8000,23.8212,1.028147,0.538949,0.086720,1.564568
10000,23.8212,1.028147,0.538949,0.086720,1.656715
12000,23.8212,1.028147,0.538949,0.086720,1.652656
14000,23.8212,1.028147,0.538949,0.086720,1.628084
16000,23.8212,1.028147,0.538949,0.086720,1.626407
18000,23.8212,1.028147,0.538949,0.086720,1.643145
20000,23.8212,1.028147,0.538949,0.086720,1.642390
22000,23.8212,1.028147,0.538949,0.086720,1.614719
24000,23.8212,1.028147,0.538949,0.086720,1.638876
26000,23.8212,1.028147,0.538949,0.086720,1.645085
28000,23.8212,1.028147,0.538949,0.086720,1.640627
30000,23.8212,1.028147,0.538949,0.086720,1.614015
32000,23.8212,1.028147,0.538949,0.086720,1.645414
34000,23.8212,1.028147,0.538949,0.086720,1.660295
36000,23.8212,1.028147,0.538949,0.086720,1.582982
38000,23.8212,1.028147,0.538949,0.086720,1.656978
40000,23.8212,1.028147,0.538949,0.086720,1.654183
42000,23.8212,1.028147,0.538949,0.086720,1.589106
44000,23.8212,1.028147,0.538949,0.086720,1.656966
46000,23.8212,1.028147,0.538949,0.086720,1.653168
48000,23.8212,1.028147,0.538949,0.086720,1.635188
50000,23.8212,1.028147,0.538949,0.086720,1.611899
52000,23.8212,1.028147,0.538949,0.086720,1.651766
54000,23.8212,1.028147,0.538949,0.086720,1.632591
56000,23.8212,1.028147,0.538949,0.086720,1.615898
58000,23.8212,1.028147,0.538949,0.086720,1.641464
60000,23.8212,1.028147,0.538949,0.086720,1.642250
62000,23.8212,1.028147,0.538949,0.086720,1.644609
64000,23.8212,1.028147,0.538949,0.086720,1.607158
66000,23.8212,1.028147,0.538949,0.086720,1.648487
68000,23.8212,1.028147,0.538949,0.086720,1.661731
70000,23.8212,1.028147,0.538949,0.086720,1.587549
72000,23.8212,1.028147,0.538949,0.086720,1.650974
