Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,0.0324,0.013523,0.002678,0.000431,0.017692
4000,0.0324,0.013523,0.002678,0.000431,0.000000
6000,0.0324,0.013523,0.002678,0.000431,0.059491
8000,0.0324,0.013523,0.002678,0.000431,0.176729
10000,0.0324,0.013523,0.002678,0.000431,0.179345
12000,0.0324,0.013523,0.002678,0.000431,0.180280
14000,0.0324,0.013523,0.002678,0.000431,0.181775
16000,0.0324,0.013523,0.002678,0.000431,0.182709
18000,0.0324,0.013523,0.002678,0.000431,0.177663
20000,0.0324,0.013523,0.002678,0.000431,0.177227
22000,0.0324,0.013523,0.002678,0.000431,0.187568
24000,0.0324,0.013523,0.002678,0.000431,0.176542
26000,0.0324,0.013523,0.002678,0.000431,0.177476
28000,0.0324,0.013523,0.002678,0.000431,0.187070
30000,0.0324,0.013523,0.002678,0.000431,0.177663
32000,0.0324,0.013523,0.002678,0.000431,0.177289
34000,0.0324,0.013523,0.002678,0.000431,0.180902
36000,0.0324,0.013523,0.002678,0.000431,0.181152
38000,0.0324,0.013523,0.002678,0.000431,0.180093
40000,0.0324,0.013523,0.002678,0.000431,0.179594
42000,0.0324,0.013523,0.002678,0.000431,0.182958
44000,0.0324,0.013523,0.002678,0.000431,0.179968
46000,0.0324,0.013523,0.002678,0.000431,0.179532
48000,0.0324,0.013523,0.002678,0.000431,0.182024
50000,0.0324,0.013523,0.002678,0.000431,0.181339
52000,0.0324,0.013523,0.002678,0.000431,0.178847
54000,0.0324,0.013523,0.002678,0.000431,0.175483
56000,0.0324,0.013523,0.002678,0.000431,0.186820
58000,0.0324,0.013523,0.002678,0.000431,0.176853
60000,0.0324,0.013523,0.002678,0.000431,0.177289
62000,0.0324,0.013523,0.002678,0.000431,0.187817
64000,0.0324,0.013523,0.002678,0.000431,0.175919
66000,0.0324,0.013523,0.002678,0.000431,0.178535
68000,0.0324,0.013523,0.002678,0.000431,0.182522
70000,0.0324,0.013523,0.002678,0.000431,0.181214
72000,0.0324,0.013523,0.002678,0.000431,0.178971
74000,0.0324,0.013523,0.002678,0.000431,0.180591
76000,0.0324,0.013523,0.002678,0.000431,0.180093
78000,0.0324,0.013523,0.002678,0.000431,0.179283
80000,0.0324,0.013523,0.002678,0.000431,0.175109
82000,0.0324,0.013523,0.002678,0.000431,0.183643
84000,0.0324,0.013523,0.002678,0.000431,0.183706
86000,0.0324,0.013523,0.002678,0.000431,0.174673
