Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,2.472154
4000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,2.246970
6000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.012578
8000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.561794
10000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.614754
12000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.690364
14000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.621832
16000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.606948
18000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.679851
20000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.579767
22000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.648833
24000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.642824
26000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.598458
28000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.759420
30000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.613277
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.577563
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.711750
36000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.581990
38000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.610572
40000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.692089
42000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.593673
44000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.611371
46000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.692845
48000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,3.627969
