cycle,pc,cta_id,cluster_id,warp_id,tid
2000001,1c0,1,1,1,ffffffff
2000014,178,1,1,6,ffffffff
2000022,250,1,1,10,ffffffff
2000022,250,1,1,15,ffffffff
2000033,1c8,1,1,1,ffffffff
2000043,1d0,1,1,1,ffffffff
2000048,258,1,1,10,ffffffff
2000049,258,1,1,15,ffffffff
2000066,188,1,1,6,ffffffff
2000067,180,1,1,6,ffffffff
2000077,190,1,1,6,ffffffff
2000101,268,1,1,15,ffffffff
2000102,260,1,1,15,ffffffff
2000112,270,1,1,15,ffffffff
2000115,1d8,1,1,1,ffffffff
2000134,268,1,1,10,ffffffff
2000149,198,1,1,6,ffffffff
2000167,1e8,1,1,1,ffffffff
2000168,1e0,1,1,1,ffffffff
2000170,1a0,1,1,6,ffffffff
2000178,1f0,1,1,1,ffffffff
2000184,278,1,1,15,ffffffff
2000189,1a8,1,1,4,ffffffff
2000199,1b0,1,1,4,ffffffff
2000203,260,1,1,10,ffffffff
2000205,280,1,1,15,ffffffff
2000213,270,1,1,10,ffffffff
2000215,a8,1,1,8,ffffffff
2000218,1f8,1,1,1,ffffffff
2000237,288,1,1,15,ffffffff
2000239,200,1,1,1,ffffffff
2000252,1b8,1,1,4,ffffffff
2000260,b0,1,1,8,ffffffff
2000260,290,1,1,15,ffffffff
2000270,2a0,1,1,15,ffffffff
2000271,208,1,1,1,ffffffff
2000272,2a8,1,1,15,ffffffff
2000273,1c0,1,1,4,ffffffff
2000274,2b0,1,1,15,ffffffff
2000280,2b8,1,1,15,ffffffff
2000281,210,1,1,1,ffffffff
2000285,2c0,1,1,15,ffffffff
2000286,278,1,1,10,ffffffff
2000305,1c8,1,1,4,ffffffff
2000307,280,1,1,10,ffffffff
2000320,298,1,1,15,ffffffff
2000321,b8,1,1,8,ffffffff
2000329,1d0,1,1,4,ffffffff
2000339,288,1,1,10,ffffffff
2000342,c0,1,1,8,ffffffff
2000349,290,1,1,10,ffffffff
2000355,218,1,1,1,ffffffff
2000359,2a0,1,1,10,ffffffff
2000361,2a8,1,1,10,ffffffff
2000363,2b0,1,1,10,ffffffff
2000369,2b8,1,1,10,ffffffff
2000374,2c0,1,1,10,ffffffff
2000374,c8,1,1,8,ffffffff
2000376,220,1,1,1,ffffffff
2000377,a0,1,1,15,ffffffff
2000422,1d8,1,1,4,ffffffff
2000430,d0,1,1,8,ffffffff
2000441,228,1,1,1,ffffffff
2000451,230,1,1,1,ffffffff
2000456,298,1,1,10,ffffffff
2000474,1e8,1,1,4,ffffffff
2000475,1e0,1,1,4,ffffffff
2000477,a0,1,1,10,ffffffff
2000490,d8,1,1,8,ffffffff
2000498,1f0,1,1,4,ffffffff
2000524,238,1,1,1,ffffffff
2000542,e8,1,1,8,ffffffff
2000543,e0,1,1,8,ffffffff
2000545,240,1,1,1,ffffffff
2000549,1a8,1,1,6,ffffffff
2000558,1f8,1,1,4,ffffffff
2000566,f0,1,1,8,ffffffff
2000566,1b0,1,1,6,ffffffff
2000577,248,1,1,1,ffffffff
2000587,250,1,1,1,ffffffff
2000592,1b8,1,1,6,ffffffff
2000593,f8,1,1,8,ffffffff
2000610,208,1,1,4,ffffffff
2000611,200,1,1,4,ffffffff
2000614,1c0,1,1,6,ffffffff
2000621,210,1,1,4,ffffffff
2000646,108,1,1,8,ffffffff
2000647,100,1,1,8,ffffffff
2000660,258,1,1,1,ffffffff
2000679,1c8,1,1,6,ffffffff
2000694,218,1,1,4,ffffffff
2000702,110,1,1,8,ffffffff
2000702,1d0,1,1,6,ffffffff
2000712,268,1,1,1,ffffffff
2000713,260,1,1,1,ffffffff
