cycle,pc,cta_id,cluster_id,warp_id,tid
5005,0,2,2,1,ffffffff
5006,0,2,2,2,ffffffff
5007,0,2,2,3,ffffffff
5008,0,2,2,6,ffffffff
5009,0,2,2,7,ffffffff
5010,0,2,2,4,ffffffff
5011,0,2,2,5,ffffffff
5012,0,2,2,8,ffffffff
5013,0,2,2,9,ffffffff
5014,0,2,2,10,ffffffff
5015,0,2,2,15,ffffffff
5016,8,2,2,1,ffffffff
5017,8,2,2,2,ffffffff
5018,8,2,2,3,ffffffff
5019,0,2,2,0,ffffffff
5020,8,2,2,5,ffffffff
5021,8,2,2,6,ffffffff
5022,8,2,2,7,ffffffff
5023,8,2,2,4,ffffffff
5024,8,2,2,9,ffffffff
5025,8,2,2,10,ffffffff
5026,8,2,2,11,ffffffff
5027,8,2,2,8,ffffffff
5028,8,2,2,13,ffffffff
5029,8,2,2,14,ffffffff
5030,8,2,2,15,ffffffff
5031,8,2,2,12,ffffffff
5032,10,2,2,1,ffffffff
5033,10,2,2,2,ffffffff
5034,10,2,2,3,ffffffff
5035,8,2,2,0,ffffffff
5036,10,2,2,5,ffffffff
5037,10,2,2,6,ffffffff
5038,10,2,2,7,ffffffff
5039,10,2,2,4,ffffffff
5040,10,2,2,9,ffffffff
5041,10,2,2,10,ffffffff
5042,10,2,2,11,ffffffff
5043,18,2,2,1,ffffffff
5043,10,2,2,8,ffffffff
5044,18,2,2,2,ffffffff
5044,10,2,2,13,ffffffff
5045,18,2,2,3,ffffffff
5045,0,2,2,13,ffffffff
5046,10,2,2,14,ffffffff
5047,0,2,2,14,ffffffff
5048,10,2,2,15,ffffffff
5049,0,2,2,11,ffffffff
5050,10,2,2,12,ffffffff
5051,10,2,2,0,ffffffff
5052,0,2,2,12,ffffffff
5053,18,2,2,4,ffffffff
5053,20,2,2,1,ffffffff
5053,20,2,2,2,ffffffff
5053,20,2,2,3,ffffffff
5054,20,2,2,4,ffffffff
5054,18,2,2,5,ffffffff
5054,18,2,2,6,ffffffff
5054,18,2,2,7,ffffffff
5055,18,2,2,9,ffffffff
5055,18,2,2,10,ffffffff
5055,18,2,2,11,ffffffff
5055,18,2,2,8,ffffffff
5056,18,2,2,14,ffffffff
5056,18,2,2,15,ffffffff
5056,18,2,2,12,ffffffff
5056,18,2,2,13,ffffffff
5057,28,2,2,3,ffffffff
5057,18,2,2,0,ffffffff
5057,28,2,2,1,ffffffff
5057,28,2,2,2,ffffffff
5058,28,2,2,4,ffffffff
5058,20,2,2,5,ffffffff
5058,20,2,2,6,ffffffff
5058,20,2,2,7,ffffffff
5059,20,2,2,9,ffffffff
5059,20,2,2,10,ffffffff
5059,20,2,2,11,ffffffff
5059,20,2,2,8,ffffffff
5060,20,2,2,14,ffffffff
5060,20,2,2,15,ffffffff
5060,20,2,2,12,ffffffff
5060,20,2,2,13,ffffffff
5061,28,2,2,7,ffffffff
