cycle,instruction,cta_id,cluster_id,warp_id,tid
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,1,ffffffff
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,2,ffffffff
5002, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,3,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,6,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,7,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,4,ffffffff
5003, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,5,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,11,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,8,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,9,ffffffff
5004, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,10,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,12,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,13,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,14,ffffffff
5005, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,15,ffffffff
5006, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,1,ffffffff
5006, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,2,ffffffff
5006, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,3,ffffffff
5006, PC=0x000 (mvt.1.sm_70.ptx:27) ld.param.u64 %rd8 [_Z11mvt_kernel1PfS_S__param_0],2,2,0,ffffffff
5010, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,5,ffffffff
5010, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,6,ffffffff
5010, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,7,ffffffff
5010, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,4,ffffffff
5012, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,9,ffffffff
5013, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,10,ffffffff
5014, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,11,ffffffff
5014, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,8,ffffffff
5015, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,13,ffffffff
5016, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,14,ffffffff
5017, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,15,ffffffff
5018, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,12,ffffffff
5019, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,1,ffffffff
5020, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,1,ffffffff
5020, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,2,ffffffff
5021, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,2,ffffffff
5021, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,3,ffffffff
5022, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,3,ffffffff
5022, PC=0x008 (mvt.1.sm_70.ptx:28) ld.param.u64 %rd9 [_Z11mvt_kernel1PfS_S__param_1],2,2,0,ffffffff
5023, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,5,ffffffff
5024, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,6,ffffffff
5025, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,7,ffffffff
5026, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,4,ffffffff
5027, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,4,ffffffff
5027, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,9,ffffffff
5028, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,10,ffffffff
5029, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,11,ffffffff
5030, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,8,ffffffff
5031, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,13,ffffffff
5032, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,14,ffffffff
5033, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,15,ffffffff
5034, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,12,ffffffff
5038, PC=0x010 (mvt.1.sm_70.ptx:29) ld.param.u64 %rd10 [_Z11mvt_kernel1PfS_S__param_2],2,2,0,ffffffff
5039, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,1,ffffffff
5040, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,2,ffffffff
5041, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,3,ffffffff
5049, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,4,ffffffff
5049, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,5,ffffffff
5049, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,6,ffffffff
5049, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,7,ffffffff
5050, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,9,ffffffff
5050, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,10,ffffffff
5050, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,11,ffffffff
5050, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,8,ffffffff
5051, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,14,ffffffff
5051, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,15,ffffffff
5051, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,12,ffffffff
5051, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,13,ffffffff
5052, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,3,ffffffff
5052, PC=0x018 (mvt.1.sm_70.ptx:30) mov.u32 %r4 %ntid.x,2,2,0,ffffffff
5052, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,1,ffffffff
5052, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,2,ffffffff
5053, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,4,ffffffff
5053, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,5,ffffffff
5053, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,6,ffffffff
5053, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,7,ffffffff
5054, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,9,ffffffff
5054, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,10,ffffffff
5054, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,11,ffffffff
5054, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,8,ffffffff
5055, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,14,ffffffff
5055, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,15,ffffffff
5055, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,12,ffffffff
5055, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,13,ffffffff
5056, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,7,ffffffff
5056, PC=0x020 (mvt.1.sm_70.ptx:31) mov.u32 %r5 %ctaid.x,2,2,0,ffffffff
5056, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,5,ffffffff
5056, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,6,ffffffff
5057, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,8,ffffffff
5057, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,9,ffffffff
5057, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,10,ffffffff
5057, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,11,ffffffff
5058, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,13,ffffffff
5058, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,14,ffffffff
5058, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,15,ffffffff
5058, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,12,ffffffff
5059, PC=0x030 (mvt.1.sm_70.ptx:33) mad.lo.s32 %r1 %r5 %r4 %r6,2,2,2,ffffffff
5059, PC=0x030 (mvt.1.sm_70.ptx:33) mad.lo.s32 %r1 %r5 %r4 %r6,2,2,3,ffffffff
5059, PC=0x028 (mvt.1.sm_70.ptx:32) mov.u32 %r6 %tid.x,2,2,0,ffffffff
