cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
6000,4.928,4.912,4.928,4.928,0.000,0.000
8000,0.752,0.848,0.832,0.864,0.000,0.000
10000,0.784,0.656,0.672,0.608,0.000,0.000
12000,0.608,0.640,0.624,0.640,0.000,0.000
14000,0.688,0.688,0.528,0.720,0.000,0.000
16000,0.560,0.384,0.720,0.576,0.000,0.000
18000,0.752,0.576,0.816,0.720,0.000,0.000
20000,0.576,0.640,0.544,0.608,0.000,0.000
22000,0.592,0.720,0.432,0.576,0.000,0.000
24000,0.512,0.704,0.736,0.720,0.000,0.000
26000,0.672,0.352,0.704,0.336,0.000,0.000
28000,0.624,0.752,0.448,0.704,0.000,0.000
30000,0.656,0.608,0.752,0.688,0.000,0.000
32000,0.608,0.736,0.544,0.464,0.000,0.000
34000,0.688,0.272,0.752,0.800,0.000,0.000
36000,0.384,0.848,0.336,0.672,0.000,0.000
38000,0.800,0.656,0.816,0.400,0.000,0.000
40000,0.704,0.352,0.640,0.848,0.000,0.000
42000,0.352,0.896,0.368,0.672,0.000,0.000
44000,0.928,0.160,0.912,0.352,0.000,0.000
46000,0.240,0.752,0.224,1.024,0.000,0.000
48000,0.848,0.736,0.848,0.176,0.000,0.000
50000,0.688,0.288,0.704,0.832,0.000,0.000
52000,0.320,0.992,0.304,0.176,0.000,0.000
54000,0.992,0.048,1.168,0.800,0.000,0.000
56000,0.272,0.944,0.240,1.728,0.000,0.000
58000,1.568,1.504,1.696,0.208,0.000,0.000
60000,1.008,0.352,0.656,1.392,0.000,0.000
62000,0.192,1.152,0.880,0.912,0.000,0.000
64000,0.848,0.752,0.752,0.096,0.000,0.000
66000,0.784,0.256,0.304,0.912,0.000,0.000
68000,0.208,1.008,0.864,0.208,0.000,0.000
70000,0.976,0.224,0.224,0.816,0.000,0.000
72000,0.192,0.832,0.848,0.784,0.000,0.000
74000,0.832,0.800,0.784,0.240,0.000,0.000
76000,0.784,0.224,0.224,1.024,0.000,0.000
78000,0.240,1.008,0.960,0.192,0.000,0.000
80000,0.992,0.176,0.176,0.800,0.000,0.000
82000,0.112,0.864,0.848,0.752,0.000,0.000
84000,0.816,0.816,1.008,0.224,0.000,0.000
86000,1.024,0.208,0.320,0.976,0.000,0.000
88000,0.256,1.152,0.768,0.544,0.000,0.000
90000,0.816,0.448,0.272,0.448,0.000,0.000
92000,0.256,0.832,0.832,0.912,0.000,0.000
94000,0.896,0.704,0.560,0.064,0.000,0.000
96000,0.144,0.576,0.416,1.024,0.000,0.000
98000,0.832,0.816,1.056,0.144,0.000,0.000
100000,0.864,0.656,0.000,0.896,0.000,0.000
102000,0.160,0.704,1.008,0.592,0.000,0.000
104000,1.024,0.448,0.240,0.560,0.000,0.000
106000,0.112,0.896,0.784,0.896,0.000,0.000
108000,0.896,0.688,1.152,0.160,0.000,0.000
110000,1.072,0.912,0.304,1.248,0.000,0.000
112000,0.304,1.712,1.760,1.648,0.000,0.000
114000,1.904,0.464,1.104,0.432,0.000,0.000
116000,0.736,0.640,0.304,0.976,0.000,0.000
118000,0.304,0.896,0.848,0.176,0.000,0.000
120000,0.976,0.336,0.304,0.848,0.000,0.000
122000,0.048,0.832,0.864,0.944,0.000,0.000
124000,0.976,0.400,0.880,0.032,0.000,0.000
126000,0.576,0.800,0.144,1.024,0.000,0.000
128000,0.448,0.784,1.024,0.384,0.000,0.000
130000,1.008,0.240,0.464,0.640,0.000,0.000
132000,0.080,1.056,0.544,0.976,0.000,0.000
134000,0.960,0.432,1.008,0.064,0.000,0.000
136000,0.944,0.400,0.048,1.056,0.000,0.000
138000,0.128,0.864,1.040,0.720,0.000,0.000
140000,0.976,0.192,0.496,0.256,0.000,0.000
142000,0.464,0.832,0.592,0.976,0.000,0.000
144000,0.608,0.864,0.944,0.192,0.000,0.000
146000,0.864,0.224,0.288,0.864,0.000,0.000
148000,0.160,0.960,0.832,0.352,0.000,0.000
150000,0.976,0.192,0.352,0.688,0.000,0.000
152000,0.224,0.832,0.816,0.992,0.000,0.000
154000,0.768,0.816,0.832,0.048,0.000,0.000
156000,0.928,0.208,0.176,1.040,0.000,0.000
158000,0.128,0.976,1.040,0.720,0.000,0.000
160000,0.976,0.336,0.304,0.256,0.000,0.000
162000,0.608,1.376,1.248,1.088,0.000,0.000
164000,0.816,1.616,1.744,0.336,0.000,0.000
166000,1.664,0.192,0.224,1.904,0.000,0.000
168000,0.496,0.832,0.816,0.336,0.000,0.000
170000,0.832,0.816,0.336,0.688,0.000,0.000
172000,0.288,0.256,0.880,0.992,0.000,0.000
174000,0.832,1.024,0.208,0.128,0.000,0.000
176000,0.880,0.112,0.768,0.880,0.000,0.000
178000,0.192,0.912,0.960,0.176,0.000,0.000
180000,1.008,0.784,0.048,0.848,0.000,0.000
182000,0.288,0.224,0.960,1.008,0.000,0.000
184000,0.768,1.024,0.832,0.032,0.000,0.000
186000,0.960,0.176,0.320,1.024,0.000,0.000
188000,0.096,0.720,0.912,0.736,0.000,0.000
190000,0.992,0.832,0.272,0.336,0.000,0.000
192000,0.640,0.224,0.784,0.976,0.000,0.000
194000,0.384,0.960,0.832,0.128,0.000,0.000
196000,1.024,0.208,0.272,0.896,0.000,0.000
198000,0.064,0.816,0.928,0.784,0.000,0.000
200000,0.960,0.976,0.144,0.288,0.000,0.000
202000,0.288,0.096,0.928,0.992,0.000,0.000
204000,0.800,1.024,0.880,0.048,0.000,0.000
206000,0.976,0.192,0.144,1.056,0.000,0.000
208000,0.096,0.832,1.008,0.592,0.000,0.000
210000,0.960,0.960,0.192,0.400,0.000,0.000
212000,0.656,0.048,1.024,1.024,0.000,0.000
214000,0.320,1.456,1.968,0.064,0.000,0.000
216000,1.504,1.488,0.176,1.616,0.000,0.000
218000,1.552,0.720,1.568,1.664,0.000,0.000
220000,0.416,0.768,0.848,0.720,0.000,0.000
222000,0.848,0.688,0.624,0.480,0.000,0.000
224000,0.560,0.592,0.464,0.800,0.000,0.000
226000,0.640,0.624,0.800,0.512,0.000,0.000
228000,0.672,0.704,0.656,0.608,0.000,0.000
230000,0.592,0.640,0.528,0.752,0.000,0.000
232000,0.592,0.624,0.736,0.640,0.000,0.000
234000,0.720,0.432,0.592,0.368,0.000,0.000
236000,0.448,0.752,0.656,0.784,0.000,0.000
238000,0.832,0.640,0.432,0.656,0.000,0.000
240000,0.608,0.464,0.928,0.384,0.000,0.000
242000,0.400,0.704,0.272,0.768,0.000,0.000
244000,0.800,0.720,0.896,0.288,0.000,0.000
246000,0.368,0.368,0.720,0.864,0.000,0.000
