cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1000000,1.680,2.704,3.344,2.016,0.000,0.000
1002000,1.488,1.424,2.400,2.432,0.000,0.000
1004000,2.144,0.976,3.296,3.280,0.000,0.000
1006000,3.312,1.872,3.392,3.520,0.000,0.000
1008000,2.832,1.008,4.032,2.464,0.000,0.000
1010000,2.672,0.688,1.936,2.320,0.000,0.000
1012000,3.472,0.928,3.168,1.648,0.000,0.000
1014000,1.760,0.752,2.368,2.272,0.000,0.000
1016000,3.376,0.608,2.448,2.144,0.000,0.000
1018000,2.144,0.800,2.976,1.712,0.000,0.000
1020000,3.024,0.848,2.592,2.160,0.000,0.000
1022000,2.096,0.784,2.640,2.176,0.000,0.000
1024000,2.656,0.704,1.984,1.680,0.000,0.000
1026000,1.568,0.880,2.704,2.320,0.000,0.000
1028000,2.000,0.224,2.000,1.792,0.000,0.000
1030000,1.392,1.136,1.984,0.400,0.000,0.000
1032000,1.632,0.368,1.728,1.872,0.000,0.000
1034000,1.056,0.656,2.848,0.512,0.000,0.000
1036000,0.944,0.912,1.712,1.232,0.000,0.000
1038000,0.736,0.512,1.984,0.704,0.000,0.000
1040000,1.264,0.896,2.032,0.640,0.000,0.000
1042000,1.104,0.416,2.464,0.944,0.000,0.000
1044000,0.720,0.944,2.240,0.560,0.000,0.000
1046000,1.616,1.056,1.776,0.768,0.000,0.000
1048000,1.232,0.464,2.848,0.768,0.000,0.000
1050000,1.328,1.040,0.912,0.720,0.000,0.000
1052000,1.520,0.784,1.856,0.912,0.000,0.000
1054000,0.736,0.688,1.776,0.880,0.000,0.000
1056000,1.376,1.152,1.056,0.720,0.000,0.000
1058000,1.760,0.656,1.536,0.896,0.000,0.000
1060000,1.024,0.768,2.080,0.816,0.000,0.000
1062000,1.568,1.072,0.864,0.480,0.000,0.000
1064000,1.888,0.528,1.488,0.880,0.000,0.000
1066000,1.488,1.680,1.760,0.800,0.000,0.000
1068000,1.776,1.536,0.880,1.728,0.000,0.000
1070000,2.192,3.616,0.992,1.312,0.000,0.000
