cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5100,0,0,25,13,0,0
5200,0,0,113,18,0,0
5300,0,0,213,18,0,0
5400,2,0,294,18,0,0
5500,2,0,294,18,0,0
5600,2,0,294,18,0,0
5700,2,0,294,18,0,0
5800,2,0,294,18,0,0
5900,67,0,298,18,0,0
6000,105,0,302,18,0,0
6100,165,0,310,18,0,0
6200,204,0,314,18,0,0
6300,237,0,322,18,26,0
6400,237,0,322,18,33,0
6500,237,0,322,18,33,0
6600,237,0,322,18,33,0
6700,274,0,322,18,33,0
6800,334,0,330,18,33,0
6900,373,0,334,18,33,0
7000,432,0,342,18,33,0
7100,472,0,346,18,33,0
7200,472,0,350,18,66,0
7300,520,0,354,18,66,0
7400,575,0,358,18,66,0
7500,618,0,366,18,66,0
7600,674,0,370,18,66,0
7700,707,0,378,18,75,0
7800,744,0,378,18,99,0
7900,800,0,386,18,99,0
8000,843,0,390,18,99,0
8100,898,0,398,18,99,0
8200,942,0,402,18,99,0
8300,942,0,406,18,132,0
8400,942,0,406,18,132,0
8500,994,0,410,18,132,0
8600,1045,0,414,18,132,0
8700,1092,0,422,18,132,0
8800,1144,0,426,18,132,0
8900,1177,0,434,18,145,0
9000,1177,0,434,18,165,0
9100,1236,0,438,18,165,0
9200,1280,0,442,18,165,0
9300,1334,0,450,18,165,0
9400,1379,0,454,18,165,0
9500,1412,0,462,18,185,0
9600,1412,0,462,18,198,0
9700,1444,0,462,18,198,0
9800,1482,0,466,18,198,0
9900,1542,0,474,18,198,0
10000,1581,0,478,18,198,0
10100,1640,0,486,18,198,0
10200,1647,0,490,18,231,0
10300,1684,0,490,18,231,0
10400,1738,0,498,18,231,0
10500,1783,0,502,18,231,0
10600,1836,0,510,18,231,0
10700,1882,0,514,18,231,0
10800,1883,0,518,18,263,0
10900,1883,0,518,18,263,0
11000,1883,0,518,18,263,0
11100,1883,0,518,18,263,0
11200,1883,0,518,18,263,0
11300,1883,0,518,18,263,0
11400,1916,0,522,18,263,0
11500,1981,0,530,18,263,0
11600,2015,0,534,18,263,0
11700,2079,0,542,18,263,0
11800,2114,0,546,18,263,0
11900,2114,0,550,18,296,0
12000,2147,0,554,18,296,0
12100,2181,0,562,18,296,0
12200,2246,0,566,18,296,0
12300,2279,0,574,18,296,0
12400,2345,0,578,18,296,0
12500,2389,0,590,18,329,0
12600,2444,0,594,18,329,0
12700,2487,0,602,18,329,0
12800,2562,0,610,18,329,0
12900,2659,0,622,18,329,0
13000,2704,0,630,18,362,0
13100,2741,0,634,18,362,0
13200,2802,0,642,18,362,0
13300,2807,0,646,18,395,0
13400,2807,0,646,18,395,0
13500,2807,0,646,18,395,0
13600,2840,0,650,18,395,0
13700,2897,0,658,18,395,0
13800,2939,0,662,18,395,0
13900,2995,0,670,18,395,0
14000,3038,0,674,18,395,0
14100,3038,0,678,18,428,0
14200,3040,0,682,18,428,0
14300,3104,0,686,18,428,0
14400,3138,0,694,18,428,0
14500,3203,0,698,18,428,0
14600,3273,0,710,18,428,0
14700,3368,0,722,18,428,0
14800,3401,0,726,18,461,0
14900,3448,0,734,18,461,0
15000,3513,0,742,18,461,0
15100,3558,0,750,18,494,0
15200,3599,0,754,18,494,0
15300,3656,0,762,18,494,0
15400,3698,0,766,18,494,0
15500,3732,0,774,18,495,0
15600,3732,0,774,18,526,0
15700,3732,0,774,18,526,0
15800,3770,0,782,18,526,0
15900,3831,0,786,18,526,0
16000,3868,0,794,18,526,0
16100,3930,0,798,18,526,0
16200,3963,0,806,18,529,0
16300,3963,0,806,18,559,0
16400,3990,0,810,18,559,0
