cycle,row_hit,row_miss
6000,88,4
8000,162,2
10000,166,2
12000,184,3
14000,188,2
16000,163,3
18000,189,2
20000,171,3
22000,187,3
24000,162,2
26000,172,4
28000,190,2
30000,169,3
32000,175,3
34000,178,2
36000,179,4
38000,157,2
40000,198,4
42000,156,2
44000,178,2
46000,169,4
48000,185,2
50000,176,2
52000,190,4
54000,158,2
56000,188,4
58000,158,2
60000,174,2
62000,172,4
64000,171,2
66000,177,2
68000,188,4
70000,188,2
72000,143,4
74000,195,2
76000,168,2
78000,164,4
80000,166,2
82000,201,4
84000,161,2
86000,174,2
88000,176,4
90000,174,2
92000,170,2
94000,192,4
96000,162,2
98000,177,4
100000,185,2
102000,166,3
104000,188,3
106000,165,2
108000,181,4
110000,166,2
112000,182,3
114000,164,3
116000,174,2
118000,181,3
120000,173,3
122000,190,2
124000,156,4
126000,190,2
128000,165,3
130000,181,3
132000,158,2
134000,188,4
136000,158,2
138000,196,3
140000,166,3
142000,174,2
144000,171,4
146000,186,3
148000,147,3
150000,205,4
152000,162,2
154000,186,3
156000,161,3
158000,187,2
160000,172,5
162000,167,2
164000,183,2
166000,172,4
168000,187,2
170000,175,4
172000,166,2
174000,150,2
176000,196,4
178000,166,2
180000,179,3
182000,183,3
184000,174,2
186000,172,4
188000,190,2
190000,158,2
192000,172,4
194000,174,2
196000,165,3
198000,188,3
200000,151,2
202000,204,4
204000,174,2
206000,172,4
208000,157,2
210000,191,2
212000,172,4
214000,169,2
216000,179,2
218000,172,4
220000,174,2
222000,188,4
224000,168,2
226000,164,2
228000,172,4
230000,174,2
232000,189,3
234000,173,3
236000,174,2
238000,142,2
240000,203,4
242000,167,2
244000,188,4
246000,164,2
248000,188,4
250000,160,2
252000,174,2
254000,172,4
256000,158,2
258000,205,3
260000,157,3
262000,204,2
264000,143,3
266000,189,3
268000,174,3
270000,176,3
272000,181,2
274000,172,4
276000,163,2
278000,174,2
280000,188,4
282000,164,2
284000,183,3
286000,165,3
288000,198,2
290000,156,4
292000,174,2
294000,174,3
296000,172,3
298000,174,2
300000,188,4
302000,168,2
304000,164,2
306000,172,4
308000,166,2
310000,197,3
312000,157,3
314000,206,2
316000,156,4
318000,190,2
320000,146,3
322000,184,3
324000,174,2
326000,173,3
328000,189,3
330000,174,3
332000,187,5
334000,159,2
336000,166,3
338000,167,3
340000,189,2
342000,169,4
344000,178,3
346000,186,3
348000,161,3
350000,186,2
352000,167,4
354000,176,2
356000,158,2
358000,196,4
360000,174,2
362000,184,4
364000,162,2
366000,166,2
368000,161,4
370000,193,2
372000,174,2
374000,188,4
376000,155,2
378000,176,3
380000,181,3
382000,182,2
384000,166,4
386000,180,2
388000,158,2
390000,172,4
392000,182,2
394000,165,4
396000,189,2
398000,174,3
400000,164,3
402000,176,2
404000,179,3
406000,173,3
408000,166,2
410000,186,4
412000,168,2
414000,174,3
416000,172,3
418000,182,2
420000,150,2
422000,196,4
424000,182,2
426000,172,4
428000,174,2
430000,185,4
432000,143,2
434000,188,2
436000,161,3
438000,189,3
440000,199,4
442000,163,2
444000,174,2
446000,159,4
448000,203,2
450000,158,2
452000,172,4
454000,178,2
456000,169,3
458000,183,3
460000,180,2
462000,145,4
464000,185,2
466000,181,3
468000,175,3
470000,164,2
472000,188,4
474000,166,2
476000,189,3
478000,168,3
480000,191,2
482000,153,4
484000,205,2
486000,155,2
488000,167,4
490000,186,2
492000,184,4
494000,158,2
496000,174,2
498000,183,4
500000,179,2
502000,153,3
504000,195,3
506000,148,2
508000,196,4
510000,190,2
512000,158,2
514000,172,4
516000,182,2
518000,150,2
520000,198,4
522000,180,2
524000,171,4
526000,183,2
528000,168,4
530000,148,2
532000,196,2
534000,172,4
536000,158,2
538000,205,4
540000,157,4
542000,206,2
544000,127,3
546000,205,3
548000,171,2
550000,176,4
552000,190,3
554000,173,4
556000,158,2
558000,179,2
560000,184,4
562000,174,2
564000,173,3
566000,173,3
568000,174,2
570000,142,2
572000,201,4
574000,177,2
576000,172,4
578000,190,2
580000,172,4
582000,164,2
584000,152,2
586000,204,4
588000,182,2
590000,165,3
592000,189,3
594000,174,2
596000,156,4
598000,190,2
600000,160,3
602000,179,3
604000,181,2
606000,172,4
608000,190,2
610000,172,3
612000,154,3
614000,178,2
616000,173,3
618000,173,3
620000,190,3
622000,188,3
624000,158,2
626000,173,4
628000,181,2
630000,166,2
632000,152,3
634000,200,3
636000,193,4
638000,163,2
640000,174,2
642000,181,4
644000,165,2
646000,174,3
648000,188,3
650000,126,2
652000,205,4
654000,189,2
656000,152,2
658000,205,4
660000,163,2
662000,188,4
664000,166,2
666000,166,2
668000,142,3
670000,204,3
672000,174,2
674000,188,4
676000,190,2
678000,156,4
680000,190,2
682000,158,2
684000,172,4
686000,182,2
688000,170,4
690000,184,2
692000,174,3
694000,139,3
696000,210,2
698000,155,3
700000,188,3
702000,174,2
704000,188,4
706000,168,2
708000,179,3
710000,159,3
712000,172,2
714000,173,4
716000,173,2
718000,205,3
720000,168,3
722000,179,3
724000,172,5
726000,150,2
728000,194,2
730000,162,4
732000,158,2
734000,221,4
736000,158,3
738000,191,2
740000,165,4
742000,194,2
744000,130,2
